CMDLINE /usr/bin/python3 scripts/AE-RF-Malaria.py
MEM 0.003906 1652242423.9690
MEM 16.394531 1652242424.0694
MEM 23.988281 1652242424.1697
MEM 30.398438 1652242424.2700
MEM 37.203125 1652242424.3704
MEM 43.476562 1652242424.4708
MEM 47.261719 1652242424.5712
MEM 58.050781 1652242424.6715
MEM 69.351562 1652242424.7719
MEM 75.554688 1652242424.8722
MEM 86.460938 1652242424.9726
MEM 89.843750 1652242425.0729
MEM 94.101562 1652242425.1733
MEM 107.140625 1652242425.2737
MEM 111.074219 1652242425.3751
MEM 121.804688 1652242425.4755
MEM 123.433594 1652242425.5758
MEM 126.300781 1652242425.6762
MEM 132.992188 1652242425.7765
MEM 133.851562 1652242425.8768
MEM 137.109375 1652242425.9772
MEM 148.066406 1652242426.0775
MEM 207.523438 1652242426.1779
MEM 239.996094 1652242426.2783
MEM 282.296875 1652242426.3786
MEM 290.457031 1652242426.4790
MEM 297.339844 1652242426.5794
MEM 301.714844 1652242426.6797
MEM 310.695312 1652242426.7801
MEM 319.652344 1652242426.8804
MEM 325.054688 1652242426.9808
MEM 332.281250 1652242427.0812
MEM 334.375000 1652242427.1816
MEM 341.871094 1652242427.2820
MEM 350.304688 1652242427.3823
MEM 355.785156 1652242427.4827
MEM 361.609375 1652242427.5830
MEM 369.769531 1652242427.6834
MEM 371.335938 1652242427.7837
MEM 373.300781 1652242427.8841
MEM 380.074219 1652242427.9844
MEM 385.664062 1652242428.0848
MEM 430.046875 1652242428.1875
MEM 430.046875 1652242428.2879
MEM 450.671875 1652242428.3882
MEM 450.671875 1652242428.4885
MEM 450.671875 1652242428.5887
MEM 417.527344 1652242428.6890
MEM 418.781250 1652242428.7893
MEM 419.296875 1652242428.8895
MEM 420.843750 1652242428.9898
MEM 423.718750 1652242429.0901
MEM 427.070312 1652242429.1904
MEM 431.195312 1652242429.2907
MEM 433.257812 1652242429.3910
MEM 438.156250 1652242429.4912
MEM 439.187500 1652242429.5916
MEM 469.269531 1652242429.6920
MEM 520.042969 1652242429.7924
MEM 576.183594 1652242429.8927
MEM 576.433594 1652242429.9930
MEM 576.683594 1652242430.0933
MEM 577.183594 1652242430.1935
MEM 577.433594 1652242430.2938
MEM 577.937500 1652242430.3941
MEM 578.183594 1652242430.4945
MEM 578.687500 1652242430.5948
MEM 578.933594 1652242430.6952
MEM 579.433594 1652242430.7955
MEM 579.683594 1652242430.8958
MEM 580.183594 1652242430.9962
MEM 580.433594 1652242431.0966
MEM 580.933594 1652242431.1969
MEM 581.183594 1652242431.2972
MEM 581.687500 1652242431.3976
MEM 578.925781 1652242431.4979
MEM 578.925781 1652242431.5983
MEM 578.925781 1652242431.6986
MEM 590.742188 1652242431.7990
MEM 590.742188 1652242431.8994
MEM 590.742188 1652242431.9998
MEM 616.375000 1652242432.1001
MEM 626.976562 1652242432.2005
MEM 626.976562 1652242432.3008
MEM 626.976562 1652242432.4012
MEM 658.363281 1652242432.5015
MEM 664.308594 1652242432.6020
MEM 664.308594 1652242432.7024
MEM 664.308594 1652242432.8027
MEM 665.761719 1652242432.9030
MEM 665.761719 1652242433.0034
MEM 665.761719 1652242433.1037
MEM 733.742188 1652242433.2041
MEM 798.269531 1652242433.3045
MEM 801.429688 1652242433.4049
MEM 801.683594 1652242433.5052
MEM 801.683594 1652242433.6055
MEM 809.933594 1652242433.7059
MEM 809.933594 1652242433.8063
MEM 809.933594 1652242433.9066
MEM 818.500000 1652242434.0071
MEM 818.757812 1652242434.1075
MEM 853.386719 1652242434.2079
MEM 890.621094 1652242434.3084
MEM 931.820312 1652242434.4089
MEM 953.292969 1652242434.5093
MEM 974.964844 1652242434.6097
MEM 988.476562 1652242434.7102
MEM 1009.578125 1652242434.8106
MEM 1038.675781 1652242434.9111
MEM 1044.890625 1652242435.0115
MEM 1049.062500 1652242435.1120
MEM 1060.332031 1652242435.2125
MEM 1071.671875 1652242435.3128
MEM 1071.738281 1652242435.4132
MEM 1071.738281 1652242435.5136
MEM 1071.738281 1652242435.6139
MEM 1071.992188 1652242435.7143
MEM 1073.285156 1652242435.8147
MEM 1096.613281 1652242435.9151
MEM 1096.613281 1652242436.0154
MEM 1096.863281 1652242436.1159
MEM 1104.863281 1652242436.2162
MEM 1112.636719 1652242436.3166
MEM 1112.835938 1652242436.4170
MEM 1113.605469 1652242436.5174
MEM 1113.605469 1652242436.6177
MEM 1166.902344 1652242436.7182
MEM 1171.734375 1652242436.8186
MEM 1171.988281 1652242436.9190
MEM 1171.988281 1652242437.0215
MEM 1171.988281 1652242437.1219
MEM 1171.988281 1652242437.2223
MEM 1171.988281 1652242437.3230
MEM 1188.804688 1652242437.4234
MEM 1194.464844 1652242437.5238
MEM 1217.160156 1652242437.6242
MEM 1231.359375 1652242437.7247
MEM 1248.511719 1652242437.8253
MEM 1266.355469 1652242437.9258
MEM 1285.796875 1652242438.0271
MEM 1292.238281 1652242438.1275
MEM 1298.484375 1652242438.2285
MEM 1300.542969 1652242438.3312
MEM 1307.750000 1652242438.4316
MEM 1308.035156 1652242438.5320
MEM 1309.679688 1652242438.6324
MEM 1309.933594 1652242438.7328
MEM 1309.933594 1652242438.8332
MEM 1310.191406 1652242438.9361
MEM 1310.191406 1652242439.0365
MEM 1317.671875 1652242439.1369
MEM 1317.671875 1652242439.2372
MEM 1317.671875 1652242439.3377
MEM 1317.671875 1652242439.4380
MEM 1333.449219 1652242439.5384
MEM 1333.449219 1652242439.6388
MEM 1333.707031 1652242439.7391
MEM 1333.843750 1652242439.8395
MEM 1365.000000 1652242439.9399
MEM 1365.000000 1652242440.0403
MEM 1365.253906 1652242440.1407
MEM 1365.253906 1652242440.2411
MEM 1365.253906 1652242440.3414
MEM 1365.253906 1652242440.4417
MEM 1365.511719 1652242440.5421
MEM 1365.511719 1652242440.6425
MEM 1371.847656 1652242440.7429
MEM 1378.023438 1652242440.8434
MEM 1386.175781 1652242440.9439
MEM 1396.144531 1652242441.0443
MEM 1402.308594 1652242441.1448
MEM 1407.652344 1652242441.2452
MEM 1412.699219 1652242441.3456
MEM 1416.441406 1652242441.4460
MEM 1419.300781 1652242441.5464
MEM 1420.027344 1652242441.6469
MEM 1425.464844 1652242441.7472
MEM 1426.375000 1652242441.8475
MEM 1426.375000 1652242441.9478
MEM 1426.375000 1652242442.0481
MEM 1426.375000 1652242442.1484
MEM 1426.375000 1652242442.2487
MEM 1426.375000 1652242442.3489
MEM 1426.371094 1652242442.4492
MEM 1426.371094 1652242442.5495
MEM 1426.371094 1652242442.6498
MEM 1426.625000 1652242442.7501
MEM 1426.625000 1652242442.8504
MEM 1426.519531 1652242442.9508
MEM 1426.722656 1652242443.0511
MEM 1426.722656 1652242443.1514
MEM 1457.707031 1652242443.2518
MEM 1457.964844 1652242443.3522
MEM 1458.222656 1652242443.4526
MEM 1458.996094 1652242443.5530
MEM 1459.511719 1652242443.6534
MEM 1499.187500 1652242443.7538
MEM 1499.343750 1652242443.8543
MEM 1499.343750 1652242443.9547
MEM 1499.343750 1652242444.0551
MEM 1499.343750 1652242444.1555
MEM 1499.343750 1652242444.2559
MEM 1516.156250 1652242444.3563
MEM 1516.414062 1652242444.4567
MEM 1521.000000 1652242444.5572
MEM 1540.074219 1652242444.6576
MEM 1558.617188 1652242444.7580
MEM 1570.664062 1652242444.8598
MEM 1578.718750 1652242444.9603
MEM 1588.515625 1652242445.0635
MEM 1593.875000 1652242445.1639
MEM 1604.593750 1652242445.2644
MEM 1608.367188 1652242445.3648
MEM 1611.710938 1652242445.4652
MEM 1612.867188 1652242445.5657
MEM 1613.718750 1652242445.6661
MEM 1613.761719 1652242445.7665
MEM 1613.761719 1652242445.8668
MEM 1613.761719 1652242445.9672
MEM 1614.015625 1652242446.0675
MEM 1614.218750 1652242446.1680
MEM 1622.019531 1652242446.2683
MEM 1622.269531 1652242446.3687
MEM 1622.269531 1652242446.4691
MEM 1637.785156 1652242446.5694
MEM 1638.042969 1652242446.6698
MEM 1638.046875 1652242446.7701
MEM 1638.046875 1652242446.8706
MEM 1638.046875 1652242446.9709
MEM 1654.488281 1652242447.0714
MEM 1654.488281 1652242447.1717
MEM 1654.734375 1652242447.2721
MEM 1662.980469 1652242447.3726
MEM 1662.980469 1652242447.4730
MEM 1662.980469 1652242447.5734
MEM 1680.054688 1652242447.6738
MEM 1680.054688 1652242447.7741
