CMDLINE /usr/bin/python3 scripts/AE-RF-Rhizo.py
MEM 1.125000 1652240702.2486
MEM 16.761719 1652240702.3490
MEM 24.988281 1652240702.4494
MEM 31.132812 1652240702.5497
MEM 38.210938 1652240702.6501
MEM 45.046875 1652240702.7504
MEM 46.781250 1652240702.8508
MEM 61.222656 1652240702.9512
MEM 71.113281 1652240703.0515
MEM 77.402344 1652240703.1519
MEM 87.105469 1652240703.2523
MEM 91.003906 1652240703.3526
MEM 95.566406 1652240703.4530
MEM 95.566406 1652240703.5533
MEM 95.566406 1652240703.6535
MEM 95.566406 1652240703.7538
MEM 95.566406 1652240703.8541
MEM 106.156250 1652240703.9543
MEM 106.156250 1652240704.0546
MEM 106.156250 1652240704.1549
MEM 106.156250 1652240704.2551
MEM 106.156250 1652240704.3553
MEM 106.156250 1652240704.4556
MEM 106.156250 1652240704.5560
MEM 106.156250 1652240704.6564
MEM 106.156250 1652240704.7568
MEM 106.156250 1652240704.8572
MEM 106.156250 1652240704.9576
MEM 106.156250 1652240705.0581
MEM 106.156250 1652240705.1585
MEM 106.156250 1652240705.2589
MEM 106.156250 1652240705.3593
MEM 106.785156 1652240705.4597
MEM 106.785156 1652240705.5601
MEM 106.785156 1652240705.6605
MEM 112.921875 1652240705.7609
MEM 113.566406 1652240705.8613
MEM 113.566406 1652240705.9617
MEM 113.859375 1652240706.0621
MEM 113.859375 1652240706.1625
MEM 113.859375 1652240706.2629
MEM 113.859375 1652240706.3632
MEM 116.496094 1652240706.4636
MEM 129.125000 1652240706.5640
MEM 136.894531 1652240706.6644
MEM 141.609375 1652240706.7648
MEM 147.453125 1652240706.8652
MEM 152.464844 1652240706.9656
MEM 152.480469 1652240707.0659
MEM 164.046875 1652240707.1663
MEM 202.359375 1652240707.2667
MEM 218.742188 1652240707.3671
MEM 229.351562 1652240707.4676
MEM 230.546875 1652240707.5680
MEM 299.734375 1652240707.6684
MEM 306.656250 1652240707.7688
MEM 312.203125 1652240707.8691
MEM 323.734375 1652240707.9695
MEM 334.316406 1652240708.0698
MEM 340.679688 1652240708.1702
MEM 346.054688 1652240708.2706
MEM 349.265625 1652240708.3710
MEM 355.917969 1652240708.4714
MEM 367.230469 1652240708.5717
MEM 374.328125 1652240708.6721
MEM 380.851562 1652240708.7725
MEM 389.281250 1652240708.8729
MEM 391.160156 1652240708.9732
MEM 393.277344 1652240709.0736
MEM 395.855469 1652240709.1740
MEM 399.722656 1652240709.2744
MEM 409.593750 1652240709.3748
MEM 419.019531 1652240709.4752
MEM 427.070312 1652240709.5756
MEM 427.570312 1652240709.6760
MEM 428.074219 1652240709.7764
MEM 428.320312 1652240709.8768
MEM 428.820312 1652240709.9772
MEM 429.320312 1652240710.0776
MEM 429.820312 1652240710.1780
MEM 430.175781 1652240710.2784
MEM 430.675781 1652240710.3788
MEM 431.175781 1652240710.4792
MEM 431.675781 1652240710.5796
MEM 432.179688 1652240710.6799
MEM 432.675781 1652240710.7802
MEM 432.925781 1652240710.8806
MEM 432.925781 1652240710.9810
MEM 433.707031 1652240711.0813
MEM 434.207031 1652240711.1816
MEM 434.710938 1652240711.2819
MEM 435.207031 1652240711.3822
MEM 435.707031 1652240711.4825
MEM 435.957031 1652240711.5828
MEM 436.457031 1652240711.6832
MEM 436.968750 1652240711.7836
MEM 437.457031 1652240711.8840
MEM 437.710938 1652240711.9844
MEM 438.207031 1652240712.0848
MEM 438.707031 1652240712.1852
MEM 439.210938 1652240712.2856
MEM 440.269531 1652240712.3860
MEM 440.523438 1652240712.4864
MEM 441.019531 1652240712.5868
MEM 441.519531 1652240712.6872
MEM 441.769531 1652240712.7875
MEM 442.269531 1652240712.8879
MEM 442.523438 1652240712.9883
MEM 442.523438 1652240713.0887
MEM 442.781250 1652240713.1891
MEM 443.578125 1652240713.2895
MEM 437.320312 1652240713.3900
MEM 446.468750 1652240713.4903
MEM 446.468750 1652240713.5908
MEM 446.468750 1652240713.6912
MEM 446.468750 1652240713.7916
MEM 460.238281 1652240713.8920
MEM 474.546875 1652240713.9924
MEM 475.316406 1652240714.0928
MEM 475.566406 1652240714.1932
MEM 475.816406 1652240714.2936
MEM 475.816406 1652240714.3940
MEM 488.496094 1652240714.4944
MEM 488.746094 1652240714.5948
MEM 489.609375 1652240714.6952
MEM 490.203125 1652240714.7956
MEM 490.777344 1652240714.8960
MEM 564.453125 1652240714.9965
MEM 565.933594 1652240715.0969
MEM 565.980469 1652240715.1974
