CMDLINE /usr/bin/python3 scripts/AE-RF-TARA.py
MEM 1.187500 1652244189.0266
MEM 16.214844 1652244189.1270
MEM 23.925781 1652244189.2273
MEM 30.585938 1652244189.3277
MEM 37.949219 1652244189.4281
MEM 45.109375 1652244189.5285
MEM 46.414062 1652244189.6290
MEM 57.968750 1652244189.7294
MEM 69.351562 1652244189.8298
MEM 75.324219 1652244189.9302
MEM 86.847656 1652244190.0306
MEM 89.730469 1652244190.1310
MEM 94.492188 1652244190.2314
MEM 103.707031 1652244190.3318
MEM 108.710938 1652244190.4322
MEM 117.921875 1652244190.5325
MEM 122.472656 1652244190.6328
MEM 124.464844 1652244190.7332
MEM 132.343750 1652244190.8336
MEM 133.613281 1652244190.9339
MEM 137.722656 1652244191.0343
MEM 161.183594 1652244191.1347
MEM 209.890625 1652244191.2351
MEM 242.328125 1652244191.3355
MEM 283.214844 1652244191.4359
MEM 292.160156 1652244191.5363
MEM 297.753906 1652244191.6368
MEM 301.363281 1652244191.7378
MEM 310.316406 1652244191.8382
MEM 318.800781 1652244191.9385
MEM 323.800781 1652244192.0391
MEM 330.535156 1652244192.1395
MEM 334.652344 1652244192.2401
MEM 335.148438 1652244192.3407
MEM 346.140625 1652244192.4411
MEM 352.367188 1652244192.5415
MEM 356.253906 1652244192.6419
MEM 361.699219 1652244192.7422
MEM 369.523438 1652244192.8426
MEM 370.816406 1652244192.9430
MEM 373.792969 1652244193.0434
MEM 377.652344 1652244193.1438
MEM 383.296875 1652244193.2443
MEM 384.812500 1652244193.3447
MEM 403.058594 1652244193.4451
MEM 408.511719 1652244193.5455
MEM 409.003906 1652244193.6459
MEM 411.007812 1652244193.7462
MEM 412.039062 1652244193.8466
MEM 412.964844 1652244193.9471
MEM 414.425781 1652244194.0475
MEM 416.492188 1652244194.1480
MEM 400.894531 1652244194.2484
MEM 401.824219 1652244194.3488
MEM 401.824219 1652244194.4492
MEM 402.316406 1652244194.5496
MEM 411.472656 1652244194.6500
MEM 420.410156 1652244194.7504
MEM 420.410156 1652244194.8508
MEM 420.410156 1652244194.9512
MEM 420.410156 1652244195.0517
MEM 420.660156 1652244195.1521
MEM 421.160156 1652244195.2525
MEM 421.410156 1652244195.3530
MEM 421.660156 1652244195.4533
MEM 421.910156 1652244195.5537
MEM 422.160156 1652244195.6543
MEM 422.660156 1652244195.7546
MEM 422.910156 1652244195.8550
MEM 423.160156 1652244195.9556
MEM 423.660156 1652244196.0560
MEM 423.910156 1652244196.1564
MEM 424.410156 1652244196.2568
MEM 424.410156 1652244196.3573
MEM 424.664062 1652244196.4577
MEM 424.910156 1652244196.5581
MEM 425.414062 1652244196.6585
MEM 425.910156 1652244196.7589
MEM 426.164062 1652244196.8592
MEM 426.660156 1652244196.9596
MEM 426.914062 1652244197.0600
MEM 427.410156 1652244197.1604
MEM 427.664062 1652244197.2607
MEM 427.910156 1652244197.3611
MEM 428.410156 1652244197.4615
MEM 428.660156 1652244197.5619
MEM 429.171875 1652244197.6623
MEM 429.410156 1652244197.7627
MEM 421.109375 1652244197.8631
MEM 448.347656 1652244197.9635
MEM 448.347656 1652244198.0639
MEM 448.835938 1652244198.1643
MEM 449.335938 1652244198.2647
MEM 449.835938 1652244198.3651
MEM 451.585938 1652244198.4655
MEM 452.835938 1652244198.5660
MEM 454.335938 1652244198.6664
MEM 455.835938 1652244198.7668
MEM 458.457031 1652244198.8672
MEM 458.949219 1652244198.9677
MEM 459.921875 1652244199.0684
MEM 462.847656 1652244199.1688
MEM 465.765625 1652244199.2697
MEM 468.691406 1652244199.3701
MEM 471.613281 1652244199.4705
MEM 472.781250 1652244199.5710
MEM 473.574219 1652244199.6715
MEM 473.984375 1652244199.7720
MEM 474.484375 1652244199.8724
MEM 481.367188 1652244199.9727
MEM 465.664062 1652244200.0730
MEM 477.960938 1652244200.1735
MEM 490.003906 1652244200.2739
MEM 500.816406 1652244200.3744
MEM 534.601562 1652244200.4748
MEM 535.589844 1652244200.5752
MEM 535.589844 1652244200.6756
MEM 535.589844 1652244200.7760
MEM 558.089844 1652244200.8763
MEM 561.386719 1652244200.9871
MEM 561.386719 1652244201.0875
MEM 559.636719 1652244201.1878
MEM 559.636719 1652244201.2882
MEM 559.636719 1652244201.3887
MEM 559.636719 1652244201.4891
MEM 669.457031 1652244201.5895
MEM 719.332031 1652244201.6899
MEM 719.332031 1652244201.7903
MEM 719.332031 1652244201.8907
MEM 727.542969 1652244201.9916
MEM 727.542969 1652244202.0920
MEM 727.542969 1652244202.1925
MEM 727.800781 1652244202.2929
MEM 738.238281 1652244202.3935
MEM 738.238281 1652244202.4939
MEM 790.917969 1652244202.5944
MEM 836.812500 1652244202.6951
MEM 854.468750 1652244202.7956
MEM 869.238281 1652244202.8961
MEM 879.582031 1652244202.9965
MEM 901.886719 1652244203.0970
MEM 911.332031 1652244203.1974
MEM 924.281250 1652244203.2978
MEM 924.281250 1652244203.3982
MEM 924.281250 1652244203.4986
MEM 924.281250 1652244203.5991
MEM 924.281250 1652244203.6994
MEM 924.281250 1652244203.7998
MEM 927.484375 1652244203.9003
MEM 927.484375 1652244204.0006
MEM 927.484375 1652244204.1010
MEM 927.484375 1652244204.2014
MEM 947.066406 1652244204.3021
MEM 947.066406 1652244204.4026
MEM 947.066406 1652244204.5030
MEM 947.066406 1652244204.6034
MEM 1010.164062 1652244204.7038
MEM 1010.164062 1652244204.8042
MEM 1010.164062 1652244204.9046
MEM 1015.320312 1652244205.0051
MEM 1015.320312 1652244205.1055
MEM 1015.320312 1652244205.2059
MEM 1026.015625 1652244205.3064
MEM 1026.015625 1652244205.4068
MEM 1061.984375 1652244205.5073
MEM 1082.035156 1652244205.6078
MEM 1091.476562 1652244205.7082
MEM 1097.613281 1652244205.8087
MEM 1105.085938 1652244205.9091
MEM 1106.582031 1652244206.0095
MEM 1110.132812 1652244206.1100
MEM 1111.257812 1652244206.2106
MEM 1111.257812 1652244206.3111
MEM 1111.257812 1652244206.4115
MEM 1111.257812 1652244206.5120
MEM 1111.257812 1652244206.6124
MEM 1111.257812 1652244206.7128
MEM 1111.257812 1652244206.8133
MEM 1111.378906 1652244206.9137
MEM 1111.378906 1652244207.0141
MEM 1111.378906 1652244207.1145
MEM 1111.378906 1652244207.2149
MEM 1130.960938 1652244207.3152
MEM 1130.960938 1652244207.4156
MEM 1130.960938 1652244207.5160
MEM 1130.960938 1652244207.6164
MEM 1166.996094 1652244207.7168
MEM 1166.996094 1652244207.8171
MEM 1166.996094 1652244207.9174
MEM 1166.996094 1652244208.0178
MEM 1166.996094 1652244208.1182
MEM 1166.996094 1652244208.2184
MEM 1172.410156 1652244208.3188
MEM 1173.949219 1652244208.4192
MEM 1192.714844 1652244208.5196
MEM 1200.085938 1652244208.6200
MEM 1209.535156 1652244208.7206
MEM 1210.812500 1652244208.8211
MEM 1213.074219 1652244208.9216
MEM 1217.003906 1652244209.0220
MEM 1219.398438 1652244209.1223
MEM 1219.398438 1652244209.2228
MEM 1219.398438 1652244209.3232
MEM 1219.648438 1652244209.4236
MEM 1219.648438 1652244209.5240
MEM 1219.648438 1652244209.6245
MEM 1219.652344 1652244209.7249
MEM 1229.097656 1652244209.8253
MEM 1229.097656 1652244209.9257
MEM 1229.097656 1652244210.0261
MEM 1229.355469 1652244210.1265
MEM 1239.144531 1652244210.2269
MEM 1239.144531 1652244210.3274
MEM 1239.144531 1652244210.4278
MEM 1273.894531 1652244210.5306
MEM 1293.855469 1652244210.6310
MEM 1293.855469 1652244210.7315
MEM 1293.855469 1652244210.8319
MEM 1293.855469 1652244210.9323
MEM 1293.855469 1652244211.0328
MEM 1293.855469 1652244211.1331
MEM 1294.109375 1652244211.2336
MEM 1304.769531 1652244211.3340
MEM 1315.062500 1652244211.4343
MEM 1320.265625 1652244211.5348
MEM 1322.566406 1652244211.6352
MEM 1330.730469 1652244211.7356
MEM 1333.011719 1652244211.8361
MEM 1334.558594 1652244211.9365
MEM 1334.558594 1652244212.0369
MEM 1334.558594 1652244212.1374
MEM 1334.558594 1652244212.2378
MEM 1334.558594 1652244212.3381
MEM 1334.558594 1652244212.4386
MEM 1334.558594 1652244212.5391
MEM 1334.558594 1652244212.6394
MEM 1334.558594 1652244212.7398
MEM 1334.558594 1652244212.8405
MEM 1334.558594 1652244212.9410
MEM 1334.558594 1652244213.0414
MEM 1334.542969 1652244213.1418
MEM 1334.578125 1652244213.2422
MEM 1334.828125 1652244213.3426
MEM 1335.082031 1652244213.4430
MEM 1335.339844 1652244213.5434
MEM 1335.339844 1652244213.6438
MEM 1354.675781 1652244213.7442
MEM 1354.675781 1652244213.8446
MEM 1354.675781 1652244213.9450
MEM 1354.675781 1652244214.0454
MEM 1374.519531 1652244214.1458
MEM 1374.519531 1652244214.2462
MEM 1374.519531 1652244214.3466
MEM 1374.519531 1652244214.4470
MEM 1391.500000 1652244214.5486
MEM 1407.316406 1652244214.6490
MEM 1407.570312 1652244214.7494
MEM 1407.570312 1652244214.8498
MEM 1407.570312 1652244214.9503
MEM 1407.570312 1652244215.0507
MEM 1407.570312 1652244215.1512
MEM 1407.828125 1652244215.2516
MEM 1407.828125 1652244215.3521
MEM 1419.972656 1652244215.4526
MEM 1431.832031 1652244215.5534
MEM 1433.859375 1652244215.6538
MEM 1433.843750 1652244215.7543
MEM 1436.757812 1652244215.8548
MEM 1437.382812 1652244215.9552
MEM 1437.367188 1652244216.0557
MEM 1437.898438 1652244216.1562
MEM 1437.898438 1652244216.2565
MEM 1438.105469 1652244216.3570
MEM 1438.605469 1652244216.4574
MEM 1438.605469 1652244216.5578
MEM 1438.605469 1652244216.6583
MEM 1438.605469 1652244216.7587
MEM 1438.339844 1652244216.8590
MEM 1438.339844 1652244216.9593
MEM 1438.339844 1652244217.0596
MEM 1457.664062 1652244217.1600
MEM 1457.921875 1652244217.2603
MEM 1458.179688 1652244217.3606
MEM 1458.222656 1652244217.4609
MEM 1458.222656 1652244217.5613
MEM 1481.875000 1652244217.6617
MEM 1485.539062 1652244217.7620
MEM 1485.789062 1652244217.8624
MEM 1485.789062 1652244217.9628
MEM 1490.941406 1652244218.0633
MEM 1491.031250 1652244218.1636
MEM 1501.273438 1652244218.2641
MEM 1501.789062 1652244218.3645
MEM 1514.492188 1652244218.4649
MEM 1528.980469 1652244218.5654
MEM 1529.589844 1652244218.6658
MEM 1531.851562 1652244218.7662
MEM 1531.835938 1652244218.8666
MEM 1532.664062 1652244218.9670
MEM 1532.664062 1652244219.0674
MEM 1532.914062 1652244219.1679
MEM 1533.414062 1652244219.2684
MEM 1533.414062 1652244219.3688
MEM 1533.414062 1652244219.4692
MEM 1533.414062 1652244219.5697
MEM 1533.531250 1652244219.6701
MEM 1533.531250 1652244219.7705
MEM 1533.531250 1652244219.8710
MEM 1533.531250 1652244219.9716
MEM 1533.531250 1652244220.0720
MEM 1553.113281 1652244220.1724
MEM 1553.113281 1652244220.2729
MEM 1553.113281 1652244220.3733
MEM 1553.113281 1652244220.4738
MEM 1553.113281 1652244220.5741
MEM 1571.390625 1652244220.6745
MEM 1571.390625 1652244220.7750
MEM 1571.648438 1652244220.8754
MEM 1571.648438 1652244220.9758
MEM 1571.648438 1652244221.0762
MEM 1571.648438 1652244221.1767
MEM 1571.648438 1652244221.2771
MEM 1571.906250 1652244221.3775
MEM 1571.906250 1652244221.4779
MEM 1586.195312 1652244221.5783
MEM 1588.632812 1652244221.6787
MEM 1594.195312 1652244221.7797
MEM 1594.828125 1652244221.8801
MEM 1600.812500 1652244221.9806
MEM 1613.851562 1652244222.0810
MEM 1614.863281 1652244222.1814
MEM 1614.988281 1652244222.2818
MEM 1615.488281 1652244222.3822
MEM 1615.488281 1652244222.4826
MEM 1615.488281 1652244222.5831
MEM 1615.488281 1652244222.6835
MEM 1615.472656 1652244222.7840
MEM 1615.472656 1652244222.8844
MEM 1615.472656 1652244222.9848
MEM 1615.472656 1652244223.0853
MEM 1625.265625 1652244223.1856
MEM 1625.265625 1652244223.2860
MEM 1625.265625 1652244223.3864
MEM 1625.414062 1652244223.4869
MEM 1625.414062 1652244223.5873
MEM 1625.414062 1652244223.6881
MEM 1641.878906 1652244223.7886
MEM 1642.128906 1652244223.8891
MEM 1642.128906 1652244223.9895
MEM 1642.128906 1652244224.0899
MEM 1642.128906 1652244224.1904
MEM 1642.128906 1652244224.2908
MEM 1652.820312 1652244224.3913
MEM 1652.753906 1652244224.4918
MEM 1677.679688 1652244224.5922
MEM 1679.351562 1652244224.6926
MEM 1690.140625 1652244224.7929
MEM 1695.484375 1652244224.8933
MEM 1695.464844 1652244224.9938
MEM 1696.003906 1652244225.0942
MEM 1696.003906 1652244225.1946
MEM 1696.253906 1652244225.2951
MEM 1696.753906 1652244225.3955
MEM 1696.753906 1652244225.4959
MEM 1696.753906 1652244225.5963
MEM 1697.246094 1652244225.6967
MEM 1706.203125 1652244225.7970
MEM 1706.203125 1652244225.8973
MEM 1706.203125 1652244225.9976
MEM 1716.250000 1652244226.0980
MEM 1716.250000 1652244226.1987
MEM 1716.250000 1652244226.2992
MEM 1716.250000 1652244226.3996
MEM 1716.367188 1652244226.5001
MEM 1732.332031 1652244226.6005
MEM 1732.332031 1652244226.7010
MEM 1732.585938 1652244226.8016
MEM 1732.585938 1652244226.9021
MEM 1732.585938 1652244227.0028
MEM 1738.000000 1652244227.1032
MEM 1738.000000 1652244227.2036
MEM 1738.000000 1652244227.3041
MEM 1739.031250 1652244227.4045
MEM 1748.695312 1652244227.5049
MEM 1751.105469 1652244227.6053
MEM 1769.886719 1652244227.7057
MEM 1771.175781 1652244227.8062
MEM 1775.894531 1652244227.9066
MEM 1782.398438 1652244228.0072
MEM 1784.679688 1652244228.1076
MEM 1793.027344 1652244228.2080
MEM 1793.058594 1652244228.3085
MEM 1793.308594 1652244228.4089
MEM 1793.562500 1652244228.5093
MEM 1793.562500 1652244228.6097
MEM 1793.820312 1652244228.7101
MEM 1820.394531 1652244228.8106
MEM 1822.894531 1652244228.9110
MEM 1822.894531 1652244229.0114
MEM 1822.894531 1652244229.1118
MEM 1842.738281 1652244229.2122
MEM 1842.738281 1652244229.3126
MEM 1844.222656 1652244229.4130
MEM 1844.550781 1652244229.5134
MEM 1844.550781 1652244229.6139
MEM 1844.550781 1652244229.7144
MEM 1844.550781 1652244229.8148
MEM 1844.550781 1652244229.9153
MEM 1853.566406 1652244230.0158
MEM 1853.566406 1652244230.1162
MEM 1853.566406 1652244230.2166
MEM 1853.566406 1652244230.3171
MEM 1853.566406 1652244230.4176
MEM 1853.566406 1652244230.5181
MEM 1853.566406 1652244230.6185
MEM 1853.820312 1652244230.7190
MEM 1853.820312 1652244230.8194
MEM 1861.902344 1652244230.9198
MEM 1863.425781 1652244231.0204
MEM 1865.660156 1652244231.1208
MEM 1869.992188 1652244231.2212
MEM 1869.937500 1652244231.3216
MEM 1870.972656 1652244231.4221
MEM 1870.812500 1652244231.5225
MEM 1870.812500 1652244231.6230
MEM 1870.812500 1652244231.7234
MEM 1870.812500 1652244231.8238
MEM 1870.812500 1652244231.9243
MEM 1870.812500 1652244232.0247
MEM 1870.789062 1652244232.1251
MEM 1870.789062 1652244232.2256
MEM 1870.789062 1652244232.3263
MEM 1870.789062 1652244232.4268
MEM 1870.789062 1652244232.5272
MEM 1870.789062 1652244232.6276
MEM 1870.789062 1652244232.7280
MEM 1870.789062 1652244232.8285
MEM 1870.789062 1652244232.9289
MEM 1871.097656 1652244233.0293
MEM 1910.812500 1652244233.1297
MEM 1910.812500 1652244233.2301
MEM 1910.812500 1652244233.3305
MEM 1910.812500 1652244233.4311
MEM 1910.812500 1652244233.5315
MEM 1910.812500 1652244233.6319
MEM 1910.812500 1652244233.7324
MEM 1911.535156 1652244233.8328
MEM 1911.535156 1652244233.9333
MEM 1927.285156 1652244234.0337
MEM 1937.843750 1652244234.1341
MEM 1940.117188 1652244234.2354
MEM 1942.679688 1652244234.3359
MEM 1944.554688 1652244234.4364
MEM 1945.187500 1652244234.5369
MEM 1949.117188 1652244234.6379
MEM 1953.484375 1652244234.7384
MEM 1959.773438 1652244234.8389
MEM 1959.773438 1652244234.9392
MEM 1959.773438 1652244235.0396
MEM 1959.773438 1652244235.1399
MEM 1959.773438 1652244235.2402
MEM 1959.773438 1652244235.3414
MEM 1959.773438 1652244235.4417
MEM 1959.750000 1652244235.5421
MEM 1959.750000 1652244235.6442
MEM 1959.750000 1652244235.7446
MEM 1959.750000 1652244235.8448
MEM 1959.750000 1652244235.9452
MEM 1959.750000 1652244236.0455
MEM 1959.750000 1652244236.1460
MEM 1959.750000 1652244236.2463
MEM 1959.750000 1652244236.3468
MEM 1967.265625 1652244236.4472
MEM 1967.519531 1652244236.5476
MEM 1967.519531 1652244236.6480
MEM 1967.519531 1652244236.7485
MEM 1967.519531 1652244236.8489
MEM 1967.519531 1652244236.9493
MEM 1967.519531 1652244237.0497
MEM 1968.031250 1652244237.1501
MEM 1970.343750 1652244237.2506
MEM 1974.742188 1652244237.3511
MEM 1979.843750 1652244237.4516
MEM 1979.824219 1652244237.5520
MEM 1979.812500 1652244237.6525
MEM 1983.257812 1652244237.7529
MEM 1983.890625 1652244237.8533
