CMDLINE /usr/bin/python3 scripts/AE-SVM-Malaria.py
MEM 1.125000 1652243281.2927
MEM 16.710938 1652243281.3931
MEM 24.972656 1652243281.4935
MEM 31.636719 1652243281.5938
MEM 38.492188 1652243281.6942
MEM 45.300781 1652243281.7945
MEM 48.000000 1652243281.8951
MEM 61.441406 1652243281.9956
MEM 70.316406 1652243282.0960
MEM 75.425781 1652243282.1964
MEM 86.339844 1652243282.2973
MEM 88.535156 1652243282.3977
MEM 93.394531 1652243282.4981
MEM 97.640625 1652243282.5985
MEM 107.906250 1652243282.6990
MEM 112.007812 1652243282.7994
MEM 121.699219 1652243282.8998
MEM 123.320312 1652243283.0002
MEM 125.660156 1652243283.1006
MEM 131.203125 1652243283.2011
MEM 133.562500 1652243283.3015
MEM 133.820312 1652243283.4019
MEM 143.257812 1652243283.5023
MEM 202.722656 1652243283.6027
MEM 233.914062 1652243283.7031
MEM 277.953125 1652243283.8034
MEM 286.613281 1652243283.9038
MEM 294.953125 1652243284.0042
MEM 296.585938 1652243284.1047
MEM 305.648438 1652243284.2051
MEM 314.878906 1652243284.3055
MEM 319.863281 1652243284.4060
MEM 327.640625 1652243284.5063
MEM 332.898438 1652243284.6067
MEM 338.187500 1652243284.7071
MEM 344.093750 1652243284.8075
MEM 350.804688 1652243284.9078
MEM 356.648438 1652243285.0083
MEM 365.511719 1652243285.1086
MEM 366.996094 1652243285.2090
MEM 369.218750 1652243285.3094
MEM 373.593750 1652243285.4098
MEM 383.750000 1652243285.5102
MEM 383.750000 1652243285.6107
MEM 387.503906 1652243285.7111
MEM 430.855469 1652243285.8116
MEM 430.855469 1652243285.9120
MEM 451.480469 1652243286.0124
MEM 451.480469 1652243286.1128
MEM 451.480469 1652243286.2133
MEM 418.390625 1652243286.3137
MEM 419.109375 1652243286.4142
MEM 420.140625 1652243286.5147
MEM 421.687500 1652243286.6151
MEM 423.847656 1652243286.7157
MEM 427.714844 1652243286.8161
MEM 431.324219 1652243286.9172
MEM 434.160156 1652243287.0177
MEM 437.769531 1652243287.1191
MEM 476.726562 1652243287.2195
MEM 499.410156 1652243287.3199
MEM 551.816406 1652243287.4203
MEM 552.125000 1652243287.5206
MEM 552.375000 1652243287.6209
MEM 552.878906 1652243287.7211
MEM 553.136719 1652243287.8214
MEM 553.652344 1652243287.9217
MEM 553.910156 1652243288.0220
MEM 554.375000 1652243288.1224
MEM 554.878906 1652243288.2227
MEM 555.136719 1652243288.3230
MEM 555.625000 1652243288.4234
MEM 555.875000 1652243288.5238
MEM 556.386719 1652243288.6242
MEM 556.644531 1652243288.7246
MEM 557.125000 1652243288.8250
MEM 554.550781 1652243288.9254
MEM 559.292969 1652243289.0258
MEM 563.351562 1652243289.1262
MEM 597.105469 1652243289.2266
MEM 600.683594 1652243289.3270
MEM 617.851562 1652243289.4274
MEM 617.851562 1652243289.5278
MEM 617.851562 1652243289.6282
MEM 639.460938 1652243289.7286
MEM 640.265625 1652243289.8291
MEM 640.265625 1652243289.9295
MEM 641.660156 1652243290.0299
MEM 641.660156 1652243290.1305
MEM 641.660156 1652243290.2308
