CMDLINE /usr/bin/python3 scripts/AE-SVM-Rhizo.py
MEM 1.125000 1652240735.2755
MEM 16.699219 1652240735.3759
MEM 23.929688 1652240735.4763
MEM 30.832031 1652240735.5767
MEM 38.070312 1652240735.6771
MEM 45.148438 1652240735.7775
MEM 55.316406 1652240735.8779
MEM 68.625000 1652240735.9783
MEM 75.945312 1652240736.0786
MEM 87.046875 1652240736.1790
MEM 90.507812 1652240736.2794
MEM 95.617188 1652240736.3798
MEM 95.617188 1652240736.4802
MEM 95.617188 1652240736.5806
MEM 106.136719 1652240736.6810
MEM 106.136719 1652240736.7814
MEM 106.136719 1652240736.8818
MEM 106.136719 1652240736.9822
MEM 106.136719 1652240737.0826
MEM 106.136719 1652240737.1830
MEM 106.136719 1652240737.2834
MEM 106.136719 1652240737.3837
MEM 106.136719 1652240737.4842
MEM 106.136719 1652240737.5845
MEM 106.136719 1652240737.6849
MEM 106.136719 1652240737.7853
MEM 106.136719 1652240737.8857
MEM 106.136719 1652240737.9861
MEM 106.820312 1652240738.0864
MEM 106.820312 1652240738.1869
MEM 106.820312 1652240738.2872
MEM 107.972656 1652240738.3875
MEM 113.777344 1652240738.4879
MEM 113.777344 1652240738.5883
MEM 114.066406 1652240738.6887
MEM 114.066406 1652240738.7891
MEM 114.066406 1652240738.8895
MEM 114.066406 1652240738.9900
MEM 114.066406 1652240739.0904
MEM 124.734375 1652240739.1909
MEM 129.375000 1652240739.2913
MEM 140.347656 1652240739.3917
MEM 141.898438 1652240739.4937
MEM 146.144531 1652240739.5941
MEM 152.429688 1652240739.6944
MEM 152.882812 1652240739.7948
MEM 159.734375 1652240739.8952
MEM 197.925781 1652240739.9956
MEM 214.308594 1652240740.0959
MEM 224.921875 1652240740.1963
MEM 250.902344 1652240740.2967
MEM 296.714844 1652240740.3971
MEM 304.636719 1652240740.4975
MEM 310.179688 1652240740.5978
MEM 321.480469 1652240740.6982
MEM 330.648438 1652240740.7985
MEM 337.367188 1652240740.8988
MEM 342.988281 1652240740.9992
MEM 346.964844 1652240741.0996
MEM 356.671875 1652240741.2000
MEM 364.937500 1652240741.3003
MEM 370.523438 1652240741.4007
MEM 376.253906 1652240741.5010
MEM 384.316406 1652240741.6014
MEM 385.925781 1652240741.7017
MEM 387.847656 1652240741.8021
MEM 393.183594 1652240741.9025
MEM 394.621094 1652240742.0029
MEM 404.550781 1652240742.1032
MEM 413.941406 1652240742.2036
MEM 422.183594 1652240742.3040
MEM 422.683594 1652240742.4046
MEM 422.933594 1652240742.5050
MEM 423.437500 1652240742.6054
MEM 423.753906 1652240742.7058
MEM 424.257812 1652240742.8062
MEM 424.753906 1652240742.9067
MEM 425.394531 1652240743.0071
MEM 425.644531 1652240743.1075
MEM 426.144531 1652240743.2079
MEM 426.644531 1652240743.3084
MEM 426.894531 1652240743.4087
MEM 427.394531 1652240743.5091
MEM 427.894531 1652240743.6095
MEM 428.648438 1652240743.7100
MEM 428.925781 1652240743.8104
