CMDLINE /usr/bin/python3 scripts/AE-SVM-TARA.py
MEM 1.132812 1652289006.5041
MEM 14.785156 1652289006.6044
MEM 21.707031 1652289006.7050
MEM 26.652344 1652289006.8054
MEM 31.457031 1652289006.9059
MEM 37.500000 1652289007.0062
MEM 39.136719 1652289007.1067
MEM 46.527344 1652289007.2072
MEM 56.773438 1652289007.3077
MEM 65.015625 1652289007.4082
MEM 71.832031 1652289007.5087
MEM 79.488281 1652289007.6091
MEM 86.542969 1652289007.7096
MEM 88.347656 1652289007.8100
MEM 92.507812 1652289007.9105
MEM 95.253906 1652289008.0110
MEM 95.253906 1652289008.1115
MEM 95.253906 1652289008.2119
MEM 97.761719 1652289008.3127
MEM 105.921875 1652289008.4132
MEM 105.921875 1652289008.5138
MEM 105.921875 1652289008.6143
MEM 105.921875 1652289008.7148
MEM 105.921875 1652289008.8152
MEM 105.921875 1652289008.9157
MEM 105.921875 1652289009.0162
MEM 105.921875 1652289009.1166
MEM 105.921875 1652289009.2174
MEM 105.921875 1652289009.3178
MEM 105.921875 1652289009.4185
MEM 105.921875 1652289009.5190
MEM 105.921875 1652289009.6195
MEM 105.921875 1652289009.7199
MEM 106.527344 1652289009.8204
MEM 106.527344 1652289009.9209
MEM 106.527344 1652289010.0216
MEM 112.785156 1652289010.1220
MEM 112.785156 1652289010.2225
MEM 112.785156 1652289010.3230
MEM 113.332031 1652289010.4235
MEM 113.332031 1652289010.5242
MEM 113.332031 1652289010.6247
MEM 113.332031 1652289010.7251
MEM 118.335938 1652289010.8256
MEM 123.839844 1652289010.9261
MEM 129.234375 1652289011.0266
MEM 132.480469 1652289011.1271
MEM 140.894531 1652289011.2275
MEM 142.429688 1652289011.3278
MEM 147.750000 1652289011.4284
MEM 152.250000 1652289011.5288
MEM 152.753906 1652289011.6294
MEM 154.898438 1652289011.7299
MEM 162.523438 1652289011.8303
MEM 197.929688 1652289011.9308
MEM 206.062500 1652289012.0314
MEM 222.093750 1652289012.1320
MEM 224.585938 1652289012.2324
MEM 226.125000 1652289012.3329
MEM 226.125000 1652289012.4337
MEM 281.335938 1652289012.5341
MEM 300.675781 1652289012.6346
MEM 305.054688 1652289012.7351
MEM 307.152344 1652289012.8355
MEM 313.937500 1652289012.9359
MEM 322.621094 1652289013.0363
MEM 330.867188 1652289013.1367
MEM 336.109375 1652289013.2370
MEM 341.800781 1652289013.3375
MEM 343.910156 1652289013.4379
MEM 347.410156 1652289013.5384
MEM 352.386719 1652289013.6388
MEM 362.527344 1652289013.7391
MEM 368.863281 1652289013.8397
MEM 374.011719 1652289013.9400
MEM 383.003906 1652289014.0405
MEM 385.882812 1652289014.1409
MEM 387.109375 1652289014.2413
MEM 394.800781 1652289014.3417
MEM 395.593750 1652289014.4421
MEM 396.277344 1652289014.5432
MEM 400.160156 1652289014.6436
MEM 405.726562 1652289014.7442
MEM 428.128906 1652289014.8446
MEM 428.906250 1652289014.9450
MEM 429.140625 1652289015.0454
MEM 430.621094 1652289015.1460
MEM 432.097656 1652289015.2465
MEM 432.277344 1652289015.3470
MEM 433.332031 1652289015.4475
MEM 435.199219 1652289015.5480
MEM 436.781250 1652289015.6485
MEM 420.777344 1652289015.7490
MEM 422.058594 1652289015.8495
MEM 422.058594 1652289015.9499
MEM 422.058594 1652289016.0504
MEM 423.628906 1652289016.1509
MEM 440.332031 1652289016.2512
MEM 440.332031 1652289016.3516
MEM 440.332031 1652289016.4520
MEM 440.332031 1652289016.5525
MEM 440.582031 1652289016.6530
MEM 440.832031 1652289016.7534
MEM 441.082031 1652289016.8539
MEM 441.582031 1652289016.9544
MEM 441.832031 1652289017.0548
MEM 442.082031 1652289017.1553
MEM 442.582031 1652289017.2557
MEM 442.835938 1652289017.3562
MEM 443.082031 1652289017.4567
MEM 443.082031 1652289017.5572
MEM 443.082031 1652289017.6576
MEM 443.582031 1652289017.7581
MEM 443.832031 1652289017.8586
MEM 444.082031 1652289017.9591
MEM 444.582031 1652289018.0595
MEM 444.832031 1652289018.1603
MEM 445.332031 1652289018.2608
MEM 445.582031 1652289018.3612
MEM 446.082031 1652289018.4618
MEM 446.332031 1652289018.5624
MEM 446.582031 1652289018.6629
MEM 447.082031 1652289018.7633
MEM 447.332031 1652289018.8637
MEM 447.582031 1652289018.9644
MEM 448.082031 1652289019.0649
MEM 448.332031 1652289019.1653
MEM 448.832031 1652289019.2659
MEM 449.082031 1652289019.3664
MEM 440.949219 1652289019.4671
MEM 459.019531 1652289019.5675
MEM 459.019531 1652289019.6679
MEM 459.019531 1652289019.7684
MEM 459.019531 1652289019.8689
MEM 459.273438 1652289019.9694
MEM 460.796875 1652289020.0699
MEM 462.324219 1652289020.1704
MEM 463.546875 1652289020.2708
MEM 465.046875 1652289020.3713
MEM 466.300781 1652289020.4719
MEM 466.300781 1652289020.5725
MEM 466.558594 1652289020.6730
MEM 468.746094 1652289020.7735
MEM 471.476562 1652289020.8741
MEM 474.109375 1652289020.9746
MEM 476.882812 1652289021.0751
