CMDLINE /usr/bin/python3 scripts/Lasso-RF-Malaria.py
MEM 0.003906 1652243444.3882
MEM 16.808594 1652243444.4886
MEM 24.707031 1652243444.5889
MEM 31.273438 1652243444.6893
MEM 38.203125 1652243444.7896
MEM 44.843750 1652243444.8900
MEM 47.042969 1652243444.9905
MEM 59.906250 1652243445.0912
MEM 70.671875 1652243445.1916
MEM 76.269531 1652243445.2920
MEM 86.925781 1652243445.3924
MEM 90.363281 1652243445.4930
MEM 94.585938 1652243445.5934
MEM 107.902344 1652243445.6938
MEM 116.683594 1652243445.7942
MEM 124.167969 1652243445.8946
MEM 125.015625 1652243445.9950
MEM 130.558594 1652243446.0954
MEM 131.070312 1652243446.1958
MEM 137.824219 1652243446.2962
MEM 148.085938 1652243446.3966
MEM 192.734375 1652243446.4971
MEM 192.734375 1652243446.5977
MEM 213.101562 1652243446.6981
MEM 213.101562 1652243446.7985
MEM 213.101562 1652243446.8990
MEM 179.265625 1652243446.9994
MEM 180.679688 1652243447.0998
MEM 182.218750 1652243447.2003
MEM 182.476562 1652243447.3007
MEM 184.796875 1652243447.4011
MEM 189.746094 1652243447.5015
MEM 192.582031 1652243447.6020
MEM 196.191406 1652243447.7024
MEM 200.042969 1652243447.8028
MEM 240.753906 1652243447.9033
MEM 245.007812 1652243448.0038
MEM 316.847656 1652243448.1042
MEM 317.167969 1652243448.2047
MEM 317.417969 1652243448.3050
MEM 317.917969 1652243448.4054
MEM 318.167969 1652243448.5059
MEM 318.667969 1652243448.6063
MEM 318.917969 1652243448.7066
MEM 319.417969 1652243448.8070
MEM 319.667969 1652243448.9074
MEM 319.917969 1652243449.0078
MEM 320.171875 1652243449.1082
MEM 320.667969 1652243449.2086
MEM 321.167969 1652243449.3089
MEM 321.417969 1652243449.4093
MEM 321.917969 1652243449.5097
MEM 322.167969 1652243449.6101
MEM 327.160156 1652243449.7104
MEM 327.160156 1652243449.8108
MEM 327.160156 1652243449.9112
MEM 354.304688 1652243450.0115
MEM 370.054688 1652243450.1120
MEM 370.054688 1652243450.2139
MEM 316.457031 1652243450.3143
MEM 355.019531 1652243450.4148
MEM 366.308594 1652243450.5153
MEM 370.347656 1652243450.6157
MEM 370.347656 1652243450.7167
MEM 324.238281 1652243450.8171
MEM 355.019531 1652243450.9175
MEM 369.832031 1652243451.0179
MEM 370.347656 1652243451.1183
MEM 309.683594 1652243451.2186
MEM 324.238281 1652243451.3190
MEM 355.019531 1652243451.4194
MEM 370.347656 1652243451.5198
MEM 370.347656 1652243451.6201
MEM 312.457031 1652243451.7205
MEM 324.238281 1652243451.8208
MEM 355.019531 1652243451.9212
MEM 370.347656 1652243452.0216
MEM 370.347656 1652243452.1219
MEM 324.238281 1652243452.2223
MEM 354.761719 1652243452.3227
MEM 370.089844 1652243452.4232
MEM 370.089844 1652243452.5236
MEM 320.457031 1652243452.6240
MEM 355.019531 1652243452.7244
MEM 370.347656 1652243452.8249
MEM 370.347656 1652243452.9253
MEM 316.457031 1652243453.0258
MEM 324.238281 1652243453.1261
MEM 355.019531 1652243453.2267
MEM 370.347656 1652243453.3272
MEM 370.347656 1652243453.4275
MEM 324.238281 1652243453.5308
MEM 355.019531 1652243453.6312
MEM 370.347656 1652243453.7316
MEM 370.347656 1652243453.8320
MEM 309.941406 1652243453.9324
MEM 324.238281 1652243454.0327
MEM 355.019531 1652243454.1331
MEM 370.347656 1652243454.2336
MEM 370.347656 1652243454.3339
MEM 324.238281 1652243454.4343
MEM 354.761719 1652243454.5348
MEM 370.089844 1652243454.6352
MEM 370.089844 1652243454.7380
MEM 324.238281 1652243454.8384
MEM 324.238281 1652243454.9389
MEM 355.019531 1652243455.0393
MEM 370.347656 1652243455.1404
MEM 370.347656 1652243455.2408
MEM 318.457031 1652243455.3414
MEM 326.496094 1652243455.4418
MEM 355.019531 1652243455.5422
MEM 370.347656 1652243455.6427
MEM 370.347656 1652243455.7431
MEM 324.238281 1652243455.8435
MEM 355.019531 1652243455.9439
MEM 370.347656 1652243456.0443
MEM 314.457031 1652243456.1446
MEM 324.238281 1652243456.2453
MEM 355.019531 1652243456.3457
MEM 370.347656 1652243456.4472
MEM 309.425781 1652243456.5477
MEM 324.238281 1652243456.6482
MEM 354.761719 1652243456.7486
MEM 370.089844 1652243456.8490
MEM 370.089844 1652243456.9494
MEM 324.238281 1652243457.0498
MEM 355.019531 1652243457.1502
MEM 370.347656 1652243457.2506
MEM 370.347656 1652243457.3510
MEM 314.457031 1652243457.4514
MEM 324.238281 1652243457.5517
MEM 355.019531 1652243457.6521
MEM 370.347656 1652243457.7526
MEM 370.347656 1652243457.8531
MEM 324.238281 1652243457.9535
MEM 355.019531 1652243458.0539
MEM 370.347656 1652243458.1544
MEM 370.347656 1652243458.2548
MEM 309.425781 1652243458.3552
MEM 324.238281 1652243458.4556
MEM 355.019531 1652243458.5560
MEM 370.347656 1652243458.6564
MEM 370.347656 1652243458.7568
MEM 324.238281 1652243458.8572
MEM 339.500000 1652243458.9579
MEM 354.761719 1652243459.0583
MEM 370.089844 1652243459.1588
MEM 370.089844 1652243459.2592
MEM 314.457031 1652243459.3614
MEM 324.238281 1652243459.4619
MEM 355.019531 1652243459.5623
MEM 370.347656 1652243459.6631
MEM 370.347656 1652243459.7636
MEM 310.457031 1652243459.8641
MEM 324.238281 1652243459.9645
MEM 355.019531 1652243460.0649
MEM 370.347656 1652243460.1654
MEM 370.347656 1652243460.2657
MEM 322.457031 1652243460.3673
MEM 324.238281 1652243460.4677
MEM 355.019531 1652243460.5681
MEM 370.347656 1652243460.6685
MEM 370.347656 1652243460.7690
MEM 324.238281 1652243460.8712
MEM 348.519531 1652243460.9717
MEM 355.019531 1652243461.0721
MEM 370.347656 1652243461.1725
MEM 370.347656 1652243461.2729
MEM 324.238281 1652243461.3762
MEM 354.761719 1652243461.4765
MEM 370.089844 1652243461.5769
MEM 370.089844 1652243461.6772
MEM 324.238281 1652243461.7776
MEM 324.238281 1652243461.8779
MEM 355.019531 1652243461.9783
MEM 370.347656 1652243462.0788
MEM 370.347656 1652243462.1793
MEM 370.347656 1652243462.2797
MEM 324.238281 1652243462.3801
MEM 355.019531 1652243462.4805
MEM 370.347656 1652243462.5810
MEM 370.347656 1652243462.6813
MEM 324.238281 1652243462.7818
MEM 355.019531 1652243462.8823
MEM 370.347656 1652243462.9828
MEM 370.347656 1652243463.0832
MEM 370.347656 1652243463.1837
MEM 324.238281 1652243463.2842
MEM 355.019531 1652243463.3846
MEM 370.347656 1652243463.4851
MEM 370.347656 1652243463.5856
MEM 370.347656 1652243463.6860
MEM 324.238281 1652243463.7865
MEM 354.761719 1652243463.8874
MEM 370.089844 1652243463.9879
MEM 370.089844 1652243464.0884
MEM 370.089844 1652243464.1888
MEM 324.238281 1652243464.2893
MEM 355.019531 1652243464.3897
MEM 370.347656 1652243464.4902
MEM 370.347656 1652243464.5912
MEM 324.238281 1652243464.6915
MEM 324.238281 1652243464.7918
MEM 355.019531 1652243464.8923
MEM 370.347656 1652243464.9939
MEM 370.347656 1652243465.0942
MEM 324.238281 1652243465.1946
MEM 355.019531 1652243465.2949
MEM 370.347656 1652243465.3954
MEM 370.347656 1652243465.4958
MEM 324.238281 1652243465.5962
MEM 355.019531 1652243465.6966
MEM 370.347656 1652243465.7970
