CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 1.179688 1652241536.9069
MEM 16.023438 1652241537.0074
MEM 18.050781 1652241537.1077
MEM 22.921875 1652241537.2080
MEM 26.660156 1652241537.3083
MEM 29.738281 1652241537.4087
MEM 35.500000 1652241537.5090
MEM 39.714844 1652241537.6094
MEM 45.015625 1652241537.7097
MEM 46.867188 1652241537.8100
MEM 58.132812 1652241537.9104
MEM 61.933594 1652241538.0107
MEM 70.640625 1652241538.1111
MEM 78.875000 1652241538.2114
MEM 86.933594 1652241538.3118
MEM 87.281250 1652241538.4121
MEM 89.878906 1652241538.5124
MEM 94.101562 1652241538.6128
MEM 95.527344 1652241538.7131
MEM 108.011719 1652241538.8135
MEM 110.988281 1652241538.9139
MEM 121.027344 1652241539.0143
MEM 124.109375 1652241539.1145
MEM 124.917969 1652241539.2148
MEM 130.066406 1652241539.3151
MEM 131.085938 1652241539.4154
MEM 134.855469 1652241539.5157
MEM 148.644531 1652241539.6160
MEM 159.714844 1652241539.7162
MEM 169.179688 1652241539.8166
MEM 176.292969 1652241539.9169
MEM 176.542969 1652241540.0172
MEM 177.042969 1652241540.1175
MEM 177.546875 1652241540.2178
MEM 177.792969 1652241540.3181
MEM 178.042969 1652241540.4184
MEM 178.542969 1652241540.5186
MEM 178.796875 1652241540.6189
MEM 179.054688 1652241540.7192
MEM 179.570312 1652241540.8195
MEM 179.828125 1652241540.9199
MEM 179.828125 1652241541.0202
MEM 180.292969 1652241541.1205
MEM 180.546875 1652241541.2209
MEM 181.042969 1652241541.3213
MEM 181.296875 1652241541.4217
MEM 181.542969 1652241541.5221
MEM 182.042969 1652241541.6224
MEM 182.292969 1652241541.7228
MEM 182.546875 1652241541.8231
MEM 183.042969 1652241541.9235
MEM 183.292969 1652241542.0239
MEM 183.542969 1652241542.1242
MEM 183.792969 1652241542.2245
MEM 184.046875 1652241542.3249
MEM 184.292969 1652241542.4253
MEM 184.792969 1652241542.5257
MEM 185.042969 1652241542.6261
MEM 185.292969 1652241542.7264
MEM 185.792969 1652241542.8267
MEM 186.042969 1652241542.9271
MEM 186.542969 1652241543.0274
MEM 186.796875 1652241543.1277
MEM 187.042969 1652241543.2282
MEM 187.292969 1652241543.3285
MEM 187.546875 1652241543.4289
MEM 188.042969 1652241543.5294
MEM 188.296875 1652241543.6298
MEM 188.796875 1652241543.7301
MEM 189.042969 1652241543.8305
MEM 189.546875 1652241543.9308
MEM 189.792969 1652241544.0311
MEM 190.042969 1652241544.1316
MEM 190.542969 1652241544.2320
MEM 190.792969 1652241544.3324
MEM 191.292969 1652241544.4328
MEM 183.511719 1652241544.5332
MEM 180.167969 1652241544.6336
MEM 189.250000 1652241544.7339
MEM 193.566406 1652241544.8342
MEM 193.566406 1652241544.9346
MEM 193.566406 1652241545.0349
MEM 193.566406 1652241545.1353
MEM 193.566406 1652241545.2356
MEM 193.566406 1652241545.3359
MEM 201.136719 1652241545.4363
MEM 204.914062 1652241545.5367
MEM 204.914062 1652241545.6370
MEM 204.914062 1652241545.7374
MEM 204.914062 1652241545.8377
MEM 204.914062 1652241545.9381
MEM 194.437500 1652241546.0385
MEM 194.437500 1652241546.1388
MEM 201.656250 1652241546.2391
MEM 201.656250 1652241546.3395
MEM 205.265625 1652241546.4399
MEM 205.265625 1652241546.5403
MEM 205.265625 1652241546.6407
MEM 205.265625 1652241546.7410
MEM 205.265625 1652241546.8413
MEM 194.437500 1652241546.9417
MEM 194.437500 1652241547.0421
MEM 201.656250 1652241547.1426
MEM 201.656250 1652241547.2431
MEM 205.265625 1652241547.3435
MEM 205.265625 1652241547.4438
MEM 205.265625 1652241547.5442
MEM 205.265625 1652241547.6446
MEM 194.437500 1652241547.7449
MEM 194.437500 1652241547.8452
MEM 201.914062 1652241547.9457
MEM 201.914062 1652241548.0461
MEM 205.523438 1652241548.1464
MEM 205.523438 1652241548.2467
MEM 205.523438 1652241548.3471
MEM 194.437500 1652241548.4475
MEM 194.437500 1652241548.5479
MEM 194.437500 1652241548.6482
MEM 194.437500 1652241548.7486
MEM 201.914062 1652241548.8490
MEM 205.523438 1652241548.9494
MEM 205.523438 1652241549.0498
MEM 205.523438 1652241549.1501
MEM 194.437500 1652241549.2505
MEM 194.437500 1652241549.3509
MEM 194.437500 1652241549.4513
MEM 201.656250 1652241549.5516
MEM 201.656250 1652241549.6520
MEM 201.656250 1652241549.7524
MEM 205.265625 1652241549.8527
MEM 205.265625 1652241549.9530
MEM 194.437500 1652241550.0533
MEM 194.437500 1652241550.1538
MEM 194.437500 1652241550.2542
MEM 201.656250 1652241550.3546
MEM 201.656250 1652241550.4550
MEM 205.265625 1652241550.5554
MEM 205.265625 1652241550.6558
MEM 205.265625 1652241550.7561
MEM 194.437500 1652241550.8566
MEM 194.437500 1652241550.9569
MEM 201.656250 1652241551.0572
MEM 201.656250 1652241551.1576
MEM 205.265625 1652241551.2580
MEM 205.265625 1652241551.3584
MEM 205.265625 1652241551.4589
MEM 194.437500 1652241551.5592
MEM 194.437500 1652241551.6597
MEM 201.914062 1652241551.7632
MEM 201.914062 1652241551.8635
MEM 205.523438 1652241551.9639
MEM 205.523438 1652241552.0643
MEM 205.523438 1652241552.1647
MEM 193.921875 1652241552.2650
MEM 194.437500 1652241552.3654
MEM 201.914062 1652241552.4658
MEM 201.914062 1652241552.5661
MEM 205.523438 1652241552.6664
MEM 205.523438 1652241552.7667
MEM 205.523438 1652241552.8670
MEM 194.437500 1652241552.9673
MEM 194.437500 1652241553.0675
MEM 201.656250 1652241553.1678
MEM 201.656250 1652241553.2681
MEM 205.265625 1652241553.3684
MEM 205.265625 1652241553.4687
MEM 205.265625 1652241553.5690
MEM 194.437500 1652241553.6693
MEM 194.437500 1652241553.7696
MEM 201.656250 1652241553.8713
MEM 201.656250 1652241553.9715
MEM 201.656250 1652241554.0719
MEM 205.265625 1652241554.1722
MEM 205.265625 1652241554.2725
MEM 191.089844 1652241554.3727
MEM 194.437500 1652241554.4731
MEM 194.437500 1652241554.5733
MEM 194.437500 1652241554.6736
MEM 201.656250 1652241554.7739
MEM 201.656250 1652241554.8742
MEM 205.265625 1652241554.9778
MEM 205.265625 1652241555.0781
MEM 205.265625 1652241555.1784
MEM 194.437500 1652241555.2787
MEM 194.437500 1652241555.3791
MEM 200.882812 1652241555.4794
MEM 201.914062 1652241555.5798
MEM 205.523438 1652241555.6803
MEM 205.523438 1652241555.7806
MEM 205.523438 1652241555.8810
MEM 194.437500 1652241555.9814
MEM 194.437500 1652241556.0817
MEM 201.914062 1652241556.1820
MEM 201.914062 1652241556.2824
MEM 205.523438 1652241556.3873
MEM 205.523438 1652241556.4877
MEM 205.523438 1652241556.5880
MEM 194.437500 1652241556.6884
MEM 194.437500 1652241556.7888
MEM 194.437500 1652241556.8892
MEM 201.656250 1652241556.9897
MEM 201.656250 1652241557.0911
MEM 205.265625 1652241557.1916
MEM 205.265625 1652241557.2920
MEM 205.265625 1652241557.3924
MEM 194.437500 1652241557.4928
MEM 194.437500 1652241557.5931
MEM 194.437500 1652241557.6934
MEM 201.656250 1652241557.7938
MEM 205.265625 1652241557.8941
MEM 205.265625 1652241557.9950
MEM 205.265625 1652241558.0954
MEM 194.437500 1652241558.1965
MEM 194.437500 1652241558.2969
MEM 194.437500 1652241558.3972
MEM 201.656250 1652241558.4976
MEM 201.656250 1652241558.5979
MEM 205.265625 1652241558.6983
MEM 205.265625 1652241558.7987
MEM 205.265625 1652241558.8990
MEM 205.265625 1652241558.9994
MEM 194.437500 1652241559.0998
MEM 194.437500 1652241559.2001
MEM 201.914062 1652241559.3005
MEM 201.914062 1652241559.4009
MEM 205.523438 1652241559.5041
MEM 205.523438 1652241559.6044
MEM 205.523438 1652241559.7048
MEM 194.437500 1652241559.8052
MEM 194.437500 1652241559.9055
MEM 201.914062 1652241560.0059
MEM 201.914062 1652241560.1063
MEM 205.523438 1652241560.2068
MEM 205.523438 1652241560.3071
MEM 205.523438 1652241560.4074
MEM 194.437500 1652241560.5078
MEM 194.437500 1652241560.6081
MEM 201.656250 1652241560.7086
MEM 201.656250 1652241560.8089
MEM 205.265625 1652241560.9094
MEM 205.265625 1652241561.0097
MEM 205.265625 1652241561.1101
MEM 194.437500 1652241561.2105
MEM 194.437500 1652241561.3108
MEM 201.656250 1652241561.4112
MEM 201.656250 1652241561.5116
MEM 201.656250 1652241561.6119
MEM 205.265625 1652241561.7123
MEM 205.265625 1652241561.8127
MEM 194.437500 1652241561.9130
MEM 194.437500 1652241562.0134
MEM 201.656250 1652241562.1138
MEM 201.656250 1652241562.2142
MEM 205.265625 1652241562.3146
MEM 205.265625 1652241562.4149
MEM 205.265625 1652241562.5151
MEM 194.437500 1652241562.6155
MEM 194.437500 1652241562.7158
MEM 198.304688 1652241562.8163
MEM 201.914062 1652241562.9167
MEM 201.914062 1652241563.0170
MEM 205.523438 1652241563.1173
MEM 205.523438 1652241563.2177
MEM 205.523438 1652241563.3181
MEM 194.437500 1652241563.4184
MEM 194.437500 1652241563.5188
MEM 194.437500 1652241563.6192
MEM 201.914062 1652241563.7195
MEM 201.914062 1652241563.8199
MEM 205.523438 1652241563.9203
MEM 205.523438 1652241564.0206
MEM 205.523438 1652241564.1210
MEM 194.437500 1652241564.2214
MEM 194.437500 1652241564.3218
MEM 194.437500 1652241564.4222
MEM 201.656250 1652241564.5226
MEM 201.656250 1652241564.6230
MEM 205.265625 1652241564.7233
MEM 205.265625 1652241564.8237
MEM 205.265625 1652241564.9241
MEM 194.437500 1652241565.0244
MEM 194.437500 1652241565.1248
MEM 194.437500 1652241565.2251
MEM 201.656250 1652241565.3255
MEM 201.656250 1652241565.4258
MEM 205.265625 1652241565.5262
MEM 205.265625 1652241565.6265
MEM 205.265625 1652241565.7268
MEM 194.437500 1652241565.8271
MEM 194.437500 1652241565.9274
MEM 201.656250 1652241566.0279
MEM 201.656250 1652241566.1282
MEM 205.265625 1652241566.2287
MEM 205.265625 1652241566.3291
MEM 205.265625 1652241566.4294
MEM 194.437500 1652241566.5298
MEM 194.437500 1652241566.6301
MEM 194.437500 1652241566.7304
MEM 201.914062 1652241566.8308
MEM 205.523438 1652241566.9313
MEM 205.523438 1652241567.0316
MEM 205.523438 1652241567.1320
MEM 194.437500 1652241567.2323
MEM 194.437500 1652241567.3326
MEM 194.437500 1652241567.4329
MEM 201.914062 1652241567.5333
MEM 201.914062 1652241567.6337
MEM 205.523438 1652241567.7340
MEM 205.523438 1652241567.8343
MEM 205.523438 1652241567.9346
MEM 205.523438 1652241568.0350
MEM 194.437500 1652241568.1353
MEM 194.437500 1652241568.2357
MEM 194.437500 1652241568.3360
MEM 201.656250 1652241568.4363
MEM 205.265625 1652241568.5367
MEM 205.265625 1652241568.6392
MEM 205.265625 1652241568.7396
MEM 205.265625 1652241568.8399
MEM 194.437500 1652241568.9403
MEM 194.437500 1652241569.0406
MEM 194.437500 1652241569.1409
MEM 201.656250 1652241569.2413
MEM 205.265625 1652241569.3416
MEM 205.265625 1652241569.4419
MEM 205.265625 1652241569.5422
MEM 205.265625 1652241569.6425
MEM 194.437500 1652241569.7428
MEM 195.984375 1652241569.8431
MEM 201.656250 1652241569.9454
MEM 205.265625 1652241570.0457
MEM 205.265625 1652241570.1460
MEM 205.265625 1652241570.2463
MEM 194.437500 1652241570.3466
MEM 194.437500 1652241570.4469
MEM 196.500000 1652241570.5470
MEM 201.914062 1652241570.6473
MEM 205.523438 1652241570.7477
MEM 205.523438 1652241570.8479
MEM 205.523438 1652241570.9482
MEM 194.437500 1652241571.0486
MEM 194.437500 1652241571.1490
MEM 194.437500 1652241571.2511
MEM 201.914062 1652241571.3515
MEM 201.914062 1652241571.4517
MEM 205.523438 1652241571.5520
MEM 205.523438 1652241571.6523
MEM 205.523438 1652241571.7526
MEM 194.437500 1652241571.8530
MEM 194.437500 1652241571.9533
MEM 201.656250 1652241572.0536
MEM 201.656250 1652241572.1539
MEM 205.265625 1652241572.2543
MEM 205.265625 1652241572.3546
MEM 205.265625 1652241572.4550
MEM 194.437500 1652241572.5553
MEM 194.437500 1652241572.6557
MEM 194.437500 1652241572.7561
MEM 201.656250 1652241572.8566
MEM 201.656250 1652241572.9569
MEM 205.265625 1652241573.0574
MEM 205.265625 1652241573.1578
MEM 205.265625 1652241573.2581
MEM 205.265625 1652241573.3585
MEM 205.265625 1652241573.4590
MEM 194.437500 1652241573.5593
MEM 194.953125 1652241573.6596
MEM 201.656250 1652241573.7615
MEM 205.265625 1652241573.8619
MEM 205.265625 1652241573.9622
MEM 205.265625 1652241574.0626
MEM 193.406250 1652241574.1629
MEM 194.437500 1652241574.2631
MEM 194.437500 1652241574.3635
MEM 201.914062 1652241574.4640
MEM 205.523438 1652241574.5643
MEM 205.523438 1652241574.6647
MEM 205.523438 1652241574.7650
MEM 194.437500 1652241574.8654
MEM 197.015625 1652241574.9658
MEM 201.914062 1652241575.0662
MEM 201.914062 1652241575.1665
MEM 205.523438 1652241575.2669
MEM 205.523438 1652241575.3673
MEM 205.523438 1652241575.4676
MEM 194.437500 1652241575.5680
MEM 194.437500 1652241575.6684
MEM 201.656250 1652241575.7688
MEM 205.265625 1652241575.8692
MEM 205.265625 1652241575.9696
MEM 205.265625 1652241576.0699
MEM 194.437500 1652241576.1702
MEM 194.437500 1652241576.2706
MEM 197.015625 1652241576.3710
MEM 201.656250 1652241576.4713
MEM 205.265625 1652241576.5717
MEM 205.265625 1652241576.6720
MEM 205.265625 1652241576.7723
MEM 194.437500 1652241576.8726
MEM 201.656250 1652241576.9729
MEM 201.656250 1652241577.0733
MEM 205.265625 1652241577.1736
MEM 205.265625 1652241577.2739
MEM 205.265625 1652241577.3743
MEM 194.437500 1652241577.4746
MEM 194.437500 1652241577.5750
MEM 194.437500 1652241577.6753
MEM 201.914062 1652241577.7757
MEM 201.914062 1652241577.8760
MEM 205.523438 1652241577.9764
MEM 205.523438 1652241578.0768
MEM 205.523438 1652241578.1792
MEM 193.148438 1652241578.2795
MEM 194.437500 1652241578.3798
MEM 194.437500 1652241578.4801
MEM 201.914062 1652241578.5805
MEM 201.914062 1652241578.6808
MEM 205.523438 1652241578.7812
MEM 205.523438 1652241578.8815
MEM 205.523438 1652241578.9818
MEM 205.523438 1652241579.0822
MEM 194.437500 1652241579.1825
MEM 194.437500 1652241579.2829
MEM 194.437500 1652241579.3833
MEM 201.656250 1652241579.4836
MEM 205.265625 1652241579.5840
MEM 205.265625 1652241579.6843
MEM 205.265625 1652241579.7847
MEM 205.265625 1652241579.8849
MEM 205.265625 1652241579.9853
MEM 194.437500 1652241580.0856
MEM 194.437500 1652241580.1859
MEM 201.656250 1652241580.2862
MEM 201.656250 1652241580.3866
MEM 205.265625 1652241580.4869
MEM 205.265625 1652241580.5879
MEM 205.265625 1652241580.6882
MEM 205.265625 1652241580.7886
MEM 194.437500 1652241580.8889
MEM 194.437500 1652241580.9893
MEM 201.656250 1652241581.0896
MEM 205.265625 1652241581.1899
MEM 205.265625 1652241581.2902
MEM 205.265625 1652241581.3905
MEM 205.265625 1652241581.4909
MEM 194.437500 1652241581.5912
MEM 194.437500 1652241581.6915
MEM 201.914062 1652241581.7919
MEM 205.523438 1652241581.8924
MEM 205.523438 1652241581.9927
MEM 205.523438 1652241582.0930
MEM 205.523438 1652241582.1934
MEM 194.437500 1652241582.2938
MEM 194.437500 1652241582.3941
MEM 201.914062 1652241582.4944
MEM 205.523438 1652241582.5948
MEM 205.523438 1652241582.6951
MEM 205.523438 1652241582.7954
MEM 205.523438 1652241582.8957
MEM 194.437500 1652241582.9962
MEM 194.437500 1652241583.0966
MEM 201.656250 1652241583.1969
MEM 205.265625 1652241583.2973
MEM 205.265625 1652241583.3976
MEM 205.265625 1652241583.4981
MEM 205.265625 1652241583.5985
MEM 205.265625 1652241583.6989
MEM 194.437500 1652241583.7993
MEM 194.437500 1652241583.8997
MEM 201.656250 1652241584.0000
MEM 205.265625 1652241584.1004
MEM 205.265625 1652241584.2008
MEM 205.265625 1652241584.3012
MEM 192.890625 1652241584.4015
MEM 194.437500 1652241584.5020
MEM 194.437500 1652241584.6024
MEM 201.656250 1652241584.7027
MEM 205.265625 1652241584.8031
MEM 205.265625 1652241584.9035
MEM 205.265625 1652241585.0038
MEM 205.265625 1652241585.1040
MEM 205.265625 1652241585.2050
MEM 194.437500 1652241585.3066
MEM 194.437500 1652241585.4068
MEM 201.914062 1652241585.5071
MEM 205.523438 1652241585.6074
MEM 205.523438 1652241585.7077
MEM 205.523438 1652241585.8080
MEM 205.523438 1652241585.9082
MEM 205.523438 1652241586.0086
MEM 194.437500 1652241586.1088
MEM 194.437500 1652241586.2091
MEM 201.914062 1652241586.3094
MEM 205.523438 1652241586.4097
MEM 205.523438 1652241586.5100
MEM 205.523438 1652241586.6104
MEM 205.523438 1652241586.7106
