CMDLINE /usr/bin/python3 scripts/Lasso-RF-TARA.py
MEM 1.128906 1652252348.6849
MEM 16.835938 1652252348.7853
MEM 24.871094 1652252348.8856
MEM 30.761719 1652252348.9859
MEM 38.261719 1652252349.0862
MEM 45.195312 1652252349.1866
MEM 52.867188 1652252349.2871
MEM 66.285156 1652252349.3874
MEM 73.785156 1652252349.4878
MEM 83.753906 1652252349.5881
MEM 88.488281 1652252349.6885
MEM 93.828125 1652252349.7888
MEM 100.199219 1652252349.8891
MEM 109.406250 1652252349.9895
MEM 114.281250 1652252350.0898
MEM 124.218750 1652252350.1902
MEM 125.054688 1652252350.2905
MEM 130.093750 1652252350.3909
MEM 131.292969 1652252350.4912
MEM 132.289062 1652252350.5916
MEM 142.902344 1652252350.6919
MEM 160.085938 1652252350.7923
MEM 169.351562 1652252350.8926
MEM 170.609375 1652252350.9929
MEM 172.535156 1652252351.0933
MEM 174.195312 1652252351.1936
MEM 174.195312 1652252351.2940
MEM 175.964844 1652252351.3943
MEM 177.960938 1652252351.4947
MEM 163.359375 1652252351.5950
MEM 164.667969 1652252351.6953
MEM 164.667969 1652252351.7957
MEM 164.667969 1652252351.8961
MEM 165.218750 1652252351.9964
MEM 183.191406 1652252352.0967
MEM 183.191406 1652252352.1971
MEM 183.191406 1652252352.2974
MEM 183.191406 1652252352.3978
MEM 183.191406 1652252352.4982
MEM 183.191406 1652252352.5985
MEM 183.695312 1652252352.6988
MEM 184.191406 1652252352.7991
MEM 184.441406 1652252352.8995
MEM 184.941406 1652252352.9998
MEM 185.195312 1652252353.1001
MEM 185.710938 1652252353.2005
MEM 185.941406 1652252353.3008
MEM 186.441406 1652252353.4011
MEM 186.691406 1652252353.5014
MEM 187.191406 1652252353.6018
MEM 187.441406 1652252353.7021
MEM 187.941406 1652252353.8025
MEM 188.195312 1652252353.9028
MEM 188.691406 1652252354.0031
MEM 188.945312 1652252354.1034
MEM 189.441406 1652252354.2038
MEM 189.695312 1652252354.3041
MEM 190.191406 1652252354.4045
MEM 190.445312 1652252354.5049
MEM 190.703125 1652252354.6053
MEM 191.195312 1652252354.7057
MEM 191.441406 1652252354.8060
MEM 191.945312 1652252354.9063
MEM 184.652344 1652252355.0067
MEM 199.398438 1652252355.1071
MEM 211.742188 1652252355.2075
MEM 211.742188 1652252355.3078
MEM 213.093750 1652252355.4082
MEM 214.589844 1652252355.5086
MEM 215.343750 1652252355.6089
MEM 217.101562 1652252355.7092
MEM 218.609375 1652252355.8096
MEM 220.351562 1652252355.9099
MEM 223.496094 1652252356.0103
MEM 224.011719 1652252356.1107
MEM 227.363281 1652252356.2110
MEM 230.363281 1652252356.3114
MEM 233.441406 1652252356.4117
MEM 235.464844 1652252356.5120
MEM 236.511719 1652252356.6124
MEM 236.921875 1652252356.7128
MEM 237.421875 1652252356.8131
MEM 254.808594 1652252356.9135
MEM 240.257812 1652252357.0139
MEM 259.574219 1652252357.1142
MEM 269.542969 1652252357.2146
MEM 269.542969 1652252357.3150
MEM 269.542969 1652252357.4153
MEM 240.246094 1652252357.5157
MEM 240.503906 1652252357.6160
MEM 260.082031 1652252357.7164
MEM 269.613281 1652252357.8167
MEM 269.613281 1652252357.9171
MEM 269.613281 1652252358.0175
MEM 240.503906 1652252358.1179
MEM 240.503906 1652252358.2182
MEM 260.082031 1652252358.3185
MEM 269.613281 1652252358.4189
MEM 269.613281 1652252358.5191
