CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Malaria.py
MEM 1.175781 1652244297.0631
MEM 16.519531 1652244297.1635
MEM 23.742188 1652244297.2638
MEM 30.414062 1652244297.3642
MEM 38.003906 1652244297.4646
MEM 44.996094 1652244297.5650
MEM 47.542969 1652244297.6654
MEM 60.925781 1652244297.7658
MEM 70.976562 1652244297.8661
MEM 78.953125 1652244297.9664
MEM 87.140625 1652244298.0669
MEM 91.441406 1652244298.1672
MEM 96.648438 1652244298.2675
MEM 110.761719 1652244298.3679
MEM 119.628906 1652244298.4683
MEM 124.656250 1652244298.5686
MEM 126.359375 1652244298.6690
MEM 130.792969 1652244298.7694
MEM 131.304688 1652244298.8698
MEM 132.859375 1652244298.9701
MEM 142.769531 1652244299.0705
MEM 176.964844 1652244299.1708
MEM 192.949219 1652244299.2712
MEM 209.964844 1652244299.3715
MEM 213.316406 1652244299.4719
MEM 213.316406 1652244299.5722
MEM 163.175781 1652244299.6727
MEM 180.773438 1652244299.7731
MEM 182.429688 1652244299.8735
MEM 182.429688 1652244299.9741
MEM 183.972656 1652244300.0746
MEM 188.382812 1652244300.1750
MEM 190.703125 1652244300.2754
MEM 195.343750 1652244300.3758
MEM 197.406250 1652244300.4761
MEM 202.046875 1652244300.5765
MEM 266.859375 1652244300.6770
MEM 293.378906 1652244300.7774
MEM 321.058594 1652244300.8778
MEM 321.382812 1652244300.9781
MEM 321.632812 1652244301.0785
MEM 322.132812 1652244301.1789
MEM 322.386719 1652244301.2791
MEM 322.882812 1652244301.3795
MEM 323.132812 1652244301.4799
MEM 323.632812 1652244301.5802
MEM 323.886719 1652244301.6806
MEM 324.132812 1652244301.7810
MEM 324.386719 1652244301.8814
MEM 324.632812 1652244301.9818
MEM 325.132812 1652244302.0821
MEM 325.382812 1652244302.1826
MEM 325.886719 1652244302.2915
MEM 326.382812 1652244302.3919
MEM 329.703125 1652244302.4923
MEM 329.964844 1652244302.5927
MEM 329.964844 1652244302.6930
MEM 329.964844 1652244302.7935
MEM 357.105469 1652244302.8939
MEM 372.601562 1652244302.9943
MEM 372.601562 1652244303.0948
MEM 311.824219 1652244303.1952
MEM 326.847656 1652244303.2957
MEM 357.667969 1652244303.3962
MEM 372.957031 1652244303.4966
MEM 372.957031 1652244303.5971
MEM 312.851562 1652244303.6975
MEM 326.851562 1652244303.7978
MEM 357.671875 1652244303.8982
MEM 372.960938 1652244303.9986
MEM 372.960938 1652244304.0988
MEM 372.960938 1652244304.1991
MEM 326.851562 1652244304.2994
MEM 357.671875 1652244304.3998
MEM 372.960938 1652244304.5002
MEM 372.960938 1652244304.6004
MEM 326.851562 1652244304.7008
MEM 326.851562 1652244304.8011
MEM 357.671875 1652244304.9015
MEM 372.960938 1652244305.0018
MEM 372.960938 1652244305.1022
MEM 346.925781 1652244305.2059
MEM 357.414062 1652244305.3063
MEM 372.742188 1652244305.4067
MEM 312.851562 1652244305.5071
MEM 326.851562 1652244305.6074
MEM 357.671875 1652244305.7078
MEM 372.960938 1652244305.8082
MEM 311.824219 1652244305.9086
MEM 326.851562 1652244306.0109
MEM 357.671875 1652244306.1113
MEM 372.960938 1652244306.2116
MEM 318.851562 1652244306.3119
MEM 326.851562 1652244306.4122
MEM 357.671875 1652244306.5126
MEM 372.960938 1652244306.6130
MEM 372.960938 1652244306.7134
MEM 326.851562 1652244306.8140
MEM 342.152344 1652244306.9144
MEM 357.671875 1652244307.0148
MEM 372.960938 1652244307.1153
MEM 372.960938 1652244307.2157
MEM 326.851562 1652244307.3191
MEM 357.414062 1652244307.4195
MEM 370.960938 1652244307.5200
MEM 372.742188 1652244307.6206
MEM 372.742188 1652244307.7211
MEM 326.851562 1652244307.8215
MEM 357.671875 1652244307.9219
MEM 372.960938 1652244308.0224
MEM 372.960938 1652244308.1228
MEM 326.851562 1652244308.2232
MEM 328.113281 1652244308.3235
MEM 357.671875 1652244308.4239
MEM 372.960938 1652244308.5243
MEM 372.960938 1652244308.6246
MEM 326.851562 1652244308.7251
MEM 357.671875 1652244308.8255
MEM 372.960938 1652244308.9259
MEM 372.960938 1652244309.0263
MEM 326.851562 1652244309.1266
MEM 326.851562 1652244309.2270
MEM 357.671875 1652244309.3275
MEM 372.960938 1652244309.4279
MEM 372.960938 1652244309.5282
MEM 326.851562 1652244309.6287
MEM 354.925781 1652244309.7290
MEM 357.414062 1652244309.8295
MEM 372.742188 1652244309.9299
MEM 314.851562 1652244310.0302
MEM 326.851562 1652244310.1306
MEM 357.671875 1652244310.2310
MEM 372.960938 1652244310.3315
MEM 372.960938 1652244310.4319
MEM 326.851562 1652244310.5323
MEM 357.671875 1652244310.6327
MEM 372.960938 1652244310.7332
MEM 372.960938 1652244310.8389
MEM 314.851562 1652244310.9394
MEM 326.851562 1652244311.0402
MEM 357.671875 1652244311.1406
MEM 372.960938 1652244311.2410
MEM 372.960938 1652244311.3418
MEM 326.851562 1652244311.4422
MEM 357.671875 1652244311.5426
MEM 372.960938 1652244311.6430
MEM 372.960938 1652244311.7434
MEM 312.593750 1652244311.8438
MEM 326.851562 1652244311.9441
MEM 357.414062 1652244312.0445
MEM 372.742188 1652244312.1450
MEM 316.851562 1652244312.2453
MEM 326.851562 1652244312.3457
MEM 357.671875 1652244312.4462
MEM 372.960938 1652244312.5465
MEM 372.960938 1652244312.6469
MEM 326.851562 1652244312.7473
MEM 357.671875 1652244312.8477
MEM 372.960938 1652244312.9482
MEM 372.960938 1652244313.0485
MEM 326.851562 1652244313.1500
MEM 357.671875 1652244313.2505
MEM 372.960938 1652244313.3510
MEM 372.960938 1652244313.4514
MEM 326.851562 1652244313.5518
MEM 357.671875 1652244313.6522
MEM 372.960938 1652244313.7527
MEM 372.960938 1652244313.8531
MEM 311.824219 1652244313.9535
MEM 326.851562 1652244314.0539
MEM 357.414062 1652244314.1543
MEM 372.742188 1652244314.2547
MEM 372.742188 1652244314.3551
MEM 350.925781 1652244314.4556
MEM 362.960938 1652244314.5560
MEM 372.960938 1652244314.6565
MEM 372.960938 1652244314.7568
MEM 326.851562 1652244314.8572
