CMDLINE /usr/bin/python3 scripts/Lasso-SVM-Rhizo.py
MEM 0.003906 1652241516.8678
MEM 15.906250 1652241516.9681
MEM 22.792969 1652241517.0685
MEM 28.757812 1652241517.1688
MEM 34.746094 1652241517.2692
MEM 39.167969 1652241517.3696
MEM 47.652344 1652241517.4699
MEM 60.003906 1652241517.5702
MEM 68.863281 1652241517.6706
MEM 75.089844 1652241517.7767
MEM 85.628906 1652241517.8770
MEM 88.722656 1652241517.9774
MEM 93.480469 1652241518.0777
MEM 98.773438 1652241518.1780
MEM 109.132812 1652241518.2784
MEM 113.097656 1652241518.3787
MEM 123.363281 1652241518.4791
MEM 124.492188 1652241518.5794
MEM 127.589844 1652241518.6797
MEM 130.875000 1652241518.7800
MEM 131.128906 1652241518.8804
MEM 137.519531 1652241518.9807
MEM 147.464844 1652241519.0810
MEM 163.585938 1652241519.1814
MEM 165.867188 1652241519.2817
MEM 166.355469 1652241519.3821
MEM 166.609375 1652241519.4825
MEM 167.105469 1652241519.5829
MEM 167.425781 1652241519.6832
MEM 167.675781 1652241519.7835
MEM 168.175781 1652241519.8839
MEM 168.425781 1652241519.9843
MEM 168.925781 1652241520.0847
MEM 169.316406 1652241520.1850
MEM 169.566406 1652241520.2854
MEM 170.066406 1652241520.3857
MEM 170.066406 1652241520.4877
MEM 170.316406 1652241520.5881
MEM 170.816406 1652241520.6884
MEM 171.066406 1652241520.7887
MEM 171.566406 1652241520.8891
MEM 171.816406 1652241520.9895
MEM 172.574219 1652241521.0898
MEM 172.847656 1652241521.1902
MEM 173.097656 1652241521.2906
MEM 173.597656 1652241521.3909
MEM 173.847656 1652241521.4913
MEM 174.347656 1652241521.5916
MEM 174.597656 1652241521.6919
MEM 174.847656 1652241521.7923
MEM 175.347656 1652241521.8926
MEM 175.597656 1652241521.9930
MEM 175.847656 1652241522.0934
MEM 176.347656 1652241522.1938
MEM 176.597656 1652241522.2941
MEM 177.097656 1652241522.3944
MEM 177.347656 1652241522.4948
MEM 177.597656 1652241522.5952
MEM 177.847656 1652241522.6955
MEM 178.097656 1652241522.7959
MEM 178.347656 1652241522.8962
MEM 179.410156 1652241522.9966
MEM 179.660156 1652241523.0969
MEM 179.910156 1652241523.1973
MEM 180.410156 1652241523.2976
MEM 180.660156 1652241523.3979
MEM 181.160156 1652241523.4983
MEM 181.410156 1652241523.5986
MEM 181.660156 1652241523.6990
MEM 182.160156 1652241523.7993
MEM 176.062500 1652241523.8997
MEM 186.777344 1652241524.0001
MEM 186.777344 1652241524.1004
MEM 186.777344 1652241524.2007
MEM 186.777344 1652241524.3011
MEM 187.531250 1652241524.4015
MEM 195.781250 1652241524.5018
MEM 195.781250 1652241524.6022
MEM 199.019531 1652241524.7026
MEM 199.019531 1652241524.8029
MEM 199.019531 1652241524.9056
MEM 188.175781 1652241525.0059
MEM 188.175781 1652241525.1061
MEM 196.425781 1652241525.2064
MEM 199.261719 1652241525.3067
MEM 199.261719 1652241525.4070
MEM 199.261719 1652241525.5072
MEM 199.261719 1652241525.6075
MEM 188.175781 1652241525.7077
MEM 188.175781 1652241525.8080
MEM 196.425781 1652241525.9083
MEM 199.261719 1652241526.0104
MEM 199.261719 1652241526.1107
MEM 199.261719 1652241526.2110
MEM 186.628906 1652241526.3113
MEM 188.175781 1652241526.4115
MEM 191.785156 1652241526.5118
MEM 196.683594 1652241526.6121
MEM 199.777344 1652241526.7124
MEM 199.777344 1652241526.8127
MEM 199.777344 1652241526.9129
MEM 188.175781 1652241527.0133
MEM 188.175781 1652241527.1136
MEM 196.683594 1652241527.2138
MEM 199.777344 1652241527.3141
MEM 199.777344 1652241527.4144
MEM 199.777344 1652241527.5146
MEM 199.777344 1652241527.6150
MEM 188.175781 1652241527.7152
MEM 188.175781 1652241527.8155
MEM 196.425781 1652241527.9158
MEM 196.425781 1652241528.0161
MEM 199.261719 1652241528.1165
MEM 199.261719 1652241528.2169
MEM 183.796875 1652241528.3172
MEM 188.175781 1652241528.4175
MEM 188.175781 1652241528.5179
MEM 196.425781 1652241528.6182
MEM 199.261719 1652241528.7186
MEM 199.261719 1652241528.8190
MEM 199.261719 1652241528.9194
MEM 187.144531 1652241529.0197
MEM 188.175781 1652241529.1200
MEM 196.425781 1652241529.2203
MEM 199.261719 1652241529.3207
MEM 199.261719 1652241529.4211
MEM 199.261719 1652241529.5214
MEM 185.855469 1652241529.6217
MEM 188.175781 1652241529.7253
MEM 188.175781 1652241529.8257
MEM 196.683594 1652241529.9260
MEM 199.777344 1652241530.0264
MEM 199.777344 1652241530.1290
MEM 199.777344 1652241530.2293
MEM 184.050781 1652241530.3297
MEM 188.175781 1652241530.4301
MEM 196.683594 1652241530.5304
MEM 196.683594 1652241530.6308
MEM 199.777344 1652241530.7311
MEM 199.777344 1652241530.8314
MEM 199.777344 1652241530.9318
MEM 183.796875 1652241531.0322
MEM 188.175781 1652241531.1326
MEM 196.425781 1652241531.2329
MEM 196.425781 1652241531.3333
MEM 199.261719 1652241531.4337
MEM 199.261719 1652241531.5340
MEM 188.175781 1652241531.6343
MEM 188.175781 1652241531.7346
MEM 188.175781 1652241531.8350
MEM 196.425781 1652241531.9353
MEM 199.261719 1652241532.0358
MEM 199.261719 1652241532.1361
MEM 199.261719 1652241532.2365
MEM 188.175781 1652241532.3432
MEM 188.175781 1652241532.4435
MEM 196.425781 1652241532.5439
MEM 199.261719 1652241532.6443
MEM 199.261719 1652241532.7446
MEM 199.261719 1652241532.8449
MEM 188.175781 1652241532.9453
MEM 188.175781 1652241533.0456
MEM 196.683594 1652241533.1460
MEM 199.777344 1652241533.2464
MEM 199.777344 1652241533.3468
MEM 199.777344 1652241533.4471
MEM 188.175781 1652241533.5475
MEM 188.175781 1652241533.6479
MEM 196.683594 1652241533.7483
MEM 196.683594 1652241533.8487
MEM 199.777344 1652241533.9490
MEM 199.777344 1652241534.0493
MEM 199.777344 1652241534.1496
MEM 188.175781 1652241534.2499
MEM 188.175781 1652241534.3503
MEM 196.425781 1652241534.4507
MEM 199.261719 1652241534.5512
MEM 199.261719 1652241534.6516
MEM 199.261719 1652241534.7520
MEM 188.175781 1652241534.8523
MEM 188.175781 1652241534.9527
MEM 196.425781 1652241535.0531
MEM 196.425781 1652241535.1535
MEM 199.261719 1652241535.2538
MEM 199.261719 1652241535.3543
MEM 188.175781 1652241535.4547
MEM 188.175781 1652241535.5551
MEM 196.425781 1652241535.6555
MEM 199.261719 1652241535.7559
MEM 199.261719 1652241535.8562
MEM 199.261719 1652241535.9566
MEM 188.175781 1652241536.0569
MEM 188.175781 1652241536.1573
MEM 196.683594 1652241536.2578
MEM 199.777344 1652241536.3582
MEM 199.777344 1652241536.4606
MEM 199.777344 1652241536.5610
MEM 188.175781 1652241536.6613
MEM 188.175781 1652241536.7617
MEM 196.683594 1652241536.8620
MEM 196.683594 1652241536.9624
MEM 199.777344 1652241537.0628
MEM 199.777344 1652241537.1631
MEM 199.777344 1652241537.2636
MEM 188.175781 1652241537.3641
MEM 188.175781 1652241537.4644
MEM 196.425781 1652241537.5648
MEM 199.261719 1652241537.6653
MEM 199.261719 1652241537.7656
MEM 199.261719 1652241537.8659
MEM 188.175781 1652241537.9663
MEM 188.175781 1652241538.0667
MEM 196.425781 1652241538.1670
MEM 199.261719 1652241538.2674
MEM 199.261719 1652241538.3677
MEM 199.261719 1652241538.4681
MEM 186.113281 1652241538.5685
MEM 188.175781 1652241538.6688
MEM 188.175781 1652241538.7692
MEM 196.425781 1652241538.8695
MEM 196.425781 1652241538.9699
MEM 199.261719 1652241539.0703
MEM 199.261719 1652241539.1706
MEM 199.261719 1652241539.2709
MEM 188.175781 1652241539.3713
MEM 192.816406 1652241539.4716
MEM 196.683594 1652241539.5719
MEM 199.777344 1652241539.6722
MEM 199.777344 1652241539.7725
MEM 199.777344 1652241539.8730
MEM 188.175781 1652241539.9733
MEM 188.175781 1652241540.0736
MEM 196.683594 1652241540.1738
MEM 199.777344 1652241540.2742
MEM 199.777344 1652241540.3744
MEM 187.917969 1652241540.4747
MEM 188.175781 1652241540.5750
MEM 196.425781 1652241540.6753
MEM 196.425781 1652241540.7755
MEM 199.261719 1652241540.8759
MEM 199.261719 1652241540.9763
MEM 188.175781 1652241541.0766
MEM 188.175781 1652241541.1769
MEM 196.425781 1652241541.2773
MEM 199.261719 1652241541.3778
MEM 199.261719 1652241541.4897
MEM 199.261719 1652241541.5901
MEM 188.175781 1652241541.6905
MEM 188.175781 1652241541.7908
MEM 196.425781 1652241541.8912
MEM 199.261719 1652241541.9916
MEM 199.261719 1652241542.0919
MEM 199.261719 1652241542.1923
MEM 188.175781 1652241542.2927
MEM 188.175781 1652241542.3931
MEM 196.683594 1652241542.4935
MEM 199.777344 1652241542.5939
MEM 199.777344 1652241542.6960
MEM 199.777344 1652241542.7963
MEM 188.175781 1652241542.8967
MEM 188.175781 1652241542.9972
MEM 196.683594 1652241543.0975
MEM 199.777344 1652241543.1980
MEM 199.777344 1652241543.2984
MEM 199.777344 1652241543.3987
MEM 187.660156 1652241543.4991
MEM 188.175781 1652241543.5995
MEM 196.425781 1652241543.6998
MEM 196.425781 1652241543.8002
MEM 199.261719 1652241543.9058
MEM 199.261719 1652241544.0061
MEM 199.261719 1652241544.1065
MEM 188.175781 1652241544.2068
MEM 188.175781 1652241544.3072
MEM 196.425781 1652241544.4076
MEM 196.683594 1652241544.5080
MEM 199.261719 1652241544.6083
MEM 199.261719 1652241544.7086
MEM 183.796875 1652241544.8090
MEM 188.175781 1652241544.9094
MEM 188.175781 1652241545.0098
MEM 196.425781 1652241545.1103
MEM 199.261719 1652241545.2107
MEM 199.261719 1652241545.3111
MEM 199.261719 1652241545.4115
MEM 188.175781 1652241545.5120
MEM 188.175781 1652241545.6124
MEM 196.683594 1652241545.7127
MEM 196.683594 1652241545.8131
MEM 199.777344 1652241545.9134
MEM 199.777344 1652241546.0138
MEM 199.777344 1652241546.1142
MEM 188.175781 1652241546.2147
MEM 188.175781 1652241546.3151
MEM 196.683594 1652241546.4154
MEM 199.777344 1652241546.5158
MEM 199.777344 1652241546.6161
MEM 199.777344 1652241546.7164
MEM 188.175781 1652241546.8167
MEM 188.175781 1652241546.9172
MEM 196.425781 1652241547.0176
MEM 199.261719 1652241547.1181
MEM 199.261719 1652241547.2184
MEM 199.261719 1652241547.3188
MEM 188.175781 1652241547.4192
MEM 188.175781 1652241547.5196
MEM 195.652344 1652241547.6200
MEM 196.425781 1652241547.7204
MEM 199.261719 1652241547.8209
MEM 199.261719 1652241547.9212
MEM 199.261719 1652241548.0216
MEM 188.175781 1652241548.1220
MEM 188.175781 1652241548.2223
MEM 188.175781 1652241548.3227
MEM 196.425781 1652241548.4231
MEM 199.261719 1652241548.5235
MEM 199.261719 1652241548.6239
MEM 199.261719 1652241548.7243
MEM 183.796875 1652241548.8247
MEM 188.175781 1652241548.9251
MEM 188.175781 1652241549.0255
MEM 196.683594 1652241549.1258
MEM 196.683594 1652241549.2263
MEM 199.777344 1652241549.3267
MEM 199.777344 1652241549.4271
MEM 199.777344 1652241549.5275
MEM 188.175781 1652241549.6279
MEM 188.175781 1652241549.7283
MEM 196.683594 1652241549.8287
MEM 196.683594 1652241549.9290
MEM 196.683594 1652241550.0294
MEM 199.777344 1652241550.1297
MEM 199.777344 1652241550.2301
MEM 185.339844 1652241550.3306
MEM 188.175781 1652241550.4309
MEM 188.175781 1652241550.5313
MEM 196.425781 1652241550.6317
MEM 196.425781 1652241550.7321
MEM 199.261719 1652241550.8325
MEM 199.261719 1652241550.9329
MEM 199.261719 1652241551.0350
MEM 188.175781 1652241551.1369
MEM 188.175781 1652241551.2373
MEM 188.175781 1652241551.3376
MEM 196.425781 1652241551.4380
MEM 196.425781 1652241551.5384
MEM 199.261719 1652241551.6387
MEM 199.261719 1652241551.7391
MEM 199.261719 1652241551.8395
MEM 183.796875 1652241551.9398
MEM 188.175781 1652241552.0402
MEM 188.175781 1652241552.1405
MEM 196.425781 1652241552.2409
MEM 196.425781 1652241552.3412
MEM 199.261719 1652241552.4415
MEM 199.261719 1652241552.5419
MEM 199.261719 1652241552.6422
MEM 188.175781 1652241552.7425
MEM 188.175781 1652241552.8428
MEM 196.683594 1652241552.9432
MEM 196.683594 1652241553.0434
MEM 199.777344 1652241553.1437
MEM 199.777344 1652241553.2440
MEM 199.777344 1652241553.3443
MEM 186.886719 1652241553.4446
MEM 188.175781 1652241553.5449
MEM 196.683594 1652241553.6452
MEM 196.683594 1652241553.7455
MEM 199.777344 1652241553.8459
MEM 199.777344 1652241553.9462
MEM 199.777344 1652241554.0465
MEM 188.175781 1652241554.1468
MEM 188.175781 1652241554.2471
MEM 196.425781 1652241554.3474
MEM 199.261719 1652241554.4477
MEM 199.261719 1652241554.5480
MEM 199.261719 1652241554.6483
MEM 199.261719 1652241554.7486
MEM 188.175781 1652241554.8489
MEM 195.136719 1652241554.9493
MEM 196.425781 1652241555.0496
MEM 196.425781 1652241555.1499
MEM 199.261719 1652241555.2526
MEM 199.261719 1652241555.3529
MEM 199.261719 1652241555.4533
MEM 188.175781 1652241555.5537
MEM 188.175781 1652241555.6541
MEM 196.425781 1652241555.7545
MEM 196.425781 1652241555.8549
MEM 199.261719 1652241555.9553
MEM 199.261719 1652241556.0556
MEM 199.261719 1652241556.1559
MEM 188.175781 1652241556.2563
MEM 188.175781 1652241556.3568
MEM 188.175781 1652241556.4572
MEM 196.683594 1652241556.5576
MEM 196.683594 1652241556.6580
MEM 199.777344 1652241556.7583
MEM 199.777344 1652241556.8587
MEM 199.777344 1652241556.9591
MEM 188.175781 1652241557.0596
MEM 188.175781 1652241557.1600
MEM 196.683594 1652241557.2604
MEM 196.683594 1652241557.3608
MEM 199.777344 1652241557.4612
MEM 199.777344 1652241557.5615
MEM 199.777344 1652241557.6618
MEM 183.796875 1652241557.7622
MEM 188.175781 1652241557.8626
MEM 188.175781 1652241557.9629
MEM 190.753906 1652241558.0633
MEM 196.425781 1652241558.1637
MEM 199.261719 1652241558.2642
MEM 199.261719 1652241558.3645
MEM 199.261719 1652241558.4649
MEM 188.175781 1652241558.5653
MEM 188.175781 1652241558.6658
MEM 195.394531 1652241558.7662
MEM 196.425781 1652241558.8666
MEM 199.261719 1652241558.9671
MEM 199.261719 1652241559.0674
MEM 199.261719 1652241559.1677
MEM 183.796875 1652241559.2682
MEM 188.175781 1652241559.3685
MEM 188.175781 1652241559.4752
MEM 196.425781 1652241559.5756
MEM 196.425781 1652241559.6760
MEM 199.261719 1652241559.7765
MEM 199.261719 1652241559.8768
MEM 199.261719 1652241559.9772
MEM 188.175781 1652241560.0776
MEM 188.175781 1652241560.1780
MEM 196.683594 1652241560.2784
MEM 196.683594 1652241560.3787
MEM 199.777344 1652241560.4792
MEM 199.777344 1652241560.5795
MEM 199.777344 1652241560.6798
MEM 188.175781 1652241560.7802
MEM 188.175781 1652241560.8807
MEM 196.683594 1652241560.9811
MEM 196.683594 1652241561.0814
MEM 199.777344 1652241561.1818
MEM 199.777344 1652241561.2822
MEM 199.777344 1652241561.3825
MEM 184.308594 1652241561.4829
MEM 188.175781 1652241561.5832
MEM 188.175781 1652241561.6836
MEM 188.175781 1652241561.7840
MEM 196.425781 1652241561.8844
