CMDLINE /usr/bin/python3 scripts/Lasso-SVM-TARA.py
MEM 1.125000 1652295387.7667
MEM 19.968750 1652295387.8672
MEM 29.726562 1652295387.9677
MEM 38.570312 1652295388.0682
MEM 46.125000 1652295388.1686
MEM 57.191406 1652295388.2690
MEM 68.710938 1652295388.3693
MEM 80.574219 1652295388.4697
MEM 88.429688 1652295388.5701
MEM 95.628906 1652295388.6705
MEM 95.628906 1652295388.7710
MEM 95.628906 1652295388.8715
MEM 106.292969 1652295388.9720
MEM 106.292969 1652295389.0725
MEM 106.292969 1652295389.1729
MEM 106.292969 1652295389.2733
MEM 106.292969 1652295389.3737
MEM 106.292969 1652295389.4742
MEM 106.292969 1652295389.5746
MEM 106.292969 1652295389.6751
MEM 106.292969 1652295389.7755
MEM 106.292969 1652295389.8759
MEM 106.292969 1652295389.9763
MEM 106.292969 1652295390.0768
MEM 106.292969 1652295390.1773
MEM 106.292969 1652295390.2777
MEM 106.894531 1652295390.3781
MEM 106.894531 1652295390.4785
MEM 106.894531 1652295390.5789
MEM 106.894531 1652295390.6794
MEM 113.628906 1652295390.7798
MEM 113.628906 1652295390.8802
MEM 113.628906 1652295390.9807
MEM 113.628906 1652295391.0811
MEM 113.628906 1652295391.1816
MEM 113.628906 1652295391.2821
MEM 113.628906 1652295391.3826
MEM 120.812500 1652295391.4831
MEM 128.820312 1652295391.5835
MEM 137.976562 1652295391.6838
MEM 143.507812 1652295391.7843
MEM 145.183594 1652295391.8847
MEM 149.875000 1652295391.9851
MEM 150.417969 1652295392.0855
MEM 154.035156 1652295392.1859
MEM 162.191406 1652295392.2862
MEM 178.015625 1652295392.3867
MEM 188.347656 1652295392.4872
MEM 189.199219 1652295392.5876
MEM 190.902344 1652295392.6880
MEM 192.507812 1652295392.7885
MEM 193.281250 1652295392.8890
MEM 193.890625 1652295392.9894
MEM 195.300781 1652295393.0898
MEM 196.968750 1652295393.1902
MEM 198.257812 1652295393.2907
MEM 183.046875 1652295393.3911
MEM 184.195312 1652295393.4915
MEM 184.195312 1652295393.5919
MEM 184.195312 1652295393.6923
MEM 201.746094 1652295393.7928
MEM 202.390625 1652295393.8932
MEM 202.390625 1652295393.9936
MEM 202.640625 1652295394.0941
MEM 203.390625 1652295394.1945
MEM 203.890625 1652295394.2950
MEM 204.640625 1652295394.3955
MEM 205.140625 1652295394.4960
MEM 205.644531 1652295394.5965
MEM 206.394531 1652295394.6970
MEM 206.890625 1652295394.7975
MEM 207.390625 1652295394.8980
MEM 207.644531 1652295394.9986
MEM 208.160156 1652295395.0991
MEM 208.640625 1652295395.1996
MEM 209.390625 1652295395.3001
MEM 209.890625 1652295395.4007
MEM 210.640625 1652295395.5012
MEM 211.144531 1652295395.6017
MEM 203.687500 1652295395.7023
MEM 231.117188 1652295395.8028
MEM 231.546875 1652295395.9033
MEM 232.296875 1652295396.0038
MEM 234.808594 1652295396.1044
MEM 237.050781 1652295396.2049
MEM 239.550781 1652295396.3054
MEM 240.582031 1652295396.4059
MEM 245.183594 1652295396.5064
MEM 249.882812 1652295396.6069
MEM 253.953125 1652295396.7075
MEM 254.460938 1652295396.8080
MEM 255.984375 1652295396.9085
MEM 256.894531 1652295397.0090
MEM 260.480469 1652295397.1096
MEM 279.863281 1652295397.2101
MEM 289.804688 1652295397.3106
MEM 289.804688 1652295397.4112
MEM 260.707031 1652295397.5116
MEM 289.882812 1652295397.6120
MEM 289.882812 1652295397.7124
MEM 260.707031 1652295397.8128
MEM 280.093750 1652295397.9133
MEM 289.882812 1652295398.0139
MEM 289.882812 1652295398.1144
MEM 289.882812 1652295398.2148
MEM 260.707031 1652295398.3152
MEM 280.093750 1652295398.4156
MEM 289.882812 1652295398.5161
MEM 289.882812 1652295398.6165
MEM 260.707031 1652295398.7170
MEM 280.351562 1652295398.8174
MEM 290.140625 1652295398.9177
MEM 290.140625 1652295399.0181
MEM 290.140625 1652295399.1185
MEM 260.707031 1652295399.2191
MEM 280.093750 1652295399.3195
MEM 289.882812 1652295399.4199
MEM 289.882812 1652295399.5203
MEM 260.707031 1652295399.6206
MEM 280.093750 1652295399.7211
MEM 289.882812 1652295399.8216
MEM 249.050781 1652295399.9221
MEM 260.707031 1652295400.0226
MEM 280.093750 1652295400.1232
