CMDLINE /usr/bin/python3 scripts/PCA-RF-Malaria.py
MEM 1.191406 1652243736.7763
MEM 14.007812 1652243736.8769
MEM 21.425781 1652243736.9773
MEM 27.414062 1652243737.0777
MEM 33.226562 1652243737.1780
MEM 38.835938 1652243737.2783
MEM 46.019531 1652243737.3804
MEM 52.187500 1652243737.4808
MEM 65.183594 1652243737.5811
MEM 72.757812 1652243737.6815
MEM 83.085938 1652243737.7819
MEM 87.332031 1652243737.8832
MEM 92.437500 1652243737.9835
MEM 97.406250 1652243738.0838
MEM 112.242188 1652243738.1842
MEM 121.695312 1652243738.2845
MEM 123.113281 1652243738.3849
MEM 125.910156 1652243738.4853
MEM 133.179688 1652243738.5857
MEM 133.679688 1652243738.6860
MEM 139.304688 1652243738.7864
MEM 147.121094 1652243738.8868
MEM 149.433594 1652243738.9870
MEM 196.191406 1652243739.0874
MEM 196.191406 1652243739.1878
MEM 216.816406 1652243739.2882
MEM 216.816406 1652243739.3886
MEM 161.554688 1652243739.4896
MEM 184.347656 1652243739.5900
MEM 185.890625 1652243739.6904
MEM 186.148438 1652243739.7908
MEM 187.437500 1652243739.8912
MEM 192.078125 1652243739.9917
MEM 194.656250 1652243740.0921
MEM 199.812500 1652243740.1925
MEM 202.390625 1652243740.2928
MEM 235.617188 1652243740.3933
MEM 262.839844 1652243740.4937
MEM 324.304688 1652243740.5941
MEM 324.902344 1652243740.6945
MEM 325.152344 1652243740.7950
MEM 325.652344 1652243740.8954
MEM 326.152344 1652243740.9958
MEM 326.652344 1652243741.0962
MEM 326.652344 1652243741.1966
MEM 327.152344 1652243741.2970
MEM 327.402344 1652243741.3974
MEM 327.902344 1652243741.4978
MEM 328.402344 1652243741.5982
MEM 328.902344 1652243741.6986
MEM 329.152344 1652243741.7990
MEM 329.652344 1652243741.8995
MEM 327.214844 1652243742.0002
MEM 382.472656 1652243742.1007
MEM 382.472656 1652243742.2011
MEM 382.472656 1652243742.3016
MEM 382.472656 1652243742.4021
MEM 382.472656 1652243742.5026
MEM 382.472656 1652243742.6031
MEM 382.472656 1652243742.7036
MEM 382.472656 1652243742.8040
MEM 382.472656 1652243742.9045
MEM 383.289062 1652243743.0049
MEM 383.289062 1652243743.1053
MEM 383.289062 1652243743.2057
MEM 383.289062 1652243743.3062
MEM 383.289062 1652243743.4067
MEM 383.289062 1652243743.5072
MEM 383.289062 1652243743.6077
MEM 383.289062 1652243743.7103
MEM 383.289062 1652243743.8107
MEM 383.289062 1652243743.9110
MEM 383.289062 1652243744.0113
MEM 383.289062 1652243744.1117
MEM 383.289062 1652243744.2120
MEM 383.289062 1652243744.3125
MEM 383.289062 1652243744.4130
MEM 383.289062 1652243744.5175
MEM 383.289062 1652243744.6179
MEM 383.289062 1652243744.7183
MEM 383.289062 1652243744.8187
MEM 383.289062 1652243744.9192
MEM 383.289062 1652243745.0196
MEM 383.289062 1652243745.1201
MEM 383.289062 1652243745.2205
MEM 383.289062 1652243745.3209
MEM 383.289062 1652243745.4213
MEM 383.289062 1652243745.5217
MEM 383.289062 1652243745.6221
MEM 383.289062 1652243745.7226
MEM 383.289062 1652243745.8229
MEM 383.289062 1652243745.9233
MEM 383.289062 1652243746.0261
MEM 383.289062 1652243746.1288
MEM 383.289062 1652243746.2292
MEM 383.289062 1652243746.3296
MEM 383.289062 1652243746.4300
MEM 383.289062 1652243746.5304
MEM 383.289062 1652243746.6308
MEM 383.289062 1652243746.7313
MEM 383.289062 1652243746.8317
MEM 383.289062 1652243746.9320
MEM 383.289062 1652243747.0323
MEM 383.289062 1652243747.1326
MEM 383.289062 1652243747.2330
MEM 383.289062 1652243747.3332
MEM 383.289062 1652243747.4336
MEM 383.289062 1652243747.5339
MEM 383.289062 1652243747.6342
MEM 383.289062 1652243747.7346
MEM 383.289062 1652243747.8350
MEM 383.289062 1652243747.9354
MEM 383.289062 1652243748.0358
MEM 383.289062 1652243748.1360
MEM 383.289062 1652243748.2363
MEM 383.289062 1652243748.3367
MEM 383.289062 1652243748.4370
MEM 383.289062 1652243748.5373
MEM 383.289062 1652243748.6376
MEM 383.289062 1652243748.7379
MEM 383.289062 1652243748.8382
MEM 383.289062 1652243748.9386
MEM 383.289062 1652243749.0390
MEM 383.289062 1652243749.1393
MEM 383.289062 1652243749.2397
MEM 383.289062 1652243749.3401
MEM 383.289062 1652243749.4404
MEM 383.289062 1652243749.5408
MEM 383.289062 1652243749.6412
MEM 383.289062 1652243749.7416
MEM 383.289062 1652243749.8420
MEM 383.289062 1652243749.9423
MEM 383.289062 1652243750.0427
MEM 383.289062 1652243750.1431
MEM 383.289062 1652243750.2435
MEM 383.289062 1652243750.3440
MEM 383.289062 1652243750.4444
MEM 383.289062 1652243750.5447
MEM 383.289062 1652243750.6451
MEM 383.289062 1652243750.7454
MEM 383.289062 1652243750.8458
MEM 383.289062 1652243750.9462
MEM 383.289062 1652243751.0466
MEM 383.289062 1652243751.1471
MEM 383.289062 1652243751.2475
MEM 383.289062 1652243751.3478
MEM 383.289062 1652243751.4481
MEM 383.289062 1652243751.5486
MEM 383.289062 1652243751.6490
MEM 383.289062 1652243751.7505
MEM 383.289062 1652243751.8509
MEM 383.289062 1652243751.9544
MEM 383.289062 1652243752.0548
MEM 383.289062 1652243752.1552
MEM 383.289062 1652243752.2568
MEM 383.289062 1652243752.3572
MEM 383.289062 1652243752.4575
MEM 383.289062 1652243752.5580
MEM 383.289062 1652243752.6583
MEM 383.289062 1652243752.7586
MEM 383.289062 1652243752.8590
MEM 383.289062 1652243752.9593
MEM 383.289062 1652243753.0597
MEM 383.289062 1652243753.1606
MEM 383.289062 1652243753.2610
MEM 383.289062 1652243753.3614
MEM 383.289062 1652243753.4617
MEM 383.289062 1652243753.5620
MEM 383.289062 1652243753.6624
MEM 383.289062 1652243753.7632
MEM 383.289062 1652243753.8635
MEM 383.289062 1652243753.9638
MEM 383.289062 1652243754.0642
MEM 383.289062 1652243754.1645
MEM 383.289062 1652243754.2649
MEM 383.289062 1652243754.3652
MEM 383.289062 1652243754.4656
MEM 383.289062 1652243754.5658
MEM 383.289062 1652243754.6661
MEM 383.289062 1652243754.7663
MEM 383.289062 1652243754.8667
MEM 383.289062 1652243754.9670
MEM 383.289062 1652243755.0673
MEM 383.289062 1652243755.1677
MEM 383.289062 1652243755.2680
MEM 383.289062 1652243755.3683
MEM 383.289062 1652243755.4686
MEM 383.289062 1652243755.5690
MEM 383.289062 1652243755.6693
MEM 383.289062 1652243755.7697
MEM 383.289062 1652243755.8701
MEM 383.289062 1652243755.9705
MEM 383.289062 1652243756.0709
MEM 383.289062 1652243756.1713
MEM 383.289062 1652243756.2718
MEM 383.289062 1652243756.3723
MEM 383.289062 1652243756.4727
MEM 383.289062 1652243756.5731
MEM 383.289062 1652243756.6739
MEM 383.289062 1652243756.7742
MEM 383.289062 1652243756.8746
MEM 383.289062 1652243756.9751
MEM 383.289062 1652243757.0756
MEM 383.289062 1652243757.1761
MEM 383.289062 1652243757.2765
MEM 383.289062 1652243757.3768
MEM 383.289062 1652243757.4771
MEM 383.289062 1652243757.5774
MEM 383.289062 1652243757.6777
MEM 383.289062 1652243757.7781
MEM 383.289062 1652243757.8785
MEM 383.289062 1652243757.9788
MEM 383.289062 1652243758.0792
MEM 383.289062 1652243758.1795
MEM 383.289062 1652243758.2798
MEM 383.289062 1652243758.3801
MEM 383.289062 1652243758.4804
MEM 383.289062 1652243758.5807
MEM 383.289062 1652243758.6810
MEM 383.289062 1652243758.7814
MEM 383.289062 1652243758.8818
MEM 383.289062 1652243758.9831
MEM 383.289062 1652243759.0835
MEM 383.289062 1652243759.1838
MEM 383.289062 1652243759.2841
MEM 383.289062 1652243759.3844
MEM 383.289062 1652243759.4848
MEM 383.289062 1652243759.5851
MEM 383.289062 1652243759.6854
MEM 383.289062 1652243759.7857
MEM 383.289062 1652243759.8860
MEM 383.289062 1652243759.9862
MEM 383.289062 1652243760.0866
MEM 383.289062 1652243760.1870
MEM 383.289062 1652243760.2873
MEM 383.289062 1652243760.3885
MEM 383.289062 1652243760.4903
MEM 383.289062 1652243760.5905
MEM 383.289062 1652243760.6908
MEM 383.289062 1652243760.7911
MEM 383.289062 1652243760.8914
