CMDLINE /usr/bin/python3 scripts/PCA-RF-Rhizo.py
MEM 6.636719 1652242037.5846
MEM 12.441406 1652242037.6849
MEM 18.464844 1652242037.7853
MEM 23.503906 1652242037.8856
MEM 29.574219 1652242037.9859
MEM 35.894531 1652242038.0863
MEM 43.117188 1652242038.1866
MEM 47.984375 1652242038.2870
MEM 62.449219 1652242038.3873
MEM 71.984375 1652242038.4876
MEM 80.945312 1652242038.5887
MEM 87.253906 1652242038.6891
MEM 92.355469 1652242038.7894
MEM 97.050781 1652242038.8897
MEM 108.578125 1652242038.9901
MEM 116.867188 1652242039.0904
MEM 122.550781 1652242039.1908
MEM 123.304688 1652242039.2911
MEM 126.953125 1652242039.3915
MEM 133.218750 1652242039.4918
MEM 133.898438 1652242039.5921
MEM 140.429688 1652242039.6924
MEM 147.542969 1652242039.7928
MEM 147.609375 1652242039.8931
MEM 160.199219 1652242039.9934
MEM 177.339844 1652242040.0937
MEM 183.378906 1652242040.1941
MEM 183.632812 1652242040.2945
MEM 184.128906 1652242040.3948
MEM 184.378906 1652242040.4951
MEM 184.628906 1652242040.5955
MEM 185.128906 1652242040.6958
MEM 185.378906 1652242040.7961
MEM 185.628906 1652242040.8965
MEM 185.878906 1652242040.9968
MEM 186.128906 1652242041.0971
MEM 186.378906 1652242041.1974
MEM 186.878906 1652242041.2977
MEM 187.378906 1652242041.3981
MEM 187.628906 1652242041.4985
MEM 187.878906 1652242041.5988
MEM 188.378906 1652242041.6991
MEM 188.878906 1652242041.7994
MEM 189.378906 1652242041.8998
MEM 189.628906 1652242042.0001
MEM 190.128906 1652242042.1005
MEM 190.628906 1652242042.2008
MEM 191.128906 1652242042.3011
MEM 191.378906 1652242042.4014
MEM 191.628906 1652242042.5018
MEM 192.128906 1652242042.6021
MEM 192.378906 1652242042.7025
MEM 192.878906 1652242042.8028
MEM 193.128906 1652242042.9032
MEM 193.378906 1652242043.0036
MEM 193.878906 1652242043.1040
MEM 194.128906 1652242043.2054
MEM 194.628906 1652242043.3057
MEM 195.128906 1652242043.4060
MEM 195.628906 1652242043.5064
MEM 195.878906 1652242043.6068
MEM 196.378906 1652242043.7072
MEM 196.878906 1652242043.8075
MEM 197.378906 1652242043.9078
MEM 197.878906 1652242044.0087
MEM 198.132812 1652242044.1090
MEM 198.628906 1652242044.2094
MEM 185.089844 1652242044.3112
MEM 205.191406 1652242044.4116
MEM 205.191406 1652242044.5118
MEM 205.191406 1652242044.6143
MEM 205.191406 1652242044.7147
MEM 205.191406 1652242044.8152
MEM 205.191406 1652242044.9155
MEM 205.191406 1652242045.0158
MEM 205.191406 1652242045.1161
MEM 205.191406 1652242045.2215
MEM 205.191406 1652242045.3217
MEM 205.191406 1652242045.4220
MEM 205.191406 1652242045.5225
MEM 205.191406 1652242045.6230
MEM 205.191406 1652242045.7233
MEM 205.191406 1652242045.8237
MEM 205.191406 1652242045.9241
MEM 205.191406 1652242046.0244
MEM 205.191406 1652242046.1248
MEM 205.191406 1652242046.2251
MEM 205.191406 1652242046.3254
MEM 205.191406 1652242046.4257
MEM 213.078125 1652242046.5260
MEM 213.007812 1652242046.6279
MEM 213.125000 1652242046.7333
MEM 213.125000 1652242046.8336
MEM 213.125000 1652242046.9340
MEM 213.125000 1652242047.0344
MEM 213.125000 1652242047.1347
MEM 213.125000 1652242047.2351
MEM 213.125000 1652242047.3355
MEM 213.125000 1652242047.4358
MEM 213.125000 1652242047.5361
MEM 213.125000 1652242047.6364
MEM 213.125000 1652242047.7368
MEM 213.125000 1652242047.8371
MEM 213.125000 1652242047.9375
MEM 213.125000 1652242048.0378
MEM 213.125000 1652242048.1382
MEM 213.125000 1652242048.2385
MEM 213.125000 1652242048.3389
MEM 213.125000 1652242048.4391
MEM 213.125000 1652242048.5395
MEM 213.125000 1652242048.6398
MEM 213.125000 1652242048.7416
MEM 213.125000 1652242048.8419
MEM 213.125000 1652242048.9422
MEM 213.125000 1652242049.0426
MEM 213.125000 1652242049.1429
MEM 213.125000 1652242049.2431
MEM 213.125000 1652242049.3434
MEM 213.125000 1652242049.4437
MEM 213.125000 1652242049.5440
MEM 213.125000 1652242049.6443
MEM 213.125000 1652242049.7445
MEM 213.125000 1652242049.8448
MEM 213.125000 1652242049.9451
MEM 213.125000 1652242050.0454
MEM 213.125000 1652242050.1457
MEM 213.125000 1652242050.2459
MEM 213.125000 1652242050.3462
MEM 213.125000 1652242050.4464
MEM 213.125000 1652242050.5467
MEM 213.125000 1652242050.6469
MEM 213.125000 1652242050.7471
MEM 213.125000 1652242050.8474
MEM 213.125000 1652242050.9476
MEM 213.125000 1652242051.0479
MEM 213.125000 1652242051.1481
MEM 213.125000 1652242051.2484
MEM 213.125000 1652242051.3486
MEM 213.125000 1652242051.4489
MEM 213.125000 1652242051.5491
MEM 213.125000 1652242051.6494
MEM 213.125000 1652242051.7496
MEM 213.125000 1652242051.8499
MEM 213.125000 1652242051.9501
MEM 213.125000 1652242052.0503
MEM 213.125000 1652242052.1506
MEM 213.125000 1652242052.2508
MEM 213.125000 1652242052.3510
MEM 213.125000 1652242052.4513
MEM 213.125000 1652242052.5515
MEM 213.125000 1652242052.6556
MEM 213.125000 1652242052.7559
MEM 213.125000 1652242052.8562
MEM 213.125000 1652242052.9587
MEM 213.125000 1652242053.0590
MEM 213.125000 1652242053.1592
MEM 213.125000 1652242053.2605
MEM 213.125000 1652242053.3608
MEM 213.125000 1652242053.4610
MEM 213.125000 1652242053.5613
MEM 213.125000 1652242053.6616
MEM 213.125000 1652242053.7618
MEM 213.125000 1652242053.8621
MEM 213.125000 1652242053.9624
MEM 213.125000 1652242054.0627
MEM 213.125000 1652242054.1630
MEM 213.125000 1652242054.2633
MEM 213.125000 1652242054.3636
MEM 213.125000 1652242054.4638
MEM 213.125000 1652242054.5657
MEM 213.125000 1652242054.6660
MEM 213.125000 1652242054.7664
MEM 213.125000 1652242054.8681
MEM 213.125000 1652242054.9684
MEM 213.125000 1652242055.0686
MEM 213.125000 1652242055.1689
MEM 213.125000 1652242055.2692
MEM 213.125000 1652242055.3695
MEM 213.125000 1652242055.4698
MEM 213.125000 1652242055.5702
MEM 213.125000 1652242055.6705
MEM 213.125000 1652242055.7708
MEM 213.125000 1652242055.8711
MEM 213.125000 1652242055.9714
MEM 213.125000 1652242056.0716
MEM 213.125000 1652242056.1722
MEM 213.125000 1652242056.2725
MEM 213.125000 1652242056.3728
MEM 213.125000 1652242056.4731
MEM 213.125000 1652242056.5734
MEM 213.125000 1652242056.6737
MEM 213.125000 1652242056.7740
MEM 213.125000 1652242056.8744
MEM 213.125000 1652242056.9747
MEM 213.125000 1652242057.0751
MEM 213.125000 1652242057.1754
MEM 213.125000 1652242057.2757
MEM 213.125000 1652242057.3760
MEM 213.125000 1652242057.4763
MEM 213.125000 1652242057.5766
MEM 213.125000 1652242057.6770
MEM 213.125000 1652242057.7773
MEM 213.125000 1652242057.8776
MEM 213.125000 1652242057.9779
MEM 213.125000 1652242058.0782
MEM 213.125000 1652242058.1785
MEM 213.125000 1652242058.2789
MEM 213.125000 1652242058.3792
MEM 213.125000 1652242058.4795
MEM 213.125000 1652242058.5798
MEM 213.125000 1652242058.6802
MEM 213.125000 1652242058.7805
MEM 213.125000 1652242058.8808
MEM 213.125000 1652242058.9812
MEM 213.125000 1652242059.0815
MEM 213.125000 1652242059.1818
MEM 213.125000 1652242059.2821
MEM 213.125000 1652242059.3838
MEM 213.125000 1652242059.4841
MEM 213.125000 1652242059.5881
MEM 213.125000 1652242059.6885
MEM 213.125000 1652242059.7908
MEM 213.125000 1652242059.8911
MEM 213.125000 1652242059.9914
MEM 213.125000 1652242060.0932
MEM 213.125000 1652242060.1935
MEM 213.125000 1652242060.2938
MEM 213.125000 1652242060.3942
MEM 213.125000 1652242060.4945
MEM 213.125000 1652242060.5948
MEM 213.125000 1652242060.6951
MEM 213.125000 1652242060.7954
MEM 213.125000 1652242060.8957
MEM 213.125000 1652242060.9961
MEM 213.125000 1652242061.0964
MEM 213.125000 1652242061.1967
MEM 213.125000 1652242061.2970
MEM 213.125000 1652242061.3972
MEM 213.125000 1652242061.4975
MEM 213.125000 1652242061.5979
MEM 213.125000 1652242061.6982
MEM 213.125000 1652242061.7985
MEM 213.125000 1652242061.8987
MEM 213.125000 1652242061.9990
MEM 213.125000 1652242062.0993
MEM 213.125000 1652242062.1997
MEM 213.125000 1652242062.3000
MEM 213.125000 1652242062.4004
MEM 213.125000 1652242062.5007
MEM 213.125000 1652242062.6010
MEM 213.125000 1652242062.7013
MEM 213.125000 1652242062.8016
MEM 213.125000 1652242062.9019
MEM 213.125000 1652242063.0026
MEM 213.167969 1652242063.1030
MEM 213.167969 1652242063.2033
MEM 213.167969 1652242063.3036
MEM 213.167969 1652242063.4038
MEM 213.167969 1652242063.5047
MEM 213.167969 1652242063.6050
MEM 213.167969 1652242063.7053
MEM 213.167969 1652242063.8057
MEM 213.167969 1652242063.9060
MEM 213.167969 1652242064.0085
MEM 213.167969 1652242064.1088
MEM 213.167969 1652242064.2091
MEM 213.167969 1652242064.3094
MEM 213.167969 1652242064.4097
MEM 213.167969 1652242064.5100
MEM 213.167969 1652242064.6103
MEM 213.167969 1652242064.7106
MEM 213.167969 1652242064.8110
MEM 213.167969 1652242064.9113
MEM 213.167969 1652242065.0117
MEM 213.167969 1652242065.1120
MEM 213.167969 1652242065.2123
MEM 213.167969 1652242065.3126
MEM 213.167969 1652242065.4129
MEM 213.167969 1652242065.5132
MEM 213.167969 1652242065.6135
MEM 213.167969 1652242065.7139
MEM 213.167969 1652242065.8142
MEM 213.167969 1652242065.9145
MEM 213.167969 1652242066.0149
MEM 213.167969 1652242066.1151
MEM 213.167969 1652242066.2197
MEM 213.167969 1652242066.3200
MEM 213.167969 1652242066.4203
MEM 213.167969 1652242066.5206
MEM 213.167969 1652242066.6210
MEM 213.167969 1652242066.7213
MEM 213.167969 1652242066.8216
MEM 213.167969 1652242066.9220
MEM 213.167969 1652242067.0224
MEM 213.167969 1652242067.1226
MEM 213.167969 1652242067.2229
MEM 213.167969 1652242067.3233
MEM 213.167969 1652242067.4235
MEM 213.167969 1652242067.5239
MEM 213.167969 1652242067.6242
MEM 213.167969 1652242067.7246
MEM 213.167969 1652242067.8249
MEM 213.167969 1652242067.9252
MEM 213.167969 1652242068.0255
MEM 213.167969 1652242068.1258
MEM 213.167969 1652242068.2271
MEM 213.167969 1652242068.3276
MEM 213.167969 1652242068.4279
MEM 213.167969 1652242068.5282
MEM 213.167969 1652242068.6285
MEM 213.167969 1652242068.7288
MEM 213.167969 1652242068.8290
MEM 213.167969 1652242068.9294
MEM 213.167969 1652242069.0297
MEM 213.167969 1652242069.1315
MEM 213.167969 1652242069.2318
MEM 213.167969 1652242069.3321
MEM 213.167969 1652242069.4334
MEM 213.167969 1652242069.5337
MEM 213.167969 1652242069.6340
MEM 213.167969 1652242069.7343
MEM 213.167969 1652242069.8346
MEM 213.167969 1652242069.9350
MEM 213.167969 1652242070.0353
MEM 213.167969 1652242070.1359
MEM 213.167969 1652242070.2362
MEM 213.167969 1652242070.3366
MEM 213.167969 1652242070.4369
MEM 213.167969 1652242070.5372
MEM 213.167969 1652242070.6374
MEM 213.167969 1652242070.7397
MEM 213.167969 1652242070.8421
MEM 213.167969 1652242070.9424
MEM 213.167969 1652242071.0428
MEM 213.167969 1652242071.1431
MEM 213.167969 1652242071.2444
MEM 213.167969 1652242071.3447
MEM 213.167969 1652242071.4450
MEM 213.167969 1652242071.5453
MEM 213.167969 1652242071.6457
MEM 213.167969 1652242071.7460
MEM 213.167969 1652242071.8464
MEM 213.167969 1652242071.9467
MEM 213.167969 1652242072.0470
MEM 213.167969 1652242072.1473
MEM 213.167969 1652242072.2476
MEM 213.167969 1652242072.3480
MEM 213.167969 1652242072.4483
MEM 213.167969 1652242072.5486
MEM 213.167969 1652242072.6489
MEM 213.167969 1652242072.7492
MEM 213.167969 1652242072.8495
