CMDLINE /usr/bin/python3 scripts/PCA-RF-TARA.py
MEM 1.183594 1652255030.0691
MEM 16.042969 1652255030.1694
MEM 23.167969 1652255030.2698
MEM 29.703125 1652255030.3701
MEM 35.664062 1652255030.4704
MEM 40.695312 1652255030.5708
MEM 47.085938 1652255030.6711
MEM 54.718750 1652255030.7715
MEM 66.679688 1652255030.8718
MEM 74.792969 1652255030.9722
MEM 85.960938 1652255031.0725
MEM 89.476562 1652255031.1728
MEM 93.960938 1652255031.2731
MEM 106.972656 1652255031.3735
MEM 110.230469 1652255031.4740
MEM 121.902344 1652255031.5743
MEM 123.550781 1652255031.6746
MEM 129.312500 1652255031.7749
MEM 133.593750 1652255031.8752
MEM 134.023438 1652255031.9754
MEM 147.343750 1652255032.0757
MEM 147.519531 1652255032.1760
MEM 162.070312 1652255032.2762
MEM 171.593750 1652255032.3765
MEM 173.179688 1652255032.4768
MEM 175.496094 1652255032.5771
MEM 176.191406 1652255032.6774
MEM 177.785156 1652255032.7777
MEM 179.894531 1652255032.8780
MEM 165.503906 1652255032.9782
MEM 166.617188 1652255033.0785
MEM 166.617188 1652255033.1788
MEM 166.617188 1652255033.2791
MEM 175.644531 1652255033.3794
MEM 184.929688 1652255033.4797
MEM 184.929688 1652255033.5801
MEM 184.929688 1652255033.6804
MEM 184.929688 1652255033.7807
MEM 185.421875 1652255033.8811
MEM 185.671875 1652255033.9815
MEM 186.171875 1652255034.0819
MEM 186.421875 1652255034.1822
MEM 186.921875 1652255034.2825
MEM 187.421875 1652255034.3829
MEM 187.671875 1652255034.4833
MEM 188.171875 1652255034.5837
MEM 188.671875 1652255034.6840
MEM 188.921875 1652255034.7844
MEM 189.425781 1652255034.8847
MEM 189.671875 1652255034.9850
MEM 190.171875 1652255035.0854
MEM 190.671875 1652255035.1858
MEM 190.921875 1652255035.2862
MEM 191.421875 1652255035.3865
MEM 191.421875 1652255035.4870
MEM 191.921875 1652255035.5873
MEM 192.421875 1652255035.6877
MEM 192.671875 1652255035.7880
MEM 193.171875 1652255035.8884
MEM 193.421875 1652255035.9888
MEM 193.921875 1652255036.0891
MEM 185.699219 1652255036.1895
MEM 212.714844 1652255036.2899
MEM 212.714844 1652255036.3903
MEM 212.714844 1652255036.4907
MEM 212.714844 1652255036.5911
MEM 212.714844 1652255036.6914
MEM 212.714844 1652255036.7919
MEM 212.714844 1652255036.8923
MEM 212.714844 1652255036.9928
MEM 212.714844 1652255037.0931
MEM 212.714844 1652255037.1935
MEM 212.714844 1652255037.2938
MEM 212.714844 1652255037.3941
MEM 212.714844 1652255037.4945
MEM 212.714844 1652255037.5948
MEM 212.714844 1652255037.6952
MEM 212.714844 1652255037.7957
MEM 212.714844 1652255037.8961
MEM 212.714844 1652255037.9964
MEM 212.714844 1652255038.0967
MEM 212.714844 1652255038.1971
MEM 212.714844 1652255038.2974
MEM 212.714844 1652255038.3977
MEM 212.714844 1652255038.4982
MEM 212.714844 1652255038.5985
MEM 212.714844 1652255038.6988
MEM 212.714844 1652255038.7992
MEM 212.714844 1652255038.8995
MEM 212.714844 1652255038.9999
MEM 212.714844 1652255039.1003
MEM 212.714844 1652255039.2007
MEM 212.714844 1652255039.3010
MEM 212.714844 1652255039.4013
MEM 212.714844 1652255039.5016
MEM 212.714844 1652255039.6019
MEM 212.714844 1652255039.7022
MEM 212.714844 1652255039.8026
MEM 212.714844 1652255039.9030
MEM 212.714844 1652255040.0033
MEM 212.714844 1652255040.1037
MEM 212.714844 1652255040.2040
