CMDLINE /usr/bin/python3 scripts/PCA-SVM-Malaria.py
MEM 1.132812 1652244603.7002
MEM 13.722656 1652244603.8006
MEM 21.433594 1652244603.9009
MEM 27.035156 1652244604.0013
MEM 32.671875 1652244604.1016
MEM 38.441406 1652244604.2020
MEM 44.738281 1652244604.3023
MEM 47.433594 1652244604.4027
MEM 61.062500 1652244604.5030
MEM 70.046875 1652244604.6034
MEM 75.085938 1652244604.7038
MEM 85.160156 1652244604.8041
MEM 87.445312 1652244604.9045
MEM 92.351562 1652244605.0049
MEM 95.488281 1652244605.1053
MEM 108.593750 1652244605.2057
MEM 112.843750 1652244605.3060
MEM 121.683594 1652244605.4064
MEM 122.968750 1652244605.5067
MEM 126.156250 1652244605.6071
MEM 132.289062 1652244605.7074
MEM 133.300781 1652244605.8078
MEM 133.804688 1652244605.9081
MEM 143.164062 1652244606.0085
MEM 143.421875 1652244606.1089
MEM 149.144531 1652244606.2094
MEM 196.222656 1652244606.3098
MEM 196.480469 1652244606.4102
MEM 204.214844 1652244606.5106
MEM 216.847656 1652244606.6111
MEM 216.847656 1652244606.7115
MEM 169.027344 1652244606.8119
MEM 184.382812 1652244606.9123
MEM 185.925781 1652244607.0127
MEM 186.183594 1652244607.1131
MEM 187.472656 1652244607.2135
MEM 191.597656 1652244607.3139
MEM 193.917969 1652244607.4143
MEM 198.300781 1652244607.5147
MEM 200.105469 1652244607.6151
MEM 204.488281 1652244607.7155
MEM 242.480469 1652244607.8159
MEM 263.171875 1652244607.9166
MEM 322.039062 1652244608.0170
MEM 322.207031 1652244608.1173
MEM 322.710938 1652244608.2175
MEM 322.957031 1652244608.3178
MEM 323.207031 1652244608.4181
MEM 323.707031 1652244608.5186
MEM 323.957031 1652244608.6189
MEM 324.207031 1652244608.7193
MEM 324.460938 1652244608.8197
MEM 324.718750 1652244608.9201
MEM 325.207031 1652244609.0205
MEM 325.460938 1652244609.1209
MEM 325.707031 1652244609.2213
MEM 326.207031 1652244609.3220
MEM 326.457031 1652244609.4225
MEM 326.710938 1652244609.5229
MEM 327.207031 1652244609.6232
MEM 327.460938 1652244609.7236
MEM 325.371094 1652244609.8260
MEM 384.152344 1652244609.9264
MEM 384.152344 1652244610.0267
MEM 384.152344 1652244610.1272
MEM 384.152344 1652244610.2275
MEM 384.152344 1652244610.3278
MEM 384.152344 1652244610.4282
MEM 384.152344 1652244610.5285
MEM 384.152344 1652244610.6288
MEM 384.800781 1652244610.7300
MEM 384.800781 1652244610.8304
MEM 384.800781 1652244610.9307
MEM 384.800781 1652244611.0311
MEM 384.800781 1652244611.1316
MEM 384.800781 1652244611.2320
MEM 384.800781 1652244611.3324
MEM 384.800781 1652244611.4328
MEM 384.800781 1652244611.5354
MEM 384.800781 1652244611.6358
MEM 384.800781 1652244611.7405
MEM 384.800781 1652244611.8446
MEM 384.800781 1652244611.9450
MEM 384.800781 1652244612.0454
MEM 384.800781 1652244612.1457
MEM 384.800781 1652244612.2460
MEM 384.800781 1652244612.3511
MEM 384.800781 1652244612.4514
MEM 384.800781 1652244612.5517
MEM 384.800781 1652244612.6520
MEM 384.800781 1652244612.7524
MEM 384.800781 1652244612.8529
MEM 384.800781 1652244612.9532
MEM 384.800781 1652244613.0535
MEM 384.800781 1652244613.1538
MEM 384.800781 1652244613.2541
MEM 384.800781 1652244613.3544
MEM 384.800781 1652244613.4547
MEM 384.800781 1652244613.5550
MEM 384.800781 1652244613.6554
MEM 384.800781 1652244613.7557
MEM 384.800781 1652244613.8561
MEM 384.800781 1652244613.9565
MEM 384.800781 1652244614.0567
MEM 384.800781 1652244614.1571
MEM 384.800781 1652244614.2574
MEM 384.800781 1652244614.3606
MEM 384.800781 1652244614.4610
MEM 384.800781 1652244614.5613
MEM 384.800781 1652244614.6617
MEM 384.800781 1652244614.7620
MEM 384.800781 1652244614.8637
MEM 384.800781 1652244614.9657
MEM 384.800781 1652244615.0661
MEM 384.800781 1652244615.1665
MEM 384.800781 1652244615.2668
MEM 384.800781 1652244615.3672
MEM 384.800781 1652244615.4697
MEM 384.800781 1652244615.5701
MEM 384.800781 1652244615.6703
MEM 384.800781 1652244615.7707
MEM 384.800781 1652244615.8712
MEM 384.800781 1652244615.9716
MEM 384.800781 1652244616.0719
MEM 384.800781 1652244616.1722
MEM 384.800781 1652244616.2725
MEM 384.800781 1652244616.3728
MEM 384.800781 1652244616.4731
MEM 384.800781 1652244616.5748
MEM 384.800781 1652244616.6752
MEM 384.800781 1652244616.7756
MEM 384.800781 1652244616.8759
MEM 384.800781 1652244616.9763
MEM 384.800781 1652244617.0766
MEM 384.800781 1652244617.1770
MEM 384.800781 1652244617.2773
MEM 384.800781 1652244617.3776
MEM 384.800781 1652244617.4779
MEM 384.800781 1652244617.5783
MEM 384.800781 1652244617.6787
MEM 384.800781 1652244617.7790
MEM 384.800781 1652244617.8793
MEM 384.800781 1652244617.9797
MEM 384.800781 1652244618.0800
MEM 384.800781 1652244618.1803
MEM 384.800781 1652244618.2807
MEM 384.800781 1652244618.3810
MEM 384.800781 1652244618.4833
MEM 384.800781 1652244618.6031
MEM 384.800781 1652244618.7035
MEM 384.800781 1652244618.8040
MEM 384.800781 1652244618.9045
MEM 384.800781 1652244619.0050
MEM 384.800781 1652244619.1055
MEM 384.800781 1652244619.2061
MEM 384.800781 1652244619.3066
MEM 384.800781 1652244619.4072
MEM 384.800781 1652244619.5077
MEM 384.800781 1652244619.6081
MEM 384.800781 1652244619.7085
MEM 384.800781 1652244619.8089
MEM 384.800781 1652244619.9093
MEM 384.800781 1652244620.0096
MEM 384.800781 1652244620.1099
MEM 384.800781 1652244620.2102
MEM 384.800781 1652244620.3105
MEM 384.800781 1652244620.4108
MEM 384.800781 1652244620.5112
MEM 384.800781 1652244620.6115
MEM 384.800781 1652244620.7119
MEM 384.800781 1652244620.8122
MEM 384.800781 1652244620.9125
MEM 384.800781 1652244621.0128
MEM 384.800781 1652244621.1131
MEM 384.800781 1652244621.2135
MEM 384.800781 1652244621.3139
MEM 384.800781 1652244621.4143
MEM 384.800781 1652244621.5146
MEM 384.800781 1652244621.6174
MEM 384.800781 1652244621.7193
MEM 384.800781 1652244621.8196
MEM 384.800781 1652244621.9199
MEM 384.800781 1652244622.0203
MEM 384.800781 1652244622.1206
MEM 384.800781 1652244622.2210
MEM 384.800781 1652244622.3213
MEM 384.800781 1652244622.4216
MEM 384.800781 1652244622.5219
MEM 384.800781 1652244622.6222
MEM 384.800781 1652244622.7226
MEM 384.800781 1652244622.8229
MEM 384.800781 1652244622.9232
MEM 384.800781 1652244623.0236
MEM 384.800781 1652244623.1240
MEM 384.800781 1652244623.2243
MEM 384.800781 1652244623.3260
MEM 384.800781 1652244623.4264
MEM 384.800781 1652244623.5267
MEM 384.800781 1652244623.6271
MEM 384.800781 1652244623.7275
MEM 384.800781 1652244623.8278
MEM 384.800781 1652244623.9281
MEM 384.800781 1652244624.0310
MEM 384.800781 1652244624.1313
MEM 384.800781 1652244624.2316
MEM 384.800781 1652244624.3320
MEM 384.800781 1652244624.4324
MEM 384.800781 1652244624.5327
MEM 384.800781 1652244624.6330
MEM 384.800781 1652244624.7333
MEM 384.800781 1652244624.8337
MEM 384.800781 1652244624.9366
MEM 384.800781 1652244625.0368
MEM 384.800781 1652244625.1372
MEM 384.800781 1652244625.2376
MEM 384.800781 1652244625.3392
MEM 384.800781 1652244625.4447
MEM 384.800781 1652244625.5462
MEM 384.800781 1652244625.6467
MEM 384.800781 1652244625.7472
MEM 384.800781 1652244625.8478
MEM 384.800781 1652244625.9494
MEM 384.800781 1652244626.0499
MEM 384.800781 1652244626.1504
MEM 384.800781 1652244626.2509
