CMDLINE /usr/bin/python3 scripts/PCA-SVM-Rhizo.py
MEM 1.125000 1652241989.8437
MEM 16.300781 1652241989.9440
MEM 23.894531 1652241990.0444
MEM 30.308594 1652241990.1447
MEM 35.359375 1652241990.2451
MEM 40.656250 1652241990.3454
MEM 47.464844 1652241990.4457
MEM 57.320312 1652241990.5460
MEM 68.414062 1652241990.6464
MEM 75.121094 1652241990.7467
MEM 86.433594 1652241990.8471
MEM 89.308594 1652241990.9474
MEM 94.074219 1652241991.0478
MEM 107.257812 1652241991.1483
MEM 110.148438 1652241991.2487
MEM 121.640625 1652241991.3491
MEM 123.046875 1652241991.4494
MEM 125.875000 1652241991.5498
MEM 132.804688 1652241991.6502
MEM 133.562500 1652241991.7506
MEM 137.132812 1652241991.8509
MEM 143.480469 1652241991.9513
MEM 143.480469 1652241992.0517
MEM 157.660156 1652241992.1521
MEM 175.781250 1652241992.2525
MEM 182.933594 1652241992.3529
MEM 183.183594 1652241992.4533
MEM 183.683594 1652241992.5536
MEM 183.937500 1652241992.6540
MEM 184.433594 1652241992.7544
MEM 184.933594 1652241992.8548
MEM 185.183594 1652241992.9551
MEM 185.433594 1652241993.0555
MEM 185.683594 1652241993.1559
MEM 186.183594 1652241993.2562
MEM 186.433594 1652241993.3576
MEM 186.933594 1652241993.4580
MEM 187.433594 1652241993.5583
MEM 187.683594 1652241993.6586
MEM 188.183594 1652241993.7590
MEM 188.433594 1652241993.8593
MEM 188.933594 1652241993.9596
MEM 189.183594 1652241994.0599
MEM 189.683594 1652241994.1603
MEM 189.933594 1652241994.2606
MEM 190.433594 1652241994.3609
MEM 190.683594 1652241994.4612
MEM 191.183594 1652241994.5615
MEM 191.683594 1652241994.6618
MEM 191.933594 1652241994.7621
MEM 192.433594 1652241994.8624
MEM 192.683594 1652241994.9628
MEM 192.933594 1652241995.0632
MEM 193.183594 1652241995.1635
MEM 193.683594 1652241995.2638
MEM 194.183594 1652241995.3641
MEM 194.433594 1652241995.4645
MEM 194.933594 1652241995.5649
MEM 195.183594 1652241995.6652
MEM 195.683594 1652241995.7656
MEM 195.933594 1652241995.8660
MEM 196.433594 1652241995.9664
MEM 196.683594 1652241996.0668
MEM 197.183594 1652241996.1672
MEM 197.433594 1652241996.2676
MEM 197.933594 1652241996.3679
MEM 191.867188 1652241996.4683
MEM 184.828125 1652241996.5687
MEM 204.738281 1652241996.6690
MEM 204.738281 1652241996.7693
MEM 204.738281 1652241996.8697
MEM 204.738281 1652241996.9700
MEM 204.738281 1652241997.0705
MEM 204.738281 1652241997.1708
MEM 204.738281 1652241997.2712
MEM 204.738281 1652241997.3716
MEM 204.738281 1652241997.4719
MEM 204.738281 1652241997.5722
MEM 204.738281 1652241997.6726
MEM 204.738281 1652241997.7730
MEM 204.738281 1652241997.8735
MEM 204.738281 1652241997.9739
MEM 204.738281 1652241998.0742
MEM 204.738281 1652241998.1746
MEM 204.738281 1652241998.2749
MEM 204.738281 1652241998.3752
MEM 204.738281 1652241998.4756
MEM 204.738281 1652241998.5760
MEM 204.738281 1652241998.6764
MEM 204.738281 1652241998.7768
MEM 204.738281 1652241998.8771
MEM 205.578125 1652241998.9774
MEM 212.679688 1652241999.0778
MEM 212.855469 1652241999.1781
MEM 212.894531 1652241999.2784
MEM 212.894531 1652241999.3788
MEM 212.894531 1652241999.4793
MEM 212.894531 1652241999.5796
MEM 212.894531 1652241999.6800
MEM 212.894531 1652241999.7804
MEM 212.894531 1652241999.8808
MEM 212.894531 1652241999.9811
MEM 212.894531 1652242000.0815
MEM 212.894531 1652242000.1819
MEM 212.894531 1652242000.2822
MEM 212.894531 1652242000.3825
MEM 212.894531 1652242000.4827
MEM 212.894531 1652242000.5831
MEM 212.894531 1652242000.6833
MEM 212.949219 1652242000.7837
MEM 212.996094 1652242000.8874
MEM 212.996094 1652242000.9883
MEM 213.070312 1652242001.0887
MEM 213.070312 1652242001.1891
MEM 213.070312 1652242001.2894
MEM 213.070312 1652242001.3898
MEM 213.070312 1652242001.4901
MEM 213.070312 1652242001.5912
MEM 213.070312 1652242001.6934
MEM 213.070312 1652242001.7937
MEM 213.070312 1652242001.8941
MEM 213.070312 1652242001.9944
MEM 213.070312 1652242002.0948
MEM 213.070312 1652242002.1951
MEM 213.070312 1652242002.2955
MEM 213.070312 1652242002.3958
MEM 213.070312 1652242002.4961
MEM 213.070312 1652242002.5965
MEM 213.070312 1652242002.6969
MEM 213.070312 1652242002.7972
MEM 213.070312 1652242002.8976
MEM 213.070312 1652242002.9980
MEM 213.070312 1652242003.0983
MEM 213.070312 1652242003.1986
MEM 213.070312 1652242003.2990
MEM 213.070312 1652242003.3993
MEM 213.070312 1652242003.4997
MEM 213.601562 1652242003.6001
MEM 213.601562 1652242003.7004
MEM 213.605469 1652242003.8008
MEM 173.152344 1652242003.9011
MEM 171.902344 1652242004.0015
