CMDLINE /usr/bin/python3 scripts/PCA-SVM-TARA.py
MEM 1.136719 1652297022.7763
MEM 19.894531 1652297022.8768
MEM 29.480469 1652297022.9772
MEM 38.324219 1652297023.0775
MEM 46.125000 1652297023.1779
MEM 58.636719 1652297023.2782
MEM 72.300781 1652297023.3787
MEM 85.640625 1652297023.4791
MEM 91.050781 1652297023.5796
MEM 95.558594 1652297023.6800
MEM 95.558594 1652297023.7805
MEM 95.558594 1652297023.8810
MEM 95.558594 1652297023.9814
MEM 104.042969 1652297024.0819
MEM 106.015625 1652297024.1824
MEM 106.015625 1652297024.2828
MEM 106.015625 1652297024.3832
MEM 106.015625 1652297024.4837
MEM 106.015625 1652297024.5841
MEM 106.015625 1652297024.6845
MEM 106.015625 1652297024.7849
MEM 106.015625 1652297024.8853
MEM 106.015625 1652297024.9858
MEM 106.015625 1652297025.0862
MEM 106.015625 1652297025.1867
MEM 106.015625 1652297025.2872
MEM 106.015625 1652297025.3877
MEM 106.656250 1652297025.4881
MEM 106.656250 1652297025.5886
MEM 106.656250 1652297025.6891
MEM 106.656250 1652297025.7895
MEM 113.453125 1652297025.8899
MEM 113.453125 1652297025.9904
MEM 113.453125 1652297026.0908
MEM 113.453125 1652297026.1913
MEM 113.453125 1652297026.2917
MEM 113.453125 1652297026.3921
MEM 113.453125 1652297026.4925
MEM 120.832031 1652297026.5930
MEM 128.863281 1652297026.6933
MEM 133.085938 1652297026.7937
MEM 141.375000 1652297026.8941
MEM 143.859375 1652297026.9945
MEM 150.675781 1652297027.0949
MEM 152.808594 1652297027.1954
MEM 153.183594 1652297027.2957
MEM 162.281250 1652297027.3961
MEM 162.769531 1652297027.4966
MEM 169.789062 1652297027.5970
MEM 189.941406 1652297027.6975
MEM 190.976562 1652297027.7979
MEM 192.808594 1652297027.8984
MEM 194.539062 1652297027.9989
MEM 195.312500 1652297028.0994
MEM 196.238281 1652297028.1999
MEM 198.140625 1652297028.3003
MEM 199.726562 1652297028.4008
MEM 184.773438 1652297028.5013
MEM 184.902344 1652297028.6018
MEM 186.230469 1652297028.7023
MEM 186.230469 1652297028.8027
MEM 186.230469 1652297028.9032
MEM 195.468750 1652297029.0036
MEM 204.058594 1652297029.1041
MEM 204.058594 1652297029.2045
MEM 204.058594 1652297029.3049
MEM 204.058594 1652297029.4053
MEM 204.558594 1652297029.5058
MEM 204.808594 1652297029.6063
MEM 205.308594 1652297029.7068
MEM 205.562500 1652297029.8072
MEM 206.058594 1652297029.9076
MEM 206.312500 1652297030.0080
MEM 206.808594 1652297030.1084
MEM 207.058594 1652297030.2088
MEM 207.570312 1652297030.3092
MEM 207.828125 1652297030.4096
MEM 208.312500 1652297030.5101
MEM 208.558594 1652297030.6105
MEM 208.808594 1652297030.7109
MEM 208.808594 1652297030.8114
MEM 209.308594 1652297030.9118
MEM 209.558594 1652297031.0122
MEM 210.058594 1652297031.1125
MEM 210.308594 1652297031.2130
MEM 210.808594 1652297031.3134
MEM 211.058594 1652297031.4139
MEM 211.558594 1652297031.5143
MEM 211.808594 1652297031.6147
MEM 212.308594 1652297031.7151
MEM 212.558594 1652297031.8156
MEM 220.847656 1652297031.9160
MEM 213.324219 1652297032.0164
MEM 231.367188 1652297032.1170
MEM 231.367188 1652297032.2174
MEM 231.367188 1652297032.3179
MEM 231.367188 1652297032.4185
MEM 241.570312 1652297032.5189
MEM 242.148438 1652297032.6191
MEM 242.148438 1652297032.7196
MEM 242.148438 1652297032.8200
MEM 242.148438 1652297032.9204
MEM 242.148438 1652297033.0208
MEM 242.148438 1652297033.1212
MEM 242.148438 1652297033.2215
MEM 242.148438 1652297033.3220
MEM 242.148438 1652297033.4225
MEM 242.148438 1652297033.5229
MEM 242.148438 1652297033.6233
MEM 242.148438 1652297033.7237
MEM 242.234375 1652297033.8241
MEM 242.234375 1652297033.9245
MEM 242.234375 1652297034.0250
MEM 242.308594 1652297034.1254
MEM 242.308594 1652297034.2258
MEM 242.308594 1652297034.3261
MEM 242.308594 1652297034.4265
MEM 242.308594 1652297034.5269
MEM 242.308594 1652297034.6273
MEM 242.308594 1652297034.7277
MEM 242.308594 1652297034.8281
MEM 242.308594 1652297034.9285
MEM 242.308594 1652297035.0289
MEM 242.308594 1652297035.1293
MEM 242.308594 1652297035.2298
MEM 242.308594 1652297035.3302
MEM 242.308594 1652297035.4307
MEM 242.308594 1652297035.5311
MEM 242.308594 1652297035.6315
MEM 242.308594 1652297035.7319
MEM 242.308594 1652297035.8324
MEM 242.308594 1652297035.9328
MEM 242.308594 1652297036.0333
MEM 242.308594 1652297036.1337
MEM 242.308594 1652297036.2341
MEM 242.308594 1652297036.3345
MEM 242.488281 1652297036.4349
MEM 242.542969 1652297036.5353
MEM 242.730469 1652297036.6357
MEM 242.730469 1652297036.7362
MEM 242.730469 1652297036.8366
MEM 242.730469 1652297036.9369
MEM 242.730469 1652297037.0374
MEM 242.730469 1652297037.1379
MEM 242.730469 1652297037.2383
MEM 242.792969 1652297037.3387
MEM 242.792969 1652297037.4391
MEM 242.792969 1652297037.5395
MEM 242.792969 1652297037.6398
MEM 242.792969 1652297037.7402
MEM 242.792969 1652297037.8407
MEM 242.792969 1652297037.9411
MEM 242.792969 1652297038.0415
MEM 242.792969 1652297038.1420
MEM 242.792969 1652297038.2424
MEM 242.792969 1652297038.3429
MEM 242.792969 1652297038.4432
MEM 242.792969 1652297038.5436
MEM 242.792969 1652297038.6440
MEM 242.792969 1652297038.7445
MEM 242.792969 1652297038.8449
MEM 242.792969 1652297038.9452
MEM 242.792969 1652297039.0456
MEM 242.792969 1652297039.1460
MEM 242.792969 1652297039.2465
MEM 242.792969 1652297039.3471
MEM 242.792969 1652297039.4475
MEM 242.792969 1652297039.5479
MEM 242.792969 1652297039.6483
MEM 242.792969 1652297039.7487
MEM 242.792969 1652297039.8491
MEM 242.792969 1652297039.9496
MEM 242.792969 1652297040.0500
MEM 242.792969 1652297040.1504
MEM 242.792969 1652297040.2509
MEM 242.792969 1652297040.3514
MEM 242.792969 1652297040.4519
MEM 242.792969 1652297040.5524
MEM 242.792969 1652297040.6529
MEM 242.792969 1652297040.7535
MEM 242.792969 1652297040.8540
MEM 242.792969 1652297040.9544
MEM 242.792969 1652297041.0548
MEM 242.792969 1652297041.1552
MEM 242.792969 1652297041.2557
MEM 242.792969 1652297041.3561
MEM 242.792969 1652297041.4565
MEM 242.792969 1652297041.5569
MEM 242.792969 1652297041.6573
MEM 242.792969 1652297041.7578
MEM 242.792969 1652297041.8582
