CMDLINE /usr/bin/python3 scripts/tSNE-RF-GEM.py
MEM 1.121094 1652314955.8379
MEM 15.921875 1652314955.9383
MEM 22.847656 1652314956.0387
MEM 28.328125 1652314956.1391
MEM 34.300781 1652314956.2394
MEM 38.574219 1652314956.3398
MEM 45.632812 1652314956.4414
MEM 57.144531 1652314956.5418
MEM 66.207031 1652314956.6423
MEM 73.457031 1652314956.7427
MEM 83.175781 1652314956.8431
MEM 88.992188 1652314956.9436
MEM 95.683594 1652314957.0441
MEM 95.683594 1652314957.1445
MEM 95.683594 1652314957.2450
MEM 106.351562 1652314957.3454
MEM 106.351562 1652314957.4458
MEM 106.351562 1652314957.5463
MEM 106.351562 1652314957.6468
MEM 106.351562 1652314957.7472
MEM 106.351562 1652314957.8477
MEM 106.351562 1652314957.9482
MEM 106.351562 1652314958.0487
MEM 106.351562 1652314958.1491
MEM 106.351562 1652314958.2496
MEM 106.351562 1652314958.3501
MEM 106.351562 1652314958.4505
MEM 106.351562 1652314958.5510
MEM 106.351562 1652314958.6515
MEM 106.351562 1652314958.7519
MEM 106.976562 1652314958.8523
MEM 106.976562 1652314958.9527
MEM 106.976562 1652314959.0532
MEM 113.066406 1652314959.1537
MEM 113.718750 1652314959.2541
MEM 113.718750 1652314959.3545
MEM 113.718750 1652314959.4551
MEM 113.718750 1652314959.5556
MEM 113.718750 1652314959.6561
MEM 113.718750 1652314959.7566
MEM 119.132812 1652314959.8571
MEM 127.722656 1652314959.9575
MEM 133.316406 1652314960.0579
MEM 143.660156 1652314960.1583
MEM 149.843750 1652314960.2588
MEM 150.539062 1652314960.3592
MEM 160.968750 1652314960.4596
MEM 185.003906 1652314960.5600
MEM 184.683594 1652314960.6606
MEM 194.304688 1652314960.7610
MEM 233.406250 1652314960.8614
MEM 372.109375 1652314960.9619
MEM 510.554688 1652314961.0624
MEM 643.843750 1652314961.1629
MEM 756.250000 1652314961.2632
MEM 895.468750 1652314961.3637
MEM 1048.867188 1652314961.4643
MEM 1048.867188 1652314961.5649
MEM 1048.867188 1652314961.6654
MEM 1048.867188 1652314961.7660
MEM 1048.867188 1652314961.8664
MEM 1048.867188 1652314961.9669
MEM 1048.867188 1652314962.0675
MEM 1048.867188 1652314962.1680
MEM 1048.867188 1652314962.2685
MEM 1048.867188 1652314962.3691
MEM 1048.867188 1652314962.4696
MEM 1048.867188 1652314962.5701
MEM 1048.867188 1652314962.6706
MEM 1048.867188 1652314962.7712
MEM 1048.867188 1652314962.8716
MEM 1048.867188 1652314962.9721
MEM 1048.867188 1652314963.0726
MEM 1048.867188 1652314963.1731
MEM 1048.867188 1652314963.2736
MEM 1048.867188 1652314963.3740
MEM 1048.867188 1652314963.4744
MEM 1048.867188 1652314963.5749
MEM 1048.867188 1652314963.6753
MEM 1048.867188 1652314963.7758
MEM 1048.867188 1652314963.8762
MEM 1048.867188 1652314963.9767
MEM 1048.867188 1652314964.0772
MEM 1048.867188 1652314964.1777
MEM 1048.867188 1652314964.2782
MEM 1048.867188 1652314964.3787
MEM 1048.867188 1652314964.4791
MEM 1048.867188 1652314964.5796
MEM 1048.867188 1652314964.6800
MEM 1048.867188 1652314964.7806
MEM 1048.867188 1652314964.8811
MEM 1048.867188 1652314964.9816
MEM 1048.867188 1652314965.0821
MEM 1048.867188 1652314965.1825
MEM 1048.867188 1652314965.2830
MEM 1048.867188 1652314965.3834
MEM 1048.867188 1652314965.4839
MEM 1048.867188 1652314965.5844
MEM 1048.867188 1652314965.6849
MEM 1048.867188 1652314965.7854
MEM 1048.867188 1652314965.8859
MEM 1048.867188 1652314965.9863
MEM 1048.867188 1652314966.0869
MEM 1048.867188 1652314966.1875
MEM 1048.867188 1652314966.2880
MEM 1048.867188 1652314966.3886
MEM 1048.867188 1652314966.4891
MEM 1048.867188 1652314966.5896
MEM 1048.867188 1652314966.6902
MEM 1048.867188 1652314966.7907
MEM 1048.867188 1652314966.8913
MEM 1048.867188 1652314966.9918
MEM 1048.867188 1652314967.0922
MEM 1048.867188 1652314967.1927
MEM 1048.867188 1652314967.2932
MEM 1048.867188 1652314967.3936
MEM 1048.867188 1652314967.4941
MEM 1048.867188 1652314967.5946
MEM 1048.867188 1652314967.6951
MEM 1048.867188 1652314967.7955
MEM 1048.867188 1652314967.8959
MEM 1048.867188 1652314967.9964
MEM 1048.867188 1652314968.0968
MEM 1048.867188 1652314968.1973
MEM 1048.867188 1652314968.2978
MEM 1048.867188 1652314968.3982
MEM 1048.867188 1652314968.4987
MEM 1048.867188 1652314968.5992
MEM 1048.867188 1652314968.6996
MEM 1048.867188 1652314968.8001
MEM 1048.867188 1652314968.9005
MEM 1048.867188 1652314969.0010
MEM 1048.867188 1652314969.1015
MEM 1048.867188 1652314969.2020
MEM 1048.867188 1652314969.3024
MEM 1048.867188 1652314969.4029
MEM 1048.867188 1652314969.5034
MEM 1048.867188 1652314969.6038
MEM 1048.867188 1652314969.7044
MEM 1048.867188 1652314969.8049
MEM 1048.867188 1652314969.9053
MEM 1048.867188 1652314970.0058
MEM 1048.867188 1652314970.1063
MEM 1048.867188 1652314970.2068
MEM 1048.867188 1652314970.3073
MEM 1048.867188 1652314970.4077
MEM 1048.867188 1652314970.5082
MEM 1048.867188 1652314970.6086
MEM 1048.867188 1652314970.7091
MEM 1048.867188 1652314970.8096
MEM 1048.867188 1652314970.9100
MEM 1048.867188 1652314971.0105
MEM 1048.867188 1652314971.1110
MEM 1048.867188 1652314971.2115
MEM 1048.867188 1652314971.3119
MEM 1048.867188 1652314971.4124
MEM 1048.867188 1652314971.5128
MEM 1048.867188 1652314971.6133
MEM 1048.867188 1652314971.7137
MEM 1048.867188 1652314971.8142
MEM 1048.867188 1652314971.9146
MEM 1048.867188 1652314972.0151
MEM 1048.867188 1652314972.1155
MEM 1048.867188 1652314972.2160
MEM 1048.867188 1652314972.3165
MEM 1048.867188 1652314972.4169
MEM 1048.867188 1652314972.5174
MEM 1048.867188 1652314972.6178
MEM 1048.867188 1652314972.7183
MEM 1048.867188 1652314972.8187
MEM 1048.867188 1652314972.9192
MEM 1048.867188 1652314973.0197
MEM 1048.867188 1652314973.1201
MEM 1048.867188 1652314973.2205
MEM 1048.867188 1652314973.3210
MEM 1048.867188 1652314973.4214
MEM 1048.867188 1652314973.5218
MEM 1048.867188 1652314973.6223
MEM 1048.867188 1652314973.7227
MEM 1048.867188 1652314973.8232
MEM 1048.867188 1652314973.9237
MEM 1048.867188 1652314974.0244
MEM 1048.867188 1652314974.1248
MEM 1048.867188 1652314974.2251
MEM 1048.867188 1652314974.3257
MEM 1048.867188 1652314974.4261
MEM 1048.867188 1652314974.5265
MEM 1048.867188 1652314974.6269
MEM 1048.867188 1652314974.7273
MEM 1048.867188 1652314974.8277
MEM 1048.867188 1652314974.9282
MEM 1048.867188 1652314975.0286
MEM 1048.867188 1652314975.1290
MEM 1048.867188 1652314975.2298
MEM 1048.867188 1652314975.3303
MEM 1048.867188 1652314975.4308
MEM 1048.867188 1652314975.5312
MEM 1048.867188 1652314975.6317
MEM 1048.867188 1652314975.7321
MEM 1048.867188 1652314975.8325
MEM 1048.867188 1652314975.9330
MEM 1048.867188 1652314976.0333
MEM 1048.867188 1652314976.1338
MEM 1048.867188 1652314976.2341
MEM 1048.867188 1652314976.3346
MEM 1048.867188 1652314976.4352
MEM 1048.867188 1652314976.5358
MEM 1048.867188 1652314976.6363
MEM 1048.867188 1652314976.7368
MEM 1048.867188 1652314976.8372
MEM 1048.867188 1652314976.9375
MEM 1048.867188 1652314977.0381
MEM 1048.867188 1652314977.1387
MEM 1048.867188 1652314977.2392
MEM 1048.867188 1652314977.3398
MEM 1048.867188 1652314977.4404
MEM 1048.867188 1652314977.5408
MEM 1048.867188 1652314977.6414
MEM 1048.867188 1652314977.7418
MEM 1048.867188 1652314977.8423
MEM 1048.867188 1652314977.9430
MEM 1048.867188 1652314978.0435
MEM 1048.867188 1652314978.1439
MEM 1048.867188 1652314978.2445
MEM 1048.867188 1652314978.3450
MEM 1048.867188 1652314978.4455
MEM 1048.867188 1652314978.5461
MEM 1048.867188 1652314978.6465
MEM 1048.867188 1652314978.7470
MEM 1048.867188 1652314978.8475
MEM 1048.867188 1652314978.9479
MEM 1048.867188 1652314979.0484
MEM 1048.867188 1652314979.1488
MEM 1048.867188 1652314979.2493
MEM 1048.867188 1652314979.3498
MEM 1048.867188 1652314979.4502
MEM 1048.867188 1652314979.5507
MEM 1048.867188 1652314979.6512
MEM 1048.867188 1652314979.7516
MEM 1048.867188 1652314979.8521
