CMDLINE /usr/bin/python3 scripts/tSNE-RF-Malaria.py
MEM 7.578125 1652243910.3400
MEM 17.460938 1652243910.4403
MEM 25.644531 1652243910.5407
MEM 31.792969 1652243910.6411
MEM 36.128906 1652243910.7418
MEM 40.347656 1652243910.8426
MEM 46.777344 1652243910.9430
MEM 56.921875 1652243911.0434
MEM 67.566406 1652243911.1441
MEM 74.304688 1652243911.2446
MEM 84.550781 1652243911.3450
MEM 88.832031 1652243911.4454
MEM 93.839844 1652243911.5463
MEM 100.234375 1652243911.6467
MEM 110.968750 1652243911.7471
MEM 118.195312 1652243911.8475
MEM 124.492188 1652243911.9479
MEM 125.335938 1652243912.0483
MEM 130.597656 1652243912.1486
MEM 131.355469 1652243912.2489
MEM 137.148438 1652243912.3492
MEM 148.386719 1652243912.4495
MEM 193.054688 1652243912.5498
MEM 193.054688 1652243912.6502
MEM 213.421875 1652243912.7505
MEM 213.421875 1652243912.8509
MEM 213.421875 1652243912.9513
MEM 180.875000 1652243913.0517
MEM 181.761719 1652243913.1522
MEM 182.535156 1652243913.2526
MEM 184.078125 1652243913.3530
MEM 187.183594 1652243913.4534
MEM 190.277344 1652243913.5538
MEM 194.917969 1652243913.6542
MEM 196.980469 1652243913.7546
MEM 202.121094 1652243913.8550
MEM 270.937500 1652243913.9554
MEM 308.921875 1652243914.0558
MEM 321.261719 1652243914.1562
MEM 321.511719 1652243914.2565
MEM 322.011719 1652243914.3570
MEM 322.511719 1652243914.4574
MEM 322.761719 1652243914.5579
MEM 323.261719 1652243914.6583
MEM 323.511719 1652243914.7588
MEM 324.011719 1652243914.8592
MEM 324.011719 1652243914.9597
MEM 324.511719 1652243915.0601
MEM 324.761719 1652243915.1605
MEM 325.261719 1652243915.2609
MEM 325.761719 1652243915.3613
MEM 326.011719 1652243915.4617
MEM 326.511719 1652243915.5621
MEM 330.089844 1652243915.6625
MEM 330.089844 1652243915.7629
MEM 330.089844 1652243915.8633
MEM 349.523438 1652243915.9637
MEM 350.203125 1652243916.0642
MEM 350.203125 1652243916.1646
MEM 350.203125 1652243916.2671
