CMDLINE /usr/bin/python3 scripts/tSNE-RF-Rhizo.py
MEM 0.003906 1652242103.8974
MEM 16.367188 1652242103.9978
MEM 23.144531 1652242104.0981
MEM 29.808594 1652242104.1985
MEM 35.574219 1652242104.2988
MEM 40.191406 1652242104.3991
MEM 45.699219 1652242104.4995
MEM 48.570312 1652242104.5999
MEM 63.218750 1652242104.7002
MEM 72.566406 1652242104.8006
MEM 82.515625 1652242104.9009
MEM 87.492188 1652242105.0013
MEM 92.410156 1652242105.1016
MEM 97.035156 1652242105.2019
MEM 109.539062 1652242105.3023
MEM 112.726562 1652242105.4026
MEM 123.687500 1652242105.5029
MEM 124.796875 1652242105.6034
MEM 127.816406 1652242105.7037
MEM 131.148438 1652242105.8044
MEM 131.656250 1652242105.9048
MEM 138.406250 1652242106.0051
MEM 154.128906 1652242106.1055
MEM 156.843750 1652242106.2059
MEM 177.429688 1652242106.3063
MEM 177.679688 1652242106.4066
MEM 178.179688 1652242106.5070
MEM 178.429688 1652242106.6086
MEM 178.929688 1652242106.7089
MEM 179.179688 1652242106.8092
MEM 179.679688 1652242106.9096
MEM 179.929688 1652242107.0099
MEM 180.429688 1652242107.1102
MEM 180.679688 1652242107.2105
MEM 180.929688 1652242107.3109
MEM 181.179688 1652242107.4111
MEM 181.679688 1652242107.5114
MEM 181.929688 1652242107.6117
MEM 182.429688 1652242107.7120
MEM 182.929688 1652242107.8123
MEM 183.179688 1652242107.9126
MEM 183.679688 1652242108.0129
MEM 183.929688 1652242108.1133
MEM 184.429688 1652242108.2136
MEM 184.679688 1652242108.3139
MEM 184.929688 1652242108.4142
MEM 185.433594 1652242108.5145
MEM 185.679688 1652242108.6148
MEM 186.179688 1652242108.7151
MEM 186.429688 1652242108.8154
MEM 186.929688 1652242108.9157
MEM 187.429688 1652242109.0160
MEM 187.929688 1652242109.1163
MEM 188.183594 1652242109.2166
MEM 188.183594 1652242109.3169
MEM 188.679688 1652242109.4172
MEM 188.929688 1652242109.5175
MEM 189.429688 1652242109.6178
MEM 189.679688 1652242109.7181
MEM 189.929688 1652242109.8184
MEM 190.433594 1652242109.9187
MEM 190.683594 1652242110.0190
MEM 191.183594 1652242110.1193
MEM 191.433594 1652242110.2195
MEM 191.683594 1652242110.3199
MEM 191.933594 1652242110.4202
MEM 192.183594 1652242110.5205
MEM 192.433594 1652242110.6208
MEM 183.718750 1652242110.7211
MEM 183.718750 1652242110.8214
MEM 193.433594 1652242110.9237
MEM 193.433594 1652242111.0240
MEM 193.433594 1652242111.1243
MEM 193.433594 1652242111.2246
MEM 193.433594 1652242111.3248
MEM 193.433594 1652242111.4251
MEM 202.320312 1652242111.5254
MEM 203.574219 1652242111.6257
MEM 203.574219 1652242111.7260
MEM 203.574219 1652242111.8263
MEM 203.574219 1652242111.9266
MEM 203.574219 1652242112.0269
MEM 203.574219 1652242112.1273
MEM 203.574219 1652242112.2279
MEM 203.574219 1652242112.3282
MEM 203.574219 1652242112.4285
MEM 203.574219 1652242112.5288
MEM 203.574219 1652242112.6304
MEM 203.574219 1652242112.7307
