CMDLINE /usr/bin/python3 scripts/tSNE-RF-TARA.py
MEM 0.003906 1652255525.3968
MEM 13.921875 1652255525.4972
MEM 20.414062 1652255525.5975
MEM 27.031250 1652255525.6978
MEM 33.050781 1652255525.7982
MEM 36.000000 1652255525.8985
MEM 40.816406 1652255525.9989
MEM 46.558594 1652255526.0991
MEM 54.566406 1652255526.1995
MEM 66.902344 1652255526.2998
MEM 74.367188 1652255526.4001
MEM 84.515625 1652255526.5005
MEM 88.785156 1652255526.6030
MEM 93.816406 1652255526.7034
MEM 100.191406 1652255526.8037
MEM 111.007812 1652255526.9041
MEM 117.921875 1652255527.0044
MEM 124.367188 1652255527.1047
MEM 125.316406 1652255527.2051
MEM 130.828125 1652255527.3055
MEM 131.082031 1652255527.4058
MEM 135.839844 1652255527.5062
MEM 145.902344 1652255527.6065
MEM 167.699219 1652255527.7069
MEM 169.625000 1652255527.8071
MEM 171.515625 1652255527.9075
MEM 173.062500 1652255528.0079
MEM 173.980469 1652255528.1082
MEM 174.976562 1652255528.2086
MEM 176.964844 1652255528.3089
MEM 178.894531 1652255528.4093
MEM 163.472656 1652255528.5096
MEM 164.390625 1652255528.6100
MEM 164.390625 1652255528.7104
MEM 164.937500 1652255528.8107
MEM 173.687500 1652255528.9111
MEM 182.910156 1652255529.0115
MEM 182.910156 1652255529.1119
MEM 182.910156 1652255529.2122
MEM 182.910156 1652255529.3125
MEM 182.910156 1652255529.4129
MEM 183.160156 1652255529.5133
MEM 183.660156 1652255529.6136
MEM 183.910156 1652255529.7140
MEM 184.410156 1652255529.8144
MEM 184.660156 1652255529.9147
MEM 185.160156 1652255530.0149
MEM 185.410156 1652255530.1152
MEM 185.910156 1652255530.2155
MEM 186.164062 1652255530.3158
MEM 186.660156 1652255530.4160
MEM 187.160156 1652255530.5164
MEM 187.410156 1652255530.6167
MEM 187.660156 1652255530.7169
MEM 188.164062 1652255530.8172
MEM 188.660156 1652255530.9175
MEM 188.910156 1652255531.0177
MEM 189.410156 1652255531.1180
MEM 189.660156 1652255531.2183
MEM 189.910156 1652255531.3186
MEM 190.160156 1652255531.4189
MEM 190.660156 1652255531.5192
MEM 190.910156 1652255531.6195
MEM 191.410156 1652255531.7197
MEM 191.660156 1652255531.8200
MEM 184.039062 1652255531.9204
MEM 211.410156 1652255532.0208
MEM 211.410156 1652255532.1212
MEM 211.664062 1652255532.2216
MEM 213.261719 1652255532.3219
MEM 214.257812 1652255532.4223
MEM 215.027344 1652255532.5228
MEM 216.757812 1652255532.6231
MEM 218.277344 1652255532.7235
MEM 220.011719 1652255532.8239
MEM 222.656250 1652255532.9243
MEM 223.632812 1652255533.0247
MEM 226.296875 1652255533.1250
MEM 229.246094 1652255533.2254
MEM 232.199219 1652255533.3258
MEM 234.847656 1652255533.4262
MEM 236.191406 1652255533.5266
MEM 236.351562 1652255533.6270
MEM 236.851562 1652255533.7273
MEM 248.359375 1652255533.8277
MEM 228.289062 1652255533.9281
MEM 252.628906 1652255534.0285
MEM 252.628906 1652255534.1290
MEM 252.628906 1652255534.2293
MEM 252.628906 1652255534.3298
MEM 252.628906 1652255534.4302
MEM 252.628906 1652255534.5306
MEM 252.628906 1652255534.6412
MEM 253.378906 1652255534.7416
MEM 253.378906 1652255534.8420
MEM 253.378906 1652255534.9423
MEM 253.378906 1652255535.0427
MEM 253.378906 1652255535.1431
MEM 253.378906 1652255535.2433
MEM 253.378906 1652255535.3455
MEM 253.378906 1652255535.4458
MEM 253.378906 1652255535.5461
MEM 253.378906 1652255535.6486
MEM 253.378906 1652255535.7489
MEM 253.378906 1652255535.8492
MEM 253.378906 1652255535.9494
MEM 253.378906 1652255536.0497
MEM 253.378906 1652255536.1500
MEM 253.378906 1652255536.2502
MEM 253.378906 1652255536.3506
MEM 253.378906 1652255536.4509
MEM 253.378906 1652255536.5512
MEM 253.378906 1652255536.6515
MEM 253.378906 1652255536.7518
MEM 253.378906 1652255536.8521
MEM 253.378906 1652255536.9536
MEM 253.378906 1652255537.0540
MEM 253.378906 1652255537.1543
MEM 253.378906 1652255537.2546
MEM 253.378906 1652255537.3549
MEM 253.378906 1652255537.4551
MEM 253.378906 1652255537.5554
MEM 253.378906 1652255537.6560
MEM 253.378906 1652255537.7564
MEM 253.378906 1652255537.8567
MEM 253.378906 1652255537.9570
MEM 253.378906 1652255538.0573
MEM 253.378906 1652255538.1576
MEM 253.378906 1652255538.2579
MEM 253.378906 1652255538.3603
MEM 253.378906 1652255538.4607
MEM 253.378906 1652255538.5610
MEM 253.378906 1652255538.6613
MEM 253.378906 1652255538.7615
MEM 253.378906 1652255538.8618
MEM 253.378906 1652255538.9621
MEM 253.378906 1652255539.0642
MEM 253.378906 1652255539.1646
MEM 253.378906 1652255539.2649
MEM 253.378906 1652255539.3652
MEM 253.378906 1652255539.4655
MEM 253.378906 1652255539.5658
MEM 253.378906 1652255539.6661
MEM 253.378906 1652255539.7665
MEM 253.378906 1652255539.8669
MEM 253.378906 1652255539.9671
MEM 253.378906 1652255540.0674
MEM 253.378906 1652255540.1677
MEM 253.378906 1652255540.2680
MEM 253.378906 1652255540.3683
MEM 253.378906 1652255540.4687
MEM 253.378906 1652255540.5690
MEM 253.378906 1652255540.6693
MEM 253.378906 1652255540.7697
MEM 253.378906 1652255540.8700
MEM 253.378906 1652255540.9703
MEM 253.378906 1652255541.0707
MEM 253.378906 1652255541.1711
MEM 253.378906 1652255541.2715
MEM 253.378906 1652255541.3718
MEM 253.378906 1652255541.4721
MEM 253.378906 1652255541.5724
MEM 253.378906 1652255541.6759
MEM 253.378906 1652255541.7763
MEM 253.378906 1652255541.8767
MEM 253.378906 1652255541.9770
MEM 253.378906 1652255542.0773
MEM 253.378906 1652255542.1775
MEM 253.378906 1652255542.2778
MEM 253.378906 1652255542.3782
MEM 253.378906 1652255542.4786
MEM 253.378906 1652255542.5789
MEM 253.378906 1652255542.6793
MEM 253.378906 1652255542.7796
MEM 253.378906 1652255542.8809
MEM 253.378906 1652255542.9812
MEM 253.378906 1652255543.0815
MEM 253.378906 1652255543.1819
MEM 253.378906 1652255543.2822
MEM 253.378906 1652255543.3825
MEM 253.378906 1652255543.4828
MEM 253.378906 1652255543.5831
MEM 253.378906 1652255543.6836
MEM 253.378906 1652255543.7839
MEM 253.378906 1652255543.8843
MEM 253.378906 1652255543.9846
MEM 253.378906 1652255544.0849
MEM 253.378906 1652255544.1862
MEM 253.378906 1652255544.2868
MEM 253.378906 1652255544.3870
MEM 253.378906 1652255544.4893
MEM 253.378906 1652255544.5910
MEM 253.378906 1652255544.6957
MEM 253.378906 1652255544.7980
