CMDLINE /usr/bin/python3 scripts/tSNE-SVM-Rhizo.py
MEM 1.179688 1652242004.7364
MEM 15.476562 1652242004.8368
MEM 22.339844 1652242004.9372
MEM 28.085938 1652242005.0376
MEM 33.062500 1652242005.1379
MEM 38.937500 1652242005.2383
MEM 47.484375 1652242005.3386
MEM 61.921875 1652242005.4390
MEM 71.324219 1652242005.5394
MEM 79.468750 1652242005.6397
MEM 87.289062 1652242005.7401
MEM 91.410156 1652242005.8404
MEM 95.671875 1652242005.9408
MEM 109.406250 1652242006.0412
MEM 113.414062 1652242006.1415
MEM 123.894531 1652242006.2419
MEM 124.765625 1652242006.3423
MEM 128.812500 1652242006.4427
MEM 131.234375 1652242006.5431
MEM 131.550781 1652242006.6435
MEM 141.539062 1652242006.7439
MEM 156.613281 1652242006.8443
MEM 178.605469 1652242006.9447
MEM 176.238281 1652242007.0451
MEM 176.738281 1652242007.1455
MEM 176.988281 1652242007.2459
MEM 177.492188 1652242007.3463
MEM 177.742188 1652242007.4467
MEM 178.242188 1652242007.5470
MEM 178.742188 1652242007.6474
MEM 178.992188 1652242007.7478
MEM 179.492188 1652242007.8481
MEM 179.742188 1652242007.9485
MEM 179.992188 1652242008.0490
MEM 180.242188 1652242008.1493
MEM 180.742188 1652242008.2497
MEM 181.242188 1652242008.3500
MEM 181.492188 1652242008.4503
MEM 181.992188 1652242008.5506
MEM 182.242188 1652242008.6509
MEM 182.742188 1652242008.7512
MEM 182.992188 1652242008.8516
MEM 183.492188 1652242008.9519
MEM 183.742188 1652242009.0522
MEM 184.242188 1652242009.1526
MEM 184.742188 1652242009.2529
MEM 184.992188 1652242009.3533
MEM 185.492188 1652242009.4535
MEM 185.742188 1652242009.5538
MEM 186.242188 1652242009.6541
MEM 186.492188 1652242009.7544
MEM 186.992188 1652242009.8547
MEM 187.242188 1652242009.9551
MEM 187.492188 1652242010.0554
MEM 187.992188 1652242010.1557
MEM 188.242188 1652242010.2559
MEM 188.742188 1652242010.3562
MEM 188.992188 1652242010.4565
MEM 189.492188 1652242010.5569
MEM 189.742188 1652242010.6573
MEM 190.242188 1652242010.7576
MEM 190.492188 1652242010.8579
MEM 190.992188 1652242010.9583
MEM 191.492188 1652242011.0587
MEM 182.343750 1652242011.1591
MEM 192.042969 1652242011.2595
MEM 192.042969 1652242011.3598
MEM 192.042969 1652242011.4603
MEM 192.042969 1652242011.5606
MEM 192.042969 1652242011.6610
MEM 192.042969 1652242011.7614
MEM 200.945312 1652242011.8619
MEM 202.183594 1652242011.9623
MEM 202.183594 1652242012.0626
MEM 202.183594 1652242012.1630
MEM 202.183594 1652242012.2633
MEM 202.183594 1652242012.3637
MEM 202.183594 1652242012.4640
MEM 202.183594 1652242012.5644
MEM 202.183594 1652242012.6647
MEM 202.183594 1652242012.7651
MEM 202.183594 1652242012.8654
MEM 202.183594 1652242012.9658
MEM 202.183594 1652242013.0661
MEM 202.183594 1652242013.1664
MEM 202.183594 1652242013.2667
MEM 202.183594 1652242013.3671
MEM 202.183594 1652242013.4675
MEM 202.183594 1652242013.5679
MEM 202.183594 1652242013.6682
MEM 202.183594 1652242013.7686
MEM 202.183594 1652242013.8689
MEM 202.183594 1652242013.9693
MEM 202.183594 1652242014.0712
MEM 202.183594 1652242014.1715
MEM 202.183594 1652242014.2732
MEM 202.183594 1652242014.3791
MEM 202.183594 1652242014.4795
MEM 202.183594 1652242014.5798
MEM 202.183594 1652242014.6802
MEM 202.183594 1652242014.7805
MEM 202.183594 1652242014.8808
MEM 202.183594 1652242014.9812
MEM 202.183594 1652242015.0815
MEM 202.183594 1652242015.1818
MEM 202.183594 1652242015.2822
MEM 202.183594 1652242015.3826
MEM 202.183594 1652242015.4829
MEM 202.183594 1652242015.5832
MEM 202.183594 1652242015.6840
MEM 202.183594 1652242015.7844
MEM 202.183594 1652242015.8847
MEM 202.183594 1652242015.9870
MEM 202.183594 1652242016.0873
MEM 202.183594 1652242016.1877
MEM 202.183594 1652242016.2892
MEM 202.183594 1652242016.3895
MEM 202.183594 1652242016.4898
MEM 202.183594 1652242016.5902
MEM 202.183594 1652242016.6905
MEM 202.183594 1652242016.7909
MEM 202.183594 1652242016.8935
MEM 202.183594 1652242016.9938
MEM 202.183594 1652242017.0942
MEM 202.183594 1652242017.1945
MEM 202.183594 1652242017.2949
MEM 202.183594 1652242017.3952
MEM 202.183594 1652242017.4956
MEM 202.183594 1652242017.5960
MEM 202.183594 1652242017.6964
MEM 202.183594 1652242017.7967
MEM 202.183594 1652242017.8972
MEM 202.183594 1652242017.9975
MEM 202.183594 1652242018.0979
MEM 202.183594 1652242018.2002
MEM 202.183594 1652242018.3006
MEM 202.183594 1652242018.4010
