CMDLINE /usr/bin/python3 scripts/tSNE-SVM-TARA.py
MEM 0.781250 1652297072.5425
MEM 19.425781 1652297072.6431
MEM 28.457031 1652297072.7435
MEM 38.148438 1652297072.8439
MEM 44.734375 1652297072.9443
MEM 47.652344 1652297073.0447
MEM 66.414062 1652297073.1450
MEM 79.253906 1652297073.2454
MEM 87.453125 1652297073.3457
MEM 94.351562 1652297073.4461
MEM 95.437500 1652297073.5465
MEM 95.437500 1652297073.6468
MEM 95.437500 1652297073.7472
MEM 103.156250 1652297073.8475
MEM 105.976562 1652297073.9479
MEM 105.976562 1652297074.0482
MEM 105.976562 1652297074.1487
MEM 105.976562 1652297074.2492
MEM 105.976562 1652297074.3497
MEM 105.976562 1652297074.4502
MEM 105.976562 1652297074.5507
MEM 105.976562 1652297074.6512
MEM 105.976562 1652297074.7517
MEM 105.976562 1652297074.8522
MEM 105.976562 1652297074.9527
MEM 105.976562 1652297075.0532
MEM 105.976562 1652297075.1537
MEM 105.976562 1652297075.2541
MEM 106.625000 1652297075.3546
MEM 106.625000 1652297075.4552
MEM 106.625000 1652297075.5556
MEM 113.460938 1652297075.6559
MEM 113.460938 1652297075.7563
MEM 113.460938 1652297075.8567
MEM 113.769531 1652297075.9572
MEM 113.769531 1652297076.0576
MEM 113.769531 1652297076.1579
MEM 113.769531 1652297076.2583
MEM 120.578125 1652297076.3587
MEM 127.460938 1652297076.4591
MEM 140.261719 1652297076.5595
MEM 144.667969 1652297076.6599
MEM 150.210938 1652297076.7603
MEM 156.757812 1652297076.8607
MEM 177.570312 1652297076.9611
MEM 189.011719 1652297077.0615
MEM 192.320312 1652297077.1620
MEM 193.703125 1652297077.2626
MEM 196.781250 1652297077.3630
MEM 183.015625 1652297077.4633
MEM 184.167969 1652297077.5638
MEM 184.695312 1652297077.6642
MEM 202.339844 1652297077.7646
MEM 202.609375 1652297077.8650
MEM 202.609375 1652297077.9654
MEM 202.859375 1652297078.0658
MEM 203.609375 1652297078.1663
MEM 204.109375 1652297078.2668
MEM 204.609375 1652297078.3673
MEM 205.109375 1652297078.4677
MEM 205.609375 1652297078.5681
MEM 205.859375 1652297078.6685
MEM 206.109375 1652297078.7690
MEM 206.859375 1652297078.8695
MEM 207.359375 1652297078.9699
MEM 207.609375 1652297079.0703
MEM 207.863281 1652297079.1708
MEM 208.609375 1652297079.2713
MEM 209.109375 1652297079.3718
MEM 209.609375 1652297079.4722
MEM 210.109375 1652297079.5727
MEM 210.859375 1652297079.6732
MEM 211.363281 1652297079.7736
MEM 203.230469 1652297079.8741
MEM 230.785156 1652297079.9745
MEM 230.785156 1652297080.0749
MEM 231.468750 1652297080.1753
MEM 233.972656 1652297080.2757
MEM 236.472656 1652297080.3761
MEM 238.718750 1652297080.4765
MEM 239.550781 1652297080.5770
MEM 243.453125 1652297080.6775
MEM 248.007812 1652297080.7779
MEM 252.421875 1652297080.8783
MEM 254.058594 1652297080.9788
MEM 256.097656 1652297081.0792
MEM 256.507812 1652297081.1796
MEM 274.390625 1652297081.2800
MEM 275.867188 1652297081.3805
MEM 276.945312 1652297081.4808
MEM 276.945312 1652297081.5812
MEM 276.945312 1652297081.6816
MEM 276.945312 1652297081.7820
MEM 276.945312 1652297081.8824
MEM 276.945312 1652297081.9827
MEM 276.945312 1652297082.0831
MEM 276.945312 1652297082.1835
MEM 276.945312 1652297082.2840
MEM 276.945312 1652297082.3844
MEM 276.945312 1652297082.4849
MEM 276.945312 1652297082.5854
MEM 276.945312 1652297082.6858
MEM 276.945312 1652297082.7862
MEM 276.945312 1652297082.8866
MEM 276.945312 1652297082.9870
MEM 276.945312 1652297083.0875
MEM 276.945312 1652297083.1879
MEM 276.945312 1652297083.2883
MEM 276.945312 1652297083.3886
MEM 276.945312 1652297083.4891
MEM 276.945312 1652297083.5895
MEM 276.945312 1652297083.6900
MEM 276.945312 1652297083.7904
MEM 276.945312 1652297083.8908
MEM 276.945312 1652297083.9912
MEM 276.945312 1652297084.0916
MEM 276.945312 1652297084.1921
MEM 276.945312 1652297084.2925
MEM 276.945312 1652297084.3929
MEM 276.945312 1652297084.4933
MEM 276.945312 1652297084.5938
MEM 276.945312 1652297084.6942
MEM 276.945312 1652297084.7946
MEM 276.945312 1652297084.8951
MEM 276.945312 1652297084.9955
MEM 276.945312 1652297085.0959
MEM 276.945312 1652297085.1962
MEM 276.945312 1652297085.2966
MEM 276.945312 1652297085.3970
MEM 276.945312 1652297085.4974
MEM 276.945312 1652297085.5979
MEM 276.945312 1652297085.6983
MEM 276.945312 1652297085.7987
MEM 276.945312 1652297085.8991
MEM 276.945312 1652297085.9995
MEM 276.945312 1652297086.1000
MEM 276.945312 1652297086.2004
MEM 276.945312 1652297086.3010
MEM 276.945312 1652297086.4014
MEM 276.945312 1652297086.5018
MEM 276.945312 1652297086.6022
MEM 276.945312 1652297086.7026
MEM 276.945312 1652297086.8030
MEM 276.945312 1652297086.9034
MEM 276.945312 1652297087.0038
MEM 276.945312 1652297087.1042
MEM 276.945312 1652297087.2047
MEM 276.945312 1652297087.3051
MEM 276.945312 1652297087.4055
MEM 276.945312 1652297087.5059
MEM 276.945312 1652297087.6063
MEM 276.945312 1652297087.7067
MEM 276.945312 1652297087.8071
MEM 276.945312 1652297087.9075
MEM 276.945312 1652297088.0080
MEM 276.945312 1652297088.1084
MEM 276.945312 1652297088.2088
MEM 276.945312 1652297088.3091
MEM 276.945312 1652297088.4095
MEM 276.945312 1652297088.5099
MEM 276.945312 1652297088.6103
MEM 276.945312 1652297088.7107
MEM 276.945312 1652297088.8112
MEM 276.945312 1652297088.9116
MEM 276.945312 1652297089.0120
MEM 276.945312 1652297089.1124
MEM 276.945312 1652297089.2128
MEM 276.945312 1652297089.3132
MEM 276.945312 1652297089.4137
MEM 276.945312 1652297089.5141
MEM 276.945312 1652297089.6145
MEM 276.945312 1652297089.7150
MEM 276.945312 1652297089.8154
MEM 276.945312 1652297089.9158
MEM 276.945312 1652297090.0162
MEM 276.945312 1652297090.1169
MEM 276.945312 1652297090.2173
MEM 276.945312 1652297090.3177
MEM 276.945312 1652297090.4180
MEM 276.945312 1652297090.5184
MEM 276.945312 1652297090.6187
MEM 276.945312 1652297090.7191
MEM 276.945312 1652297090.8195
MEM 276.945312 1652297090.9199
MEM 276.945312 1652297091.0203
MEM 276.945312 1652297091.1207
MEM 276.945312 1652297091.2213
MEM 276.945312 1652297091.3217
MEM 276.945312 1652297091.4221
MEM 276.945312 1652297091.5224
MEM 276.945312 1652297091.6228
MEM 276.945312 1652297091.7232
MEM 276.945312 1652297091.8236
MEM 276.945312 1652297091.9253
MEM 276.945312 1652297092.0257
MEM 276.945312 1652297092.1261
MEM 276.945312 1652297092.2264
MEM 276.945312 1652297092.3268
MEM 276.945312 1652297092.4272
MEM 276.945312 1652297092.5275
MEM 276.945312 1652297092.6279
MEM 276.945312 1652297092.7282
MEM 276.945312 1652297092.8286
MEM 276.945312 1652297092.9289
MEM 276.945312 1652297093.0293
MEM 276.945312 1652297093.1297
MEM 276.945312 1652297093.2300
MEM 276.945312 1652297093.3304
MEM 276.945312 1652297093.4307
MEM 276.945312 1652297093.5311
MEM 276.945312 1652297093.6314
MEM 276.945312 1652297093.7318
MEM 276.945312 1652297093.8321
MEM 276.945312 1652297093.9325
MEM 276.945312 1652297094.0328
MEM 276.945312 1652297094.1332
MEM 276.945312 1652297094.2335
MEM 276.945312 1652297094.3341
MEM 276.945312 1652297094.4345
MEM 276.945312 1652297094.5348
MEM 276.945312 1652297094.6351
MEM 276.945312 1652297094.7355
MEM 276.945312 1652297094.8359
