Time: 5:11.84, Memory: 0
Time: 5:13.81, Memory: 0
Time: 5:10.11, Memory: 0
Time: 5:08.48, Memory: 0
Time: 5:08.59, Memory: 0

Time: 29:24.59, Memory: 0
Time: 29:19.02, Memory: 0
Time: 29:27.29, Memory: 0
Time: 29:34.47, Memory: 0
Time: 29:27.98, Memory: 0

Time: 13:48.04, Memory: 0
Time: 13:59.68, Memory: 0
Time: 13:45.11, Memory: 0
Time: 13:55.54, Memory: 0
Time: 13:53.33, Memory: 0

Time: 1:08:39, Memory: 0
Time: 1:07:44, Memory: 0
Time: 1:08:12, Memory: 0
Time: 1:08:41, Memory: 0
Time: 1:08:16, Memory: 0
