CMDLINE /usr/bin/python3 scripts/Lasso-RF-Rhizo.py
MEM 0.781250 1652109539.0516
MEM 18.179688 1652109539.1520
MEM 28.238281 1652109539.2524
MEM 38.789062 1652109539.3529
MEM 45.242188 1652109539.4533
MEM 58.839844 1652109539.5535
MEM 74.511719 1652109539.6538
MEM 88.179688 1652109539.7542
MEM 99.023438 1652109539.8546
MEM 111.265625 1652109539.9550
MEM 123.644531 1652109540.0553
MEM 128.316406 1652109540.1557
MEM 130.867188 1652109540.2562
MEM 152.539062 1652109540.3566
MEM 176.042969 1652109540.4571
MEM 176.542969 1652109540.5576
MEM 177.292969 1652109540.6580
MEM 178.042969 1652109540.7584
MEM 178.792969 1652109540.8588
MEM 179.292969 1652109540.9592
MEM 179.792969 1652109541.0597
MEM 180.542969 1652109541.1602
MEM 181.292969 1652109541.2606
MEM 181.792969 1652109541.3610
MEM 182.542969 1652109541.4614
MEM 183.292969 1652109541.5619
MEM 183.792969 1652109541.6623
MEM 184.542969 1652109541.7627
MEM 185.292969 1652109541.8631
MEM 186.042969 1652109541.9636
MEM 186.542969 1652109542.0640
MEM 187.042969 1652109542.1645
MEM 187.792969 1652109542.2650
MEM 188.542969 1652109542.3654
MEM 189.042969 1652109542.4658
MEM 189.792969 1652109542.5663
MEM 190.542969 1652109542.6667
MEM 191.292969 1652109542.7671
MEM 193.328125 1652109542.8676
MEM 193.328125 1652109542.9680
MEM 193.328125 1652109543.0684
MEM 204.636719 1652109543.1689
MEM 204.636719 1652109543.2692
MEM 194.160156 1652109543.3696
MEM 194.160156 1652109543.4700
MEM 204.988281 1652109543.5704
MEM 204.988281 1652109543.6708
MEM 194.160156 1652109543.7712
MEM 194.160156 1652109543.8714
MEM 204.988281 1652109543.9717
MEM 204.988281 1652109544.0720
MEM 194.160156 1652109544.1725
MEM 199.832031 1652109544.2728
MEM 205.246094 1652109544.3731
MEM 205.246094 1652109544.4734
MEM 194.160156 1652109544.5738
MEM 201.636719 1652109544.6741
MEM 205.246094 1652109544.7744
MEM 205.246094 1652109544.8747
MEM 194.160156 1652109544.9751
MEM 201.378906 1652109545.0754
MEM 204.988281 1652109545.1757
MEM 204.988281 1652109545.2759
MEM 194.160156 1652109545.3763
MEM 201.378906 1652109545.4767
MEM 204.988281 1652109545.5770
MEM 194.160156 1652109545.6774
MEM 194.160156 1652109545.7777
MEM 204.988281 1652109545.8781
MEM 204.988281 1652109545.9783
MEM 194.160156 1652109546.0787
MEM 201.636719 1652109546.1791
MEM 205.246094 1652109546.2794
MEM 205.246094 1652109546.3796
MEM 194.160156 1652109546.4800
MEM 201.636719 1652109546.5803
MEM 205.246094 1652109546.6807
MEM 194.160156 1652109546.7811
MEM 194.160156 1652109546.8813
MEM 204.988281 1652109546.9817
MEM 204.988281 1652109547.0819
MEM 194.160156 1652109547.1823
MEM 201.378906 1652109547.2826
MEM 204.988281 1652109547.3829
MEM 204.988281 1652109547.4832
MEM 201.378906 1652109547.5836
MEM 204.988281 1652109547.6838
MEM 204.988281 1652109547.7841
MEM 194.160156 1652109547.8844
MEM 201.636719 1652109547.9847
MEM 205.246094 1652109548.0849
MEM 194.160156 1652109548.1852
MEM 194.160156 1652109548.2855
MEM 205.246094 1652109548.3859
MEM 205.246094 1652109548.4862
MEM 194.160156 1652109548.5865
MEM 194.160156 1652109548.6868
MEM 204.988281 1652109548.7871
MEM 204.988281 1652109548.8874
MEM 194.160156 1652109548.9878
MEM 201.378906 1652109549.0881
MEM 204.988281 1652109549.1884
MEM 192.613281 1652109549.2888
MEM 194.160156 1652109549.3892
MEM 201.378906 1652109549.4894
MEM 204.988281 1652109549.5897
MEM 194.160156 1652109549.6901
MEM 194.160156 1652109549.7904
MEM 205.246094 1652109549.8907
MEM 205.246094 1652109549.9910
MEM 194.160156 1652109550.0914
MEM 201.636719 1652109550.1917
MEM 205.246094 1652109550.2921
MEM 205.246094 1652109550.3924
MEM 194.160156 1652109550.4928
MEM 201.378906 1652109550.5931
MEM 204.988281 1652109550.6934
MEM 192.355469 1652109550.7938
MEM 194.160156 1652109550.8941
MEM 201.378906 1652109550.9945
MEM 204.988281 1652109551.0949
MEM 194.160156 1652109551.1952
MEM 194.160156 1652109551.2955
MEM 204.988281 1652109551.3958
MEM 204.988281 1652109551.4961
MEM 194.160156 1652109551.5965
MEM 201.636719 1652109551.6967
MEM 205.246094 1652109551.7970
MEM 205.246094 1652109551.8975
MEM 194.160156 1652109551.9979
MEM 201.636719 1652109552.0983
